Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Usaha,Pembayaran Kepada Karyawan,Penerimaan (Pembayaran) Untuk Pendapatan (Beban) Lainnya,Penerimaan Dari Pendapatan Keuangan,Penerimaan Lainnya,Pembayaran Pajak Penghasilan,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Akuisisi Entitas Anak,Penempatan Deposito Berjangka,Pencairan Deposito Berjangka,Penambahan Aset Tidak Berwujud,Perolehan Aset Hak Guna,Perolehan Aset Tetap,Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Perdana Saham,Penerimaan Dari Kenaikan Modal Saham,Penerimaan Tambahan Modal Disetor,Penerimaan Atas Setoran Modal Dari Realisasi Waran,Penerimaan Pinjaman Dari Pihak Berelasi,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Liabilitas Sewa,Penerimaan Pinjaman Dari Pihak Ketiga,Pembayaran Biaya Penawaran Umum Perdana Saham,Pembayaran Utang Pihak Ketiga,Penerimaan Utang Pihak Ketiga,Pembayaran Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Yang Dikonsolidasikan Pada Tanggal Akuisisi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,1649147826.000000,12930368124.000000,-850581524.000000,-1533742598.000000,-9743258082.000000,781538932.000000,73290732.000000,,,-8467758.000000,1649147826.000000,-348870933.000000,,,,,,-348870933.000000,,-348870933.000000,3530000000.000000,,,,,,,,,,,,3530000000.000000,,3530000000.000000,4830276893.000000,,5588243893.000000,10418520786.000000
12M 2019,-18505361443.000000,19252868238.000000,-8875635168.000000,-13667132522.000000,-15612081814.000000,-164563616.000000,601349046.000000,,,-40165607.000000,-18505361443.000000,-1640421938.000000,,,,-8857179.000000,,-1839279815.000000,207715056.000000,-1640421938.000000,35741461528.000000,,1735992720.000000,38111507280.000000,,,,,,,,-3530000000.000000,,-576038472.000000,35741461528.000000,15595678147.000000,,10418520786.000000,26014198933.000000
12M 2020,17955171438.000000,79625584196.000000,-19132275460.000000,-17453934857.000000,-23681571168.000000,-1562729483.000000,599007498.000000,,,-438909288.000000,17955171438.000000,-80844544415.000000,-47954338325.000000,-31200000000.000000,,-671505876.000000,-771646455.000000,-1217826303.000000,970772544.000000,-80844544415.000000,79806063917.000000,81129635634.000000,,,1551902500.000000,,,-397952934.000000,-1873759669.000000,,,,,-603761614.000000,79806063917.000000,16916690940.000000,,26014198933.000000,42930889873.000000
12M 2021,-37771625214.000000,157173810818.000000,-146023283108.000000,-11913792506.000000,-37849837781.000000,-544706064.000000,1712334498.000000,,,-326151071.000000,-37771625214.000000,9948865623.000000,,,9675000000.000000,-262007142.000000,,-254342185.000000,790214950.000000,9948865623.000000,-1644615507.000000,,,,8655000.000000,,,-748047804.000000,-16532127.000000,,,,,-888690576.000000,-1644615507.000000,-29467375098.000000,,42930889873.000000,13463514775.000000
12M 2022,-4418631365.000000,117678282478.000000,-83842537958.000000,-11810556427.000000,-27054157211.000000,1194800687.000000,199983943.000000,,,-784446877.000000,-4418631365.000000,-9326204114.000000,,,10309000000.000000,-13039582339.000000,,-6714614964.000000,118993189.000000,-9326204114.000000,9801671692.000000,,,,,,14075000000.000000,-9411587236.000000,-248960132.000000,,,,5518406886.000000,-131187826.000000,9801671692.000000,-3943163787.000000,,13463514775.000000,9520350988.000000
12M 2023,-17963277491.000000,184485016804.000000,-150875742407.000000,-10067467058.000000,-36147228955.000000,-2239239342.000000,170927352.000000,,-876228594.000000,-2413315291.000000,-17963277491.000000,-2177543087.000000,,,,-2266977996.000000,,-599484010.000000,688918919.000000,-2177543087.000000,23040448700.000000,,,,,,13160000000.000000,-13160000000.000000,-238045455.000000,,,,23278494155.000000,,23040448700.000000,2899628122.000000,,9520350988.000000,12419979110.000000
12M 2024,-27219014835.000000,130819626760.000000,-103405608712.000000,-15198254083.000000,-39323136587.000000,-1205638580.000000,114989569.000000,1485232060.000000,-506225262.000000,,-27219014835.000000,-6540209796.000000,,,25000000.000000,-4992973592.000000,,-1669470341.000000,97234137.000000,-6540209796.000000,35500517341.000000,,,,,36875000000.000000,6178184148.000000,-5487257459.000000,-1175826015.000000,104166667.000000,,-993750000.000000,,,35500517341.000000,1741292710.000000,,12419979110.000000,14161271820.000000
