Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Beban Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,34168768439.000000,-20900036613.000000,13268731826.000000,-9486064561.000000,-1048878015.000000,-8437186546.000000,-9486064561.000000,3782667265.000000,-366850553.000000,,,,-366850553.000000,-366850553.000000,3415816712.000000,-1234810634.000000,-1189418801.000000,,-45391833.000000,,-1234810634.000000,2181006078.000000,,2181006078.000000,,,,,2181006078.000000,2181006078.000000,,2181006078.000000,,,,
12M 2009,73941222364.000000,-47892543423.000000,26048678941.000000,-11322693676.000000,-605742850.000000,-10716950826.000000,-11322693676.000000,14725985265.000000,-2415656423.000000,,,,-2415656423.000000,-2415656423.000000,12310328842.000000,-3695566573.000000,-3695566573.000000,,,,-3695566573.000000,8614762269.000000,,8614762269.000000,,,,,8614762269.000000,8614762269.000000,,8614762269.000000,,,,
12M 2010,84192319546.000000,-39855454322.000000,44336865224.000000,-19049735975.000000,-1934047832.000000,-17115688143.000000,-19049735975.000000,25287129249.000000,-2199777422.000000,,,,-2199777422.000000,-2199777422.000000,23087351827.000000,-4444749577.000000,-4209615977.000000,,-235133600.000000,,-4444749577.000000,18642602250.000000,1524997.000000,18644127247.000000,,,,,18644127247.000000,18642602250.000000,1524997.000000,18644127247.000000,,,,
12M 2011,55368904547.000000,-29954655038.000000,25414249509.000000,-16758509315.000000,-1757501968.000000,-15001007347.000000,-16758509315.000000,8655740194.000000,-3246175642.000000,,,,-3246175642.000000,-3246175642.000000,5409564552.000000,-3021900427.000000,-2768445227.000000,,-253455200.000000,,-3021900427.000000,2387664125.000000,,2387664125.000000,,,,2387664125.000000,2387664125.000000,2393625728.000000,-5961603.000000,2387664125.000000,2387664125.000000,2393625728.000000,-5961603.000000,2387664125.000000
12M 2012,104857964996.000000,-62572629026.000000,42285335970.000000,-25092393859.000000,-3326963008.000000,-21765430851.000000,-25092393859.000000,17192942111.000000,-2076358742.000000,,-3978692522.000000,,1902333780.000000,-2076358742.000000,15116583369.000000,-5625564899.000000,-5221544099.000000,,-404020800.000000,,-5625564899.000000,9491018470.000000,,9491018470.000000,,,,9491018470.000000,9491018470.000000,9580393831.000000,-89375361.000000,9491018470.000000,9491018470.000000,9580393831.000000,-89375361.000000,9491018470.000000
12M 2013,179872005359.000000,-100372844364.000000,79499160995.000000,-40295806693.000000,-2886500634.000000,-37409306059.000000,-40295806693.000000,39203354302.000000,3280226638.000000,,-3507097044.000000,,6787323682.000000,3280226638.000000,42483580940.000000,-9793573415.000000,-8827386825.000000,,-966186590.000000,,-9793573415.000000,32690007525.000000,,32690007525.000000,,,,32690007525.000000,32690007526.000000,32368935764.000000,321071762.000000,32690007526.000000,32690007526.000000,32368935764.000000,321071762.000000,32690007526.000000
12M 2014,215981034965.000000,-111502503759.000000,104478531206.000000,-53162180448.000000,-4324868846.000000,-48837311602.000000,-53162180448.000000,51316350758.000000,-9261383065.000000,,-12302759190.000000,,3041376125.000000,-9261383065.000000,42054967693.000000,-11541339830.000000,-10563152200.000000,,-978187630.000000,,-11541339830.000000,30513627863.000000,,30513627863.000000,,,,30513627863.000000,30513627864.000000,30009379191.000000,504248673.000000,30513627864.000000,30513627864.000000,30009379191.000000,504248673.000000,30513627864.000000
12M 2015,170737112014.000000,-89511340526.000000,81225771488.000000,-52735786257.000000,-3965631177.000000,-48770155080.000000,-52735786257.000000,28489985231.000000,-13859351349.000000,,-17202436240.000000,,3343084891.000000,-13859351349.000000,14630633882.000000,-9275089140.000000,-8246224500.000000,,-1028864640.000000,,-9275089140.000000,5355544742.000000,,5355544742.000000,-982460259.000000,,-982460259.000000,4373084483.000000,5355544742.000000,4742241225.000000,613303517.000000,5355544742.000000,4373084483.000000,3759780966.000000,613303517.000000,4373084483.000000
12M 2016,227824738771.000000,-104587601982.000000,123237136789.000000,-48912454068.000000,-3893002785.000000,-45019451283.000000,-48912454068.000000,74324682721.000000,-13538944717.000000,,-19872809979.000000,,6333865262.000000,-13538944717.000000,60785738004.000000,-11357809511.000000,-9568799601.000000,,-1789009910.000000,,-11357809511.000000,49427928493.000000,,49427928493.000000,331842545.000000,,331842545.000000,49759771038.000000,49427928493.000000,49292513167.000000,135415326.000000,49427928493.000000,49759771038.000000,49624355712.000000,135415326.000000,49759771038.000000
12M 2017,189037576143.000000,-71693041204.000000,117344534939.000000,-50666316457.000000,-2159058712.000000,-48507257745.000000,-50666316457.000000,66678218482.000000,-4856979536.000000,,-12476190374.000000,,7619210838.000000,-4856979536.000000,61821238946.000000,-8291606056.000000,-6188079530.000000,,-2103526526.000000,,-8291606056.000000,53529632890.000000,,53529632890.000000,1271774513.000000,,1271774513.000000,54801407403.000000,53529632891.000000,52665662149.000000,863970742.000000,53529632891.000000,54801407403.000000,53937436661.000000,863970742.000000,54801407403.000000
