Period,Arus Kas Dari Aktivitas Operasi,Penjualan Tanah,Penerimaan Dari Pelanggan,Pendapatan Pemeliharaan Lingkungan (Bpl),Pendapatan Lain-Lain,Pembayaran Untuk :,"Perolehan Tanah, Pemasok Dan Kontraktor",Beban Gaji Dan Tunjangan Karyawan,Beban Usaha Diluar Beban Gaji,Total Pembayaran Untuk :,Adjustment,Penerimaan Dari (Pembayaran Untuk) :,Piutang Lain-Lain,Pendapatan Bunga Bank (Jasa Giro),Pendapatan Lain-Lain,Beban Bunga,Beban Lain-Lain,Beban Pajak,Adjustment,Total Penerimaan Dari (Pembayaran Untuk) :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Uang Muka Pembelian Gedung,Penambahan Uang Tunai Atas Pengampunan Pajak,Bank Yang Dibatasi Penggunaannya,Uang Muka Tanah Entitas Anak,Penambahan Hak Penguasan Bangunan Kantor,Pembayaran Uang Muka Pembebasan Tanah,Penambahan Uang Muka Pembebasan Tanah,Pembayaran Uang Jaminan,Penambahan Aset Tidak Lancar Lainnya,Penambahan Aset Tidak Lancar Lainnya (Asuransi Pensiun),Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Piutang Lain-Lain,Penambahan Utang Bank,Pembayaran / (Pembayaran) Utang Pembiayaan,Penerimaan / (Pencairan) Dana Deposito Yang Dibatasi Penggunaannya,Pembayaran Utang / Pinjaman Bank,Penambahan Utang Cicilan,Pembayaran Utang Cicilan Kendaraan,Pembayaran Utang Cicilan,Bank Yang Dibatasi Penggunaannya,Penambahan / (Pembayaran) Uang Jaminan,Penambahan / (Pembayaran) Piutang Pihak Berelasi,Penambahan / (Pembayaran) Utang Lain-Lain,Penambahan / (Pembayaran) Utang Pihak Berelasi,Penerimaan Pelaksanaan Penjualan Saham Waran,Penambahan Setoran Modal Saham Dan Waran,Penggunaan Dana Agio Saham,Penerimaan Hak Minoritas Pada Anak Perusahaan,Penambahan Dana Agio Saham,Penambahan Setoran Modal Entitas Anak,Pemilik Entitas Induk,Kepentingan Non Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Awal Tahun - Perusahaan,Kas Dan Setara Kas Awal Tahun - Entiras Anak,Total Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,-1037082582.000000,51797962243.000000,,,164757368.000000,,-44210502638.000000,-5152196158.000000,-3288101580.000000,-52650800376.000000,,,1001760751.000000,52304039.000000,418617913.000000,-1019410680.000000,-224394895.000000,-577878945.000000,,-349001817.000000,-1037082582.000000,-5857924995.000000,-5857924995.000000,,,,,,,,,,,,-5857924995.000000,8653002542.000000,,-92943079.000000,-239125336.000000,,,,,,,,,,-11014929043.000000,,20000000000.000000,,,,,,,8653002542.000000,1757994965.000000,588148022.000000,588148022.000000,,588148022.000000,,2346142987.000000
12M 2009,-38935926933.000000,36293135600.000000,,,423622797.000000,,-60621524148.000000,-5547454689.000000,-2783265126.000000,-68952243963.000000,,,-192085912.000000,76243352.000000,267589086.000000,-3084093968.000000,-348118823.000000,-3419975102.000000,,-6700441367.000000,-38935926933.000000,-169231850.000000,-169231850.000000,,,,,,,,,,,,-169231850.000000,57709629517.000000,,7925859088.000000,-1044920621.000000,,,,,,,,,-2216455000.000000,504194783.000000,,52540951267.000000,,,,,,,57709629517.000000,18604470734.000000,2346142988.000000,2346142988.000000,,2346142988.000000,,20950613722.000000
12M 2010,-18079402380.000000,,100112595574.000000,,1118443485.000000,,-93588696596.000000,-8891344880.000000,-6770435022.000000,-109250476498.000000,,,-25115784.000000,147487845.000000,338004724.000000,-3364720416.000000,-428832851.000000,-6726788459.000000,,-10059964941.000000,-18079402380.000000,-3436606568.000000,-3366606568.000000,-70000000.000000,,,,,,,,,,,-3436606568.000000,1341900017.000000,,2675191453.000000,,,,-621566653.000000,,,,,,-296570000.000000,-504194783.000000,84040000.000000,,,5000000.000000,,,,,1341900017.000000,-20174108931.000000,20951613722.000000,20951613722.000000,,20951613722.000000,,777504791.000000
12M 2011,-37712727954.000000,,49859202152.000000,1213305105.000000,,,-66318690450.000000,-8497254390.000000,-6561421503.000000,-81377366343.000000,,,19575708.000000,32358041.000000,36273985.000000,-3884473217.000000,-689811615.000000,-2921791770.000000,,-7407868868.000000,-37712727954.000000,-4840246280.000000,-3377587944.000000,749433664.000000,,,,,,,,,,-2212092000.000000,-4840246280.000000,43480989453.000000,,17974367084.000000,,,-881620615.000000,-679093605.000000,,,,-3473411.000000,,,,,22787100000.000000,,,2278710000.000000,2005000000.000000,,,43480989453.000000,928015219.000000,917504791.000000,896031136.000000,21473655.000000,917504791.000000,,1845520010.000000
12M 2012,8091646122.000000,,182747247170.000000,2025558911.000000,,,-145852350888.000000,-10142971993.000000,-10552058659.000000,-166547381540.000000,,,-828783228.000000,72699214.000000,334999043.000000,-3978692522.000000,-306251307.000000,-5427749619.000000,,-10133778419.000000,8091646122.000000,-8637606023.000000,-8328278810.000000,,,,,,-294297213.000000,,,,,-15030000.000000,-8637606023.000000,1117139230.000000,,,-12655661331.000000,,,-481801329.000000,,,,218595700.000000,13928203440.000000,,,,98002500.000000,,,9800250.000000,,,,1117139230.000000,571179329.000000,1845520010.000000,1351123310.000000,494396700.000000,1845520010.000000,,2416699339.000000
12M 2013,107112043207.000000,,262011957600.000000,4069475490.000000,,,-101088469683.000000,-18457169958.000000,-18883890668.000000,-138429530309.000000,,,-3599302310.000000,142373270.000000,3115997086.000000,-3506068410.000000,-367532143.000000,-16325327067.000000,,-20539859574.000000,107112043207.000000,-82457262317.000000,-6219497759.000000,3453797022.000000,,,-902814680.000000,-75891049900.000000,,,,,,-2897697000.000000,-82457262317.000000,-17958745718.000000,,16000000000.000000,,,-19984630350.000000,-202977968.000000,,,,61500000.000000,,,-13832637400.000000,,,,,,,,,-17958745718.000000,6696035172.000000,2416699338.000000,2227658863.000000,189040475.000000,2416699338.000000,,9112734510.000000
12M 2014,-15143009423.000000,,221528003912.000000,3510674117.000000,,,-166984401057.000000,-21520818863.000000,-27205761780.000000,-215710981700.000000,,,806668302.000000,150210286.000000,206939738.000000,-12302759190.000000,-1254337568.000000,-12077427320.000000,,-24470705752.000000,-15143009423.000000,-103222099307.000000,-9950212119.000000,548250000.000000,,,-22618390588.000000,-70767471600.000000,,,,,,-434275000.000000,-103222099307.000000,115922101005.000000,,117000000000.000000,,,-12410690748.000000,,1850407799.000000,152906000.000000,,7334477954.000000,,,,,1995000000.000000,,,,,,,115922101005.000000,-2443007725.000000,9112734509.000000,8664431111.000000,448303398.000000,9112734509.000000,,6669726784.000000
12M 2015,-44411913880.000000,,185131925014.000000,,,,-153359792778.000000,-35472716911.000000,-13700824475.000000,-202533334164.000000,,,,113917466.000000,,-17202436240.000000,,-9921985956.000000,,-27010504730.000000,-44411913880.000000,-20164351695.000000,-12727879771.000000,,,,-5363996624.000000,,-281275300.000000,,,,,-1791200000.000000,-20164351695.000000,63202488929.000000,,-8017874679.000000,-1654694077.000000,,,,,,,201500000.000000,72780139248.000000,,,,-106581563.000000,,,,,,,63202488929.000000,-1373776646.000000,6669726784.000000,6669726784.000000,,6669726784.000000,,5295950138.000000
12M 2016,88852869394.000000,,398167123633.000000,,,,-231999009251.000000,-39685605544.000000,-13648310160.000000,-285332924955.000000,,,,1824134849.000000,,-19872809979.000000,,-5932654154.000000,,-23981329284.000000,88852869394.000000,12786663208.000000,-3161620257.000000,,,,16962543465.000000,,-400000000.000000,,,,,-614260000.000000,12786663208.000000,-98043815110.000000,,-18785836311.000000,-1896163597.000000,,,,,,,137000000.000000,-77998815202.000000,,,,500000000.000000,,,,,,,-98043815110.000000,3595717492.000000,5295950137.000000,,,5295950137.000000,,8891667629.000000
12M 2017,-7946868154.000000,,177049627280.000000,,,,-124374451446.000000,-29052233359.000000,-12117587677.000000,-165544272482.000000,,,,1036909454.000000,,-12473491731.000000,,-8015640675.000000,,-19452222952.000000,-7946868154.000000,7762224866.000000,-1592189009.000000,,,,8520123670.000000,,,,,,,834290205.000000,7762224866.000000,-3036815247.000000,,-1332498639.000000,-259218088.000000,,,,,,,,-1464998520.000000,,,,19900000.000000,,,,,,,-3036815247.000000,-3221458535.000000,8891667627.000000,,,8891667627.000000,,5670209092.000000
