Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Persediaan,Tanah Untuk Dikembangkan,Piutang Pihak Berelasi,Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Dari Pihak Berelasi,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Cicilan,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Cicilan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,2346142988.000000,10380093650.000000,,,10380093650.000000,190628000.000000,,82917320929.000000,1792148517.000000,97626334084.000000,,,,,,,10442627175.000000,16073939000.000000,26516566175.000000,124142900259.000000,,,49855985791.000000,5023698283.000000,744306711.000000,,,744306711.000000,4627661000.000000,,1968265906.000000,172800000.000000,,1684409018.000000,,,1684409018.000000,35634844873.000000,49855985791.000000,599777951.000000,,,,,599777951.000000,599777951.000000,50455763742.000000,,70000000000.000000,,3687136517.000000,,,3687136517.000000,,,73687136517.000000,124142900259.000000,700000000.000000
12M 2009,,,20951613722.000000,20335374037.000000,,,20335374037.000000,382013912.000000,,58296835664.000000,418895709.000000,100384733044.000000,,,56799836500.000000,,,,9141489898.000000,351059000.000000,66292385398.000000,166677118442.000000,,,30762934225.000000,12949557371.000000,2790255341.000000,,,2790255341.000000,3659640149.000000,504194783.000000,2262817431.000000,1511477539.000000,,639488397.000000,,,639488397.000000,6445503214.000000,30762934225.000000,1071334164.000000,,,,,1071334164.000000,1071334164.000000,31834268389.000000,,120000000000.000000,,12301898786.000000,,,12301898786.000000,,2540951267.000000,134842850053.000000,166677118442.000000,1200000000.000000
12M 2010,,,917504791.000000,9274543963.000000,,,9274543963.000000,407129696.000000,,74376685054.000000,732498273.000000,85708361777.000000,,,89962451500.000000,,,,12061911498.000000,3984503000.000000,106008865998.000000,191717227775.000000,,,35415068755.000000,15624748824.000000,1958921457.000000,,,1958921457.000000,396370587.000000,,511027447.000000,2642191501.000000,,,,,,14281808939.000000,35415068755.000000,2727666717.000000,,,916371744.000000,916371744.000000,1811294973.000000,2727666717.000000,38142735472.000000,,120106400000.000000,,30946026033.000000,,,30946026033.000000,3475003.000000,2518591267.000000,153574492303.000000,191717227775.000000,1201064000.000000
12M 2011,,,,,,,,,,,,,,,,,,,,2223895000.000000,2223895000.000000,2223895000.000000,,,50473544132.000000,32717495293.000000,2098266137.000000,,,2098266137.000000,1432017176.000000,,642423903.000000,2389734493.000000,,,,,,11193607130.000000,50473544132.000000,4035052654.000000,,,1255018139.000000,1255018139.000000,2780034515.000000,4035052654.000000,54508596786.000000,,142893500000.000000,,33306651760.000000,,,33306651760.000000,2002513400.000000,4830301267.000000,183032966427.000000,237541563213.000000,1428935000.000000
12M 2012,,,2416699338.000000,13642539806.000000,,,13642539806.000000,1216337216.000000,,85689184242.000000,4879623456.000000,107844384058.000000,,12332882250.000000,162426559110.000000,,,,14966607990.000000,43994854097.000000,233720903447.000000,341565287505.000000,,,141585083574.000000,12976828134.000000,11021357731.000000,,,11021357731.000000,3646193101.000000,13928203440.000000,4595254391.000000,2883673922.000000,,,624963232.000000,4159034456.000000,4783997688.000000,87749575167.000000,141585083574.000000,7348416281.000000,,2925971372.000000,148253578.000000,3074224950.000000,4274191331.000000,7348416281.000000,148933499855.000000,,142991502500.000000,,42887045591.000000,,,42887045591.000000,1913138039.000000,4840101517.000000,192631787647.000000,341565287502.000000,1429915025.000000
12M 2013,,,9112734508.000000,8083273516.000000,,,8083273516.000000,4810687213.000000,3254872000.000000,87362544772.000000,9920894353.000000,122545006362.000000,,28631245500.000000,125057676900.000000,,,,16181336874.000000,139801447001.000000,309671706275.000000,432216712637.000000,,,200854801875.000000,12824972184.000000,6795796344.000000,,,6795796344.000000,21266600732.000000,3350438040.000000,2362058686.000000,3946707455.000000,,,264940180.000000,3252231428.000000,3517171608.000000,146791056826.000000,200854801875.000000,6040060587.000000,,,305298662.000000,305298662.000000,5734761925.000000,6040060587.000000,206894862462.000000,,142991552500.000000,,75255981356.000000,,,75255981356.000000,2234209801.000000,4840106517.000000,225321850174.000000,432216712636.000000,1429915525.000000
12M 2014,,,6669726784.000000,10584740184.000000,,,10584740184.000000,3617699496.000000,2380203899.000000,78303885134.000000,12251748340.000000,113808003837.000000,,39728722500.000000,244497951900.000000,,,,23317618666.000000,168977644014.000000,476521937080.000000,590329940917.000000,,,314018633929.000000,87838937628.000000,8740699302.000000,,,8740699302.000000,48952905911.000000,9325043994.000000,3365838653.000000,11813161394.000000,,,1223669704.000000,15151188576.000000,16374858280.000000,127607188767.000000,314018633929.000000,26083589839.000000,,17676386660.000000,1196976937.000000,18873363597.000000,7210226242.000000,26083589839.000000,340102223768.000000,,142991552500.000000,,97562599656.000000,,,97562599656.000000,4833458475.000000,4840106517.000000,250227717148.000000,590329940916.000000,1429915523.000000
12M 2015,,,5295950137.000000,13171042705.000000,,,13171042705.000000,3314476661.000000,,174295703273.000000,19870065626.000000,215947238402.000000,,19448027636.000000,194414614900.000000,2834273899.000000,,,34368897984.000000,205434525494.000000,456500339913.000000,672447578315.000000,,,196227771494.000000,87959265499.000000,8127650524.000000,,,8127650524.000000,542434214.000000,,2790470201.000000,11356362585.000000,,,1072785217.000000,16126916576.000000,17199701793.000000,68251886678.000000,196227771494.000000,221221598713.000000,,8562456110.000000,582970074.000000,9145426184.000000,212076172529.000000,221221598713.000000,417449370207.000000,,142991552500.000000,,102450196998.000000,,,102450196998.000000,5340180429.000000,4216278178.000000,254998208105.000000,672447578312.000000,1429915523.000000
12M 2016,,,8891667627.000000,10726892474.000000,,,10726892474.000000,5165967170.000000,,120776283602.000000,109455869778.000000,255016680651.000000,,26559498636.000000,287794432700.000000,2834273899.000000,,,35952862569.000000,180979995529.000000,534121063333.000000,789137743984.000000,,,163093142366.000000,87812490319.000000,4987985848.000000,,,4987985848.000000,2494425003.000000,,11210696600.000000,8165507247.000000,,,423585057.000000,1250000000.000000,1673585057.000000,46748452292.000000,163093142366.000000,320680040913.000000,,4800311556.000000,190104857.000000,4990416413.000000,315689624500.000000,320680040913.000000,483773183279.000000,,142991552500.000000,,151847813612.000000,,,151847813612.000000,5538073870.000000,4987120723.000000,305364560705.000000,789137743984.000000,1429915525.000000
12M 2017,,,5670209092.000000,16353105127.000000,16353105127.000000,,16353105127.000000,10642098912.000000,,127638727065.000000,111810053120.000000,272114193316.000000,,38903124250.000000,287280324700.000000,3269898043.000000,,,34492455524.000000,207387233424.000000,571333035941.000000,843447229257.000000,,,229389300726.000000,87960119371.000000,8627396688.000000,,,8627396688.000000,20439864845.000000,,6900466785.000000,6813221687.000000,,,250529495.000000,1500000000.000000,1750529495.000000,96897701855.000000,229389300726.000000,253881960424.000000,,3070183865.000000,103942331.000000,3174126196.000000,250707834228.000000,253881960424.000000,483271261150.000000,,142991552500.000000,5289006517.000000,204513475761.000000,,,204513475761.000000,6402144612.000000,979788719.000000,360175968109.000000,843447229259.000000,1429915525.000000
