Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok, Karyawan Dan Lain-Lain",Penerimaan Bunga,Pembayaran Bunga Atas Pinjaman Pihak Berelasi,Pembayaran Beban Keuangan,Penerimaan Pengembalian Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Klaim Asuransi,Penerimaan Piutang Lain-Lain,Penambahan Investasi Saham,Hasil Penjualan Aset Tidak Lancar,Pembayaran Uang Muka Payment Of Advances For Purchase Pembelian Aset Tidak Lancar,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Pembayaran Uang Muka Pembelian Aset Tidak Lancar,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penerimaan Pengembalian Uang Jaminan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Uang Muka Setoran Modal,Penerimaan Pinjaman Jangka Pendek Pihak Ketiga,Penerimaan Dari Peningkatan Modal Saham,Penerimaan Dari Pinjaman Bank Jangka Pendek,Pembayaran Atas Pinjaman Bank Jangka Pendek,Pembayaran Atas Liabilitas Sewa,Hasil Dari Penerbitan Saham,Pembayaran Dari Biaya Penerbitan Saham,Penerimaan Dari Pinjaman Pihak Berelasi,Pembayaran Biaya Transaksi Atas Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Pihak Berelasi,Pembayaran Pinjaman Bank,Pembayaran Biaya Penalti Dan Restrukturisasi Atas Pinjaman Bank,Penerimaan Dari Rekening Bank Yang Dibatasi Penggunaannya,Penerimaan Dari Obligasi Konversi Wajib,Pembayaran Untuk Persiapan Penawaran Umum Perdana,Pembayaran Liabilitas Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-365433339923.000000,705511893899.000000,-963241452728.000000,9446527038.000000,,-152709024624.000000,35558716492.000000,-365433339923.000000,-89661476842.000000,668922000.000000,,,,,7105454566.000000,-15349175202.000000,,-17114040206.000000,-65470108000.000000,497470000.000000,-89661476842.000000,150189630904.000000,,,,,,,,,,,,-37500000000.000000,,72000.000000,202500000000.000000,-14332466170.000000,-477974926.000000,150189630904.000000,-304905185861.000000,358997925561.000000,54092739700.000000
12M 2019,-204473467024.000000,624151914926.000000,-674308782430.000000,1184273904.000000,,-155500873424.000000,,-204473467024.000000,-31011049441.000000,213480000.000000,,,,,2499952.000000,-722440047.000000,,-14235422675.000000,-16269166671.000000,,-31011049441.000000,234370756715.000000,,,,,,,,,215844980000.000000,,,-19197525711.000000,,37723302426.000000,,,,234370756715.000000,-1113759750.000000,54092739700.000000,52978979950.000000
12M 2020,-57330999641.000000,420991255255.000000,-444584255939.000000,209484141.000000,,-33947483098.000000,,-57330999641.000000,-1935224848.000000,3210000.000000,,,,,,-744602656.000000,,-102923100.000000,-1090909092.000000,,-1935224848.000000,22768932004.000000,,,,,,,,,30930000000.000000,,,-1320656432.000000,,72000.000000,,-50641025.000000,-6789842539.000000,22768932004.000000,-36497292485.000000,52978979949.000000,16481687464.000000
12M 2021,-16257471284.000000,479769294582.000000,-461051180109.000000,38114491.000000,-18667238654.000000,-16346461594.000000,,-16257471284.000000,-3613449491.000000,29600000.000000,,,,-2413130537.000000,,-1229918954.000000,,,,,-3613449491.000000,13873991153.000000,91122288654.000000,,,,,,,-105000000.000000,,,-72455050000.000000,-1700000001.000000,,,,,-2988247500.000000,13873991153.000000,-5996929622.000000,16481687464.000000,10484757842.000000
12M 2022,-91737698003.000000,389688310907.000000,-463104618048.000000,128486753.000000,,-18449877615.000000,,-91737698003.000000,-3174287334.000000,40000000.000000,,,733333302.000000,-119003500.000000,,-2844616340.000000,,,-984000796.000000,,-3174287334.000000,94274990917.000000,,,,,,,185061317018.000000,-35061321418.000000,,,,-46279343570.000000,,,,,-9445661113.000000,94274990917.000000,-636994420.000000,10484757842.000000,9847763422.000000
12M 2023,46526126510.000000,331091270105.000000,-241911322388.000000,88547427.000000,,-42742368634.000000,,46526126510.000000,-31288489686.000000,,,,1491812437.000000,-3934274500.000000,,-1685469132.000000,,,-27160558491.000000,,-31288489686.000000,-17775918988.000000,,,,,,,,,,,,-10123483883.000000,,,,,-7652435105.000000,-17775918988.000000,-2538282164.000000,9847763422.000000,7309481258.000000
12M 2024,-28034496118.000000,18225338887.000000,-46092226338.000000,29037071.000000,,-196645738.000000,,-28034496118.000000,-1476202657650.000000,,16416844540.000000,-1492619502190.000000,,,,,,,,,-1476202657650.000000,1531137508020.000000,,882596455152.000000,599100000000.000000,58027000000.000000,-8087000000.000000,-498947132.000000,,,,,,,,,,,,1531137508020.000000,26900354252.000000,136364572.000000,27036718824.000000
