Period,Total Pendapatan,Total Beban Pokok Penjualan,Beban Program Dan Penyiaran,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Keuntungan Atas Penjualan Entitas Anak,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,708186091222.000000,-370915608156.000000,-370915608156.000000,-370915608156.000000,337270483066.000000,-314395336302.000000,-314395336302.000000,-314395336302.000000,22875146764.000000,-185599207331.000000,-209280059448.000000,-5038368609.000000,,-1205042849.000000,9446527038.000000,20477736537.000000,-185599207331.000000,-162724060567.000000,-8718826402.000000,-171442886969.000000,-1598838595.000000,-173041725564.000000,-171442886969.000000,-170794237475.000000,-648649494.000000,-171442886969.000000,-173041725564.000000,-172385439398.000000,-656286166.000000,-173041725564.000000
12M 2019,519834625058.000000,-384250493214.000000,-384250493214.000000,-384250493214.000000,135584131844.000000,-276555169065.000000,-276555169065.000000,-276555169065.000000,-140971037221.000000,-195779708733.000000,-206373399185.000000,4833579656.000000,,-25406107.000000,1184273904.000000,4601242999.000000,-195779708733.000000,-336750745954.000000,-86031255442.000000,-422782001396.000000,-3769776822.000000,-426551778218.000000,-422782001396.000000,-420528705200.000000,-2253296196.000000,-422782001396.000000,-426551778218.000000,-424272914831.000000,-2278863387.000000,-426551778218.000000
12M 2020,446490355139.000000,-311043004872.000000,-311043004872.000000,-311043004872.000000,135447350267.000000,-258616833096.000000,-258616833096.000000,-258616833096.000000,-123169482829.000000,-314372029924.000000,-141114300700.000000,-12849007241.000000,-12613832.000000,,209484141.000000,-160605592292.000000,-314372029924.000000,-437541512753.000000,-178517295533.000000,-616058808286.000000,-1398017524.000000,-617456825810.000000,-616058808286.000000,-612387187543.000000,-3671620743.000000,-616058808286.000000,-617456825810.000000,-613778078537.000000,-3678747273.000000,-617456825810.000000
12M 2021,490196859796.000000,-284350042205.000000,-284350042205.000000,-284350042205.000000,205846817591.000000,-263247807578.000000,-263247807578.000000,-263247807578.000000,-57400989987.000000,-111334206885.000000,-113864788140.000000,-2638440773.000000,,,38114491.000000,5130907537.000000,-111334206885.000000,-168735196872.000000,-2779242960.000000,-171514439832.000000,1305860451.000000,-170208579381.000000,-171514439833.000000,-170541463356.000000,-972976477.000000,-171514439833.000000,-170208579382.000000,-169235603257.000000,-972976125.000000,-170208579382.000000
12M 2022,438679000808.000000,-222614769424.000000,-222614769424.000000,-222614769424.000000,216064231384.000000,-262125104729.000000,-262125104729.000000,-262125104729.000000,-46060873345.000000,-97814454882.000000,-97759608035.000000,-1055447649.000000,,,128486753.000000,872114049.000000,-97814454882.000000,-143875328227.000000,-37735079594.000000,-181610407821.000000,2168420282.000000,-179441987539.000000,-181610407821.000000,-180817564228.000000,-792843593.000000,-181610407821.000000,-179441987539.000000,-178652132672.000000,-789854867.000000,-179441987539.000000
12M 2023,235745414500.000000,-205501395016.000000,-205501395016.000000,-205501395016.000000,30244019484.000000,-255273526058.000000,-255273526058.000000,-255273526058.000000,-225029506574.000000,-413235974534.000000,-99011281404.000000,-386226028.000000,,,88547427.000000,-313927014529.000000,-413235974534.000000,-638265481108.000000,3944683658.000000,-634320797450.000000,-2187416892.000000,-636508214342.000000,-634320797450.000000,-630418180091.000000,-3902617359.000000,-634320797450.000000,-636508214342.000000,-632607327973.000000,-3900886369.000000,-636508214342.000000
12M 2024,18268844285.000000,-1425747239.000000,-1425747239.000000,-1425747239.000000,16843097046.000000,-23993680291.000000,-23993680291.000000,-23993680291.000000,-7150583245.000000,2933409153.000000,-196645738.000000,,,,29037071.000000,3101017820.000000,2933409153.000000,-4217174092.000000,-1168493168.000000,-5385667260.000000,171773381.000000,-5213893879.000000,-5385667260.000000,-5385667260.000000,,-5385667260.000000,-5213893879.000000,-5213893879.000000,,-5213893879.000000
