Period,Aset,Aset Lancar,Kas Dan Setara Kas,Others,Total Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Pajak,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Obligasi Konversi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,54092739700.000000,,54092739700.000000,37728231163.000000,258526521922.000000,,258526521922.000000,258526521922.000000,11039840251.000000,,11039840251.000000,11039840251.000000,957829282512.000000,123928742904.000000,1443145358452.000000,,289476681840.000000,220487790525.000000,425193770635.000000,67464134219.000000,1002622377219.000000,2445767735671.000000,,,1412585946363.000000,,10314606872.000000,185029252955.000000,195343859827.000000,146499105373.000000,8595618332.000000,,,17298919.000000,265645724967.000000,773184550445.000000,,1038847574331.000000,23299788500.000000,1412585946363.000000,1009882673346.000000,,,905295437480.000000,,905295437480.000000,77966106280.000000,26621129586.000000,1009882673346.000000,2422468619709.000000,,1675188218400.000000,,-1721719777053.000000,-19700785099.000000,89531459714.000000,23299115962.000000,2445767735671.000000,16751882184.000000
12M 2019,,,52978979949.000000,,52978979949.000000,4928737.000000,157341125704.000000,,157341125704.000000,157341125704.000000,13950767694.000000,,13950767694.000000,13950767694.000000,983252611026.000000,132303831586.000000,1339832244696.000000,,260369610084.000000,287488297780.000000,340419107466.000000,78552323936.000000,966829339266.000000,2306661583962.000000,,,841535053450.000000,,8608032633.000000,226307679615.000000,234915712248.000000,165980358621.000000,8236065530.000000,,,17298919.000000,1320656432.000000,405000000000.000000,,406337955351.000000,26064961700.000000,841535053450.000000,1463379192768.000000,,,1141685425849.000000,,1141685425849.000000,294888184657.000000,26805582262.000000,1463379192768.000000,2304914246218.000000,,1675188218400.000000,,-2059131869599.000000,-21979648486.000000,407670637430.000000,1747337745.000000,2306661583963.000000,16751882184.000000
12M 2020,,,16481687464.000000,,16481687464.000000,4856737.000000,164658795332.000000,1122366000.000000,163536429332.000000,164658795332.000000,13918165070.000000,,13918165070.000000,13918165070.000000,878017398418.000000,113117913543.000000,1186198816564.000000,,220114981412.000000,156913388359.000000,162256447229.000000,90504582574.000000,629789399574.000000,1815988216138.000000,,,1635439188912.000000,,13875633404.000000,224536415661.000000,238412049065.000000,202439475657.000000,6136034504.000000,,,16828425615.000000,1163747572627.000000,,,1180575998242.000000,7875631444.000000,1635439188912.000000,128926968662.000000,,9562108798.000000,,,9562108798.000000,85815272675.000000,33549587189.000000,128926968662.000000,1764366157574.000000,,1675188218400.000000,262331546629.000000,-2671519057142.000000,-25658395759.000000,811279746436.000000,51622058564.000000,1815988216138.000000,16751882184.000000
12M 2021,,,10484757842.000000,,10484757842.000000,4856737.000000,175263969890.000000,851826255.000000,174412143635.000000,175263969890.000000,14165557339.000000,,14165557339.000000,14165557339.000000,827087062022.000000,96270045778.000000,1123276249608.000000,,191104726817.000000,151735503483.000000,159236557493.000000,76628104943.000000,578704892736.000000,1701981142344.000000,,,1692773176567.000000,,11257859126.000000,188690730186.000000,199948589312.000000,298123534454.000000,17902945976.000000,,,9562108800.000000,1159577506325.000000,,,1169139615125.000000,7658491700.000000,1692773176567.000000,36672197941.000000,,,,,,,36672197941.000000,36672197941.000000,1729445374508.000000,,1675188218400.000000,353453835283.000000,-2842060520498.000000,-26631371884.000000,812585606535.000000,-27464232164.000000,1701981142344.000000,16751882184.000000
12M 2022,,,9847763422.000000,9847763422.000000,9847763422.000000,4856737.000000,217563136807.000000,312450000.000000,217250686807.000000,217563136807.000000,30453686861.000000,,30453686861.000000,30453686861.000000,803684751725.000000,37574759229.000000,1099128954781.000000,,185714681384.000000,152960901581.000000,120889872177.000000,91633831996.000000,551199287138.000000,1650328241919.000000,,,554707296745.000000,,8885393008.000000,169104453666.000000,177989846674.000000,341177867523.000000,9142079147.000000,,,15960516271.000000,9135656430.000000,,,25096172701.000000,1301330700.000000,554707296745.000000,1187588490695.000000,,43675064817.000000,1106982579378.000000,,1150657644195.000000,,36930846500.000000,1187588490695.000000,1742295787440.000000,,2345317724000.000000,608263003865.000000,-3022878084726.000000,-27421226751.000000,4751038091.000000,-91967545521.000000,1650328241919.000000,23453177240.000000
12M 2023,,,7309481258.000000,7309481258.000000,7309481258.000000,4856737.000000,121173885018.000000,,121173885018.000000,121173885018.000000,16750929309.000000,,16750929309.000000,16750929309.000000,524580068677.000000,21224404289.000000,691043625288.000000,,162811090436.000000,179594646904.000000,125451519573.000000,56104880542.000000,523962137455.000000,1215005762743.000000,,,1875302652458.000000,,5785291314.000000,339498145925.000000,345283437239.000000,392303412936.000000,14383741635.000000,,,13621749903.000000,1109118014245.000000,,,1122739764148.000000,592296500.000000,1875302652458.000000,68178870148.000000,,29742374008.000000,,,29742374008.000000,,38436496140.000000,68178870148.000000,1943481522606.000000,,2345317724000.000000,608263003865.000000,-3653296264817.000000,-31322113120.000000,2561890209.000000,-728475759863.000000,1215005762743.000000,23453177240.000000
12M 2024,,,93157316326.000000,,93157316326.000000,,37544494052.000000,,37544494052.000000,37544494052.000000,810061986.000000,,810061986.000000,810061986.000000,505070855254.000000,17938366073.000000,654521093691.000000,,75807570960.000000,181705640794.000000,127268183409.000000,5566554830.000000,390347949993.000000,1044869043684.000000,,,342093320087.000000,,3838823674.000000,68053337808.000000,71892161482.000000,28742966424.000000,8480655681.000000,224320000000.000000,,,,,,,8657536500.000000,342093320087.000000,27380547369.000000,,,,,,,27380547369.000000,27380547369.000000,369473867456.000000,,3827014179100.000000,608263003865.000000,-3731756128356.000000,-31496870320.000000,3370991939.000000,675395176228.000000,1044869043684.000000,41360517722.000000
