Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran (Penerimaan) Pajak,Penerimaan Atas Lainnya,Pembayaran Atas Lainnya,Penerimaan Atas Penghasilan Keuangan,Pembayaran Atas Biaya Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Akuisisi Entitas Anak Dengan Perolehan Kas,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Atas Pinjaman Bank,Penerimaan Pinjaman Pemegang Saham,Pembayaran Pinjaman Pemegang Saham,Penerimaan Dari Penerbitan Saham,Penerimaan Transaksi Pihak Berelasi,Pembayaran Transaksi Pihak Berelasi,Pembayaran Atas Dividen,Pembayaran Atas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-78142000000.000000,952915000000.000000,-919917000000.000000,-80431000000.000000,-19088000000.000000,,-2567000000.000000,2847000000.000000,-11901000000.000000,-78142000000.000000,-158573000000.000000,-158573000000.000000,,,-158573000000.000000,230948000000.000000,,,110190000000.000000,,220000000000.000000,,-22352000000.000000,,-76890000000.000000,230948000000.000000,-5767000000.000000,94157000000.000000,88390000000.000000
12M 2022,448233000000.000000,2487013000000.000000,-1760883000000.000000,-205550000000.000000,-77684000000.000000,3992000000.000000,,5415000000.000000,-4070000000.000000,448233000000.000000,-409475000000.000000,-412448000000.000000,,2973000000.000000,-409475000000.000000,4402000000.000000,,,155810000000.000000,,,92843000000.000000,-50423000000.000000,,-193828000000.000000,4402000000.000000,43160000000.000000,88390000000.000000,131550000000.000000
12M 2023,762777000000.000000,4312719000000.000000,-3047614000000.000000,-356841000000.000000,-125166000000.000000,12440000000.000000,,6809000000.000000,-39570000000.000000,762777000000.000000,-584647000000.000000,-606153000000.000000,,21506000000.000000,-584647000000.000000,-18272000000.000000,207119000000.000000,,,-88607000000.000000,2200000000.000000,177261000000.000000,-22785000000.000000,-83882000000.000000,-209578000000.000000,-18272000000.000000,159858000000.000000,131550000000.000000,291408000000.000000
12M 2024,767284000000.000000,6875946000000.000000,-4395825000000.000000,-773481000000.000000,-432731000000.000000,16978000000.000000,-1201000000.000000,5526000000.000000,-527928000000.000000,767284000000.000000,-1066844000000.000000,-706732000000.000000,-360507000000.000000,395000000.000000,-1066844000000.000000,680899000000.000000,1314671000000.000000,,,-1250083000000.000000,910655000000.000000,394411000000.000000,-37167000000.000000,,-651588000000.000000,680899000000.000000,381339000000.000000,291408000000.000000,672747000000.000000
