Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2021,(78 B),(159 B),(237 B),-38396.59
12M 2022,448 B,(412 B),36 B,5804.54
12M 2023,763 B,(606 B),157 B,25315.00
12M 2024,767 B,(707 B),61 B,2.40
