Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,88390000000.000000,696262000000.000000,,696262000000.000000,696262000000.000000,4408000000.000000,,,4408000000.000000,284713000000.000000,138113000000.000000,1211886000000.000000,,202999000000.000000,,2846000000.000000,463772000000.000000,239115000000.000000,908732000000.000000,2120618000000.000000,,,402659000000.000000,,4385000000.000000,,4385000000.000000,54904000000.000000,,,54904000000.000000,277179000000.000000,15279000000.000000,,50912000000.000000,,50912000000.000000,402659000000.000000,1255038000000.000000,,66410000000.000000,,,66410000000.000000,,1188628000000.000000,1255038000000.000000,1657697000000.000000,,616500000000.000000,,-210818000000.000000,,-210818000000.000000,-210818000000.000000,57143000000.000000,96000000.000000,462921000000.000000,2120618000000.000000,6165000.000000
12M 2022,,,131550000000.000000,424085000000.000000,,424085000000.000000,424085000000.000000,5165000000.000000,,,5165000000.000000,522973000000.000000,268945000000.000000,1352718000000.000000,,531364000000.000000,,1580000000.000000,437179000000.000000,476360000000.000000,1446483000000.000000,2799201000000.000000,,,818620000000.000000,,12020000000.000000,,12020000000.000000,88474000000.000000,,,88474000000.000000,505241000000.000000,87661000000.000000,,125224000000.000000,,125224000000.000000,818620000000.000000,1390162000000.000000,,41440000000.000000,,,41440000000.000000,1687000000.000000,1347035000000.000000,1390162000000.000000,2208782000000.000000,,616500000000.000000,,-108477000000.000000,,-108477000000.000000,-108477000000.000000,82352000000.000000,44000000.000000,590419000000.000000,2799201000000.000000,6165000.000000
12M 2023,,,291408000000.000000,5959000000.000000,,5959000000.000000,5959000000.000000,15181000000.000000,,,15181000000.000000,929571000000.000000,358570000000.000000,1600689000000.000000,,933742000000.000000,,29615000000.000000,342179000000.000000,739011000000.000000,2044547000000.000000,3645236000000.000000,,,1364460000000.000000,,22383000000.000000,,22383000000.000000,119394000000.000000,,,119394000000.000000,690807000000.000000,160902000000.000000,,163855000000.000000,207119000000.000000,370974000000.000000,1364460000000.000000,1420289000000.000000,,153124000000.000000,,,153124000000.000000,,1267165000000.000000,1420289000000.000000,2784749000000.000000,,618700000000.000000,,129395000000.000000,,129395000000.000000,129395000000.000000,113407000000.000000,-1015000000.000000,860487000000.000000,3645236000000.000000,6187003.000000
12M 2024,,,672747000000.000000,,,,,612000000.000000,,,612000000.000000,1894930000000.000000,679785000000.000000,3248074000000.000000,,1478098000000.000000,15000000.000000,68942000000.000000,,1540177000000.000000,3087232000000.000000,6335306000000.000000,,,2145934000000.000000,,29138000000.000000,,29138000000.000000,173725000000.000000,,,173725000000.000000,525091000000.000000,304748000000.000000,,355942000000.000000,757290000000.000000,1113232000000.000000,2145934000000.000000,1102672000000.000000,,310311000000.000000,,764500000000.000000,1074811000000.000000,,27861000000.000000,1102672000000.000000,3248606000000.000000,,629761000000.000000,1423928000000.000000,1008379000000.000000,30000000.000000,1008349000000.000000,1008379000000.000000,25617000000.000000,-985000000.000000,3086700000000.000000,6335306000000.000000,25190392000.000000
