Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,0.01 B,-14086.29,-0.00,0.00,68.66 B,-4.10%,-21.40%,2.56%,0.23
12M 2022,0.01 B,16600.32,0.00,0.00,389.63 B,3.66%,20.14%,13.06%,2.27
12M 2023,0.01 B,52004.82,0.00,0.00,867.78 B,8.83%,43.07%,26.72%,4.66
12M 2024,25.19 B,42.63,41.75,6.60,"2,236.21 B",16.95%,35.08%,48.93%,8.72
