Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kepada Pemasok , Kontraktor Dan Lainnya",Pembayaran Kepada Karyawan,Lain-Lain,Pembayaran Pajak Penghasilan,Penerimaan Taksiran Tagihan Pajak,Pembayaran Pajak Final Atas Revaluasi Aset Tetap,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Jangka Pendek,Penempatan,Hasil Penarikan,Total Investasi Jangka Pendek,Penerimaan Bunga,Aset Tetap,Perolehan Aset Tetap,Hasil Penjualan,Total Aset Tetap,Penambahan Piutang Lain-Lain Dari Pihak Berelasi,Uang Muka Untuk Perolehan Aset Tetap,Investasi Dalam Ventura Bersama,Penerimaan Dividen,Penambahan Investasi Jangka Panjang,Pembayaran Utang Akuisisi Entitas Anak,Penambahan Uang Muka Investasi,Penerimaan Atas Pengembalian Uang Muka Investasi,Investasi Dalam Asosiasi,Penambahan Biaya Eksplorasi Dan Pengembangan,Dana Yang Dibatasi Pencairannya,Pencairan,Penempatan,Total Dana Yang Dibatasi Pencairannya,Perolehan Obligasi Konversi,Perubahan Dalam Aset Tidak Lancar,Penerimaan Pembayaran Obligasi Konversi,Penambahan Investasi Dalam Asosiasi,Penerimaan Dari Pelepasan Investasi Entitas Anak,Dampak Pelepasan Entitas Anak,Perolehan Investasi Saham,Pembayaran Uang Muka Pembelian Saham,Penerimaan Atas Properti Investasi,Penambahan Konstruksi Pembangkit Listrik,Hasil Penjualan Investasi Jangka Panjang,Pencairan (Penempatan) Investasi Jangka Panjang,Penambahan Properti Investasi,Penambahan Investasi Tersedia Untuk Dijual,Penambahan Aset Biologis,Hasil Bersih Penjualan Investasi Saham,Penambahan Tambang Dalam Pengembangan,Pembayaran Imbalan Yang Ditangguhkan,Penurunan (Kenaikan) Aset Tidak Lancar,Penerimaan Dari Investasi Dalam Money Market Fund,Pengeluaran Atas Akuisisi Entitas Anak Setelah Dikurangi Saldo Kas Pada Tanggal Akuisisi,Pembayaran Uang Muka Ganti Rugi Lahan,Biaya Emisi Saham,Penerimaan (Pembayaran) Untuk Akuisisi Entitas Anak Setelah Dikurangi Saldo Kas Pada Tanggal Akuisisi,Pembayaran Untuk Akuisisi Entitas Anak Setelah Dikurangi Saldo Kas,Pembayaran Kepada Kontraktor Sehubungan Dengan Perjanjian Konsesi Jasa,Akuisisi Saham Anak Perusahaan Dari Pemegang Saham Minoritas,Kenaikan Piutang Lain-Lain Pihak Ketiga,Penerimaan Dari Piutang Lain-Lain Jangka Panjang,Kenaikan Dari Piutang Lain-Lain Jangka Pendek,Penambahan Uang Muka Pembelian Aset Tetap,Hasil Penjualan Investasi Tersedia Untuk Dijual,Penempatan Investasi Dalam Deposito Berjangka,Pembelian Saham Entitas Anak Dari Kepentingan Non Pengendali,Perubahan Dalam Dana Yang Dibatasi Pencairannya,Penambahan Aset Perhutanan,Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Utang Bank Jangka Pendek,Penerimaan,Pembayaran,Total Penerimaan (Pembayaran) Utang Bank Jangka Pendek,Pembayaran Obligasi Konversi,Anjak Piutang,Penerimaan Dari Sewa Pembiayaan,Utang Bank Jangka Panjang/Lembaga Keuangan,Penerimaan,Pembayaran,Total Utang Bank Jangka Panjang/Lembaga Keuangan,Utang Lain-Lain Kepada Pihak Berelasi,Penerimaan,Pembayaran,Total Utang Lain-Lain Kepada Pihak Berelasi,Pembayaran Akuisisi Saham Entitas Anak Dari Kepentingan Nonpengendali Yang Tidak Mengakibatkan Kehilangan Pengendalian,Penerimaan Dari Pengalihan Saham Entitas Anak Yang Tidak Mengakibatkan Kehilangan Pengendali,Penerimaan (Pembayaran) Utang Usaha Jangka Panjang,Liabilitas Jangka Panjang,Penerimaan,Pembayaran,Total Liabilitas Jangka Panjang,Setoran Modal Saham Dari Kepentingan Nonpengendali,Pembelian Kembali Modal Saham,Penerimaan Dari Senior Secured Notes,Penebusan Atas Senior Notes,Penerimaan Atas Penjualan Investasi Saham,Pembayaran Liabilitas Anjak Piutang,Kenaikan Utang Wajib Konversi,Kenaikan (Penurunan) Liabilitas Jangka Panjang Lainnya,Penerbitan Saham Kepada Kepentingan Nonpengendali,Pembayaran Utang Lain-Lain - Pihak Ketiga,Pembayaran Liabilitas Sewa Pembiayaan,Biaya Emisi Saham,Obligasi Konversi,Sukuk Mudharabah,Pembayaran Bunga Dan Beban Keuangan Lainnya,Utang Kepada Lembaga Keuangan Lainnya,Penerimaan Bersih Utang Lain-Lain Kepada Pihak Berelasi,Penerimaan Dari Penawaran Umum Perdana Saham - Bersih,Utang Wajib Konversi Entitas Anak Dari Kepentingan Nonpengendali,Penerimaan Utang Kepada Pihak Yang Mempunyai Hubungan Istimewa,Pembayaran Utang Obligasi,Dividen Entitas Anak Kepada Kepentingan Nonpengendali,Pelepasan Kepentingan Terhadap Entitas Anak Kepada Entitas Non Pengendali,Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Pengaruh Penyesuaian Proforma Dari Transaksi Restrukturisasi Entitas Sepengendali,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,61897106.000000,309657721.000000,-251352328.000000,-4256229.000000,,7847942.000000,,,61897106.000000,-73942650.000000,,7619.000000,,7619.000000,313301.000000,,-60077158.000000,7461045.000000,-52616113.000000,,,,,,,,,,,,,,,,,,,,,-57194.000000,-4138537.000000,,,,,-17451726.000000,,,,,,,,,,,,,,,,,,,,,,,,,-73942650.000000,-10858537.000000,,,,,-5000000.000000,,,,,-16228188.000000,-16228188.000000,,,,,,,-6108579.000000,,,,,,,,,,,,,,,,,27000000.000000,,-10521770.000000,,,,,,,,,,-10858537.000000,-22904081.000000,28556764.000000,,,,5652683.000000
12M 2009,46219939.000000,191427299.000000,-140407346.000000,-4056007.000000,,-744007.000000,,,46219939.000000,9176557.000000,,,,,416920.000000,,-23510977.000000,33465064.000000,9954087.000000,,,,17273.000000,,,,4138537.000000,,,,,,,,,,,,,-3352468.000000,,,,,,-409384.000000,,,,,,,,,,,-1588408.000000,,,,,,,,,,,,,,9176557.000000,-39602632.000000,,,,,-22000000.000000,,,,,-17468697.000000,-17468697.000000,,,,,,,,,,,,,,,,,,,,,,,,,,-15433695.000000,,,15299760.000000,,,,,,,-39602632.000000,15793864.000000,5652683.000000,,,,21446547.000000
12M 2010,38603415.000000,238099953.000000,-185301959.000000,-12825404.000000,,-1369175.000000,,,38603415.000000,-26615441.000000,,-5168336.000000,,-5168336.000000,889186.000000,,-14178643.000000,7382447.000000,-6796196.000000,,,,24734.000000,,,,,,,,,,,,,,,,,-2223533.000000,,,,,,-122628.000000,,,89593.000000,,,-3075193.000000,,,,,-10233068.000000,,,,,,,,,,,,,,-26615441.000000,34764921.000000,103898068.000000,,,103898068.000000,,,,,,-45163285.000000,-45163285.000000,,,,,,,,,,,,,,,,,-556112.000000,,,,,-26347.000000,,-6650000.000000,,-16737403.000000,,,,,,,,,,34764921.000000,46752895.000000,28637634.000000,585282.000000,-7191087.000000,,68784724.000000
12M 2011,51649825.000000,557257350.000000,-489903059.000000,-19316676.000000,,3612210.000000,,,51649825.000000,-136736277.000000,,-4901836.000000,,-4901836.000000,6380738.000000,,-40203947.000000,14920022.000000,-25283925.000000,,,,49432.000000,,,,,,,,,-57344508.000000,-57344508.000000,,,,,,,-21269701.000000,,,,,,-9140729.000000,,,,,,-25225748.000000,,,,,,,,,,,,,,,,,,,-136736277.000000,498112706.000000,23450782.000000,,,23450782.000000,,,,,,-38682617.000000,-38682617.000000,,,,,,,,,,,,239146332.000000,,,,293402804.000000,,,,,,-844569.000000,,,,-18241216.000000,,,,,,,-118810.000000,,,498112706.000000,413026254.000000,68784724.000000,-425534.000000,,,481385444.000000
12M 2012,-77050376.000000,637827201.000000,-715106896.000000,19836765.000000,,-19607446.000000,,,-77050376.000000,-63914633.000000,,,643406.000000,643406.000000,15308204.000000,,-38358655.000000,36119.000000,-38322536.000000,,,,74215.000000,,,,,,,,65131806.000000,,65131806.000000,-112495504.000000,,,,,,,,,,,,,,,12651969.000000,-8603459.000000,,3010145.000000,,,,,-1312879.000000,,,,,,,,,,,,,,-63914633.000000,-80703966.000000,2700000.000000,,,2700000.000000,-13056929.000000,,,,34367619.000000,-87454424.000000,-53086805.000000,,,,,,,,,,,,,,,,,-1000000.000000,,,,,-1102932.000000,,,,-10393093.000000,,,,,,,-4764207.000000,,,-80703966.000000,-221668975.000000,481385444.000000,-8409966.000000,,,251306503.000000
12M 2013,54957937.000000,616114028.000000,-517616701.000000,-31226148.000000,,-12313242.000000,,,54957937.000000,-95971121.000000,,-13029083.000000,9112415.000000,-3916668.000000,11957442.000000,,-88643095.000000,175518.000000,-88467577.000000,,,-1419870.000000,114000.000000,,,,,,,,-273966.000000,,-273966.000000,1729000.000000,,,,,,,,,,,,,,,,-2645916.000000,,-3447441.000000,,,-9600125.000000,,,,,,,,,,,,,,,,-95971121.000000,-11643110.000000,19250782.000000,,,19250782.000000,-22200000.000000,,,,44959639.000000,-34904244.000000,10055395.000000,,,,,,,,,,,,,,,,,,,137453.000000,1023.000000,,-1165317.000000,,,,-11477692.000000,,,,,,,-6244754.000000,,,-11643110.000000,-52656294.000000,251306503.000000,-17088303.000000,,,181561906.000000
12M 2014,27746027.000000,644904839.000000,-580826908.000000,-31033364.000000,,-5298540.000000,,,27746027.000000,-180373907.000000,,,8571433.000000,8571433.000000,12038199.000000,,-129608329.000000,723080.000000,-128885249.000000,,,-19214325.000000,77792.000000,,,,,,,,,,,,,,,,,,,,,,-97933045.000000,,,,,-3896246.000000,,-439289.000000,,,-1513945.000000,,,,,,,52350604.000000,,,,,,-1529836.000000,,,-180373907.000000,90231525.000000,,29826535.000000,-24533791.000000,5292744.000000,,,,,173920548.000000,-71016222.000000,102904326.000000,,,,,,,-267655.000000,,,,,,,,,,,,,848.000000,,-306139.000000,,,,-17567807.000000,,,,,,,,175208.000000,,90231525.000000,-62396355.000000,181561906.000000,-1666028.000000,,,117499523.000000
12M 2015,768837.000000,485230495.000000,-439705015.000000,-35777637.000000,,-3188736.000000,,-5790270.000000,768837.000000,-177078538.000000,,,,,4802893.000000,,-98313337.000000,120555.000000,-98192782.000000,,-22663447.000000,,87631.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-1042694.000000,,-28640894.000000,,,-4298496.000000,,1427339.000000,,,,,-29952179.000000,,,,,,1945280.000000,-551189.000000,,-177078538.000000,219239542.000000,,37413468.000000,-35657345.000000,1756123.000000,,,,,303474524.000000,-4969584.000000,298504940.000000,,,,,,,-39455045.000000,,,,,,,,,,,,,92392.000000,,,,,,-40630512.000000,,,,,,,-1028356.000000,,,219239542.000000,42929841.000000,117499523.000000,-4677946.000000,,,155751418.000000
12M 2016,24551221.000000,602951671.000000,-539506591.000000,-34140510.000000,,-8252155.000000,3498806.000000,,24551221.000000,-142397833.000000,,,,,6602561.000000,,-63777791.000000,5673058.000000,-58104733.000000,,-29413089.000000,,,,-11100000.000000,,,,,,,,,,15387946.000000,,-4992435.000000,,,,,,,,,,-10000000.000000,,,-911698.000000,,,,,-1741990.000000,,-45372300.000000,,,,,26652.000000,,,,,-1497230.000000,-325429.000000,-956088.000000,,-142397833.000000,116660069.000000,,48991018.000000,-55844951.000000,-6853933.000000,,,,,161228314.000000,-79215460.000000,82012854.000000,,4780691.000000,,4780691.000000,,,,,,,,,,,,,,,,84215949.000000,,,,,,-42034405.000000,,,,,,,-5461087.000000,,,116660069.000000,-1186543.000000,155751418.000000,-1142697.000000,,,153422178.000000
12M 2017,94160183.000000,1035869617.000000,-865379204.000000,-53120415.000000,,-23209815.000000,,,94160183.000000,-112263717.000000,,,,,8834576.000000,,-55961508.000000,50931.000000,-55910577.000000,,-5327397.000000,,,,,,,,,,,,,,-7712318.000000,,-39148148.000000,,,,,,,2962833.000000,,,,,,-4343622.000000,,,,,-4240018.000000,,,,,,,,,,,,,-6095756.000000,-1283290.000000,,-112263717.000000,122736632.000000,,93366895.000000,-77657229.000000,15709666.000000,,,,,274424181.000000,-106692759.000000,167731422.000000,,8504696.000000,,8504696.000000,,,,,,,,3797636.000000,,,,,,,,,,,,,,-59578520.000000,,,,1483614.000000,,,-14911882.000000,,,122736632.000000,104633098.000000,153422178.000000,2830.000000,,,258058106.000000
