Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Pihak Berelasi,Total Piutang Usaha,Piutang Pihak Berelasi,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Investasi Jangka Panjang,Goodwill,Aset Pajak Tangguhan,Properti Investasi,Aset Tetap,Properti Pertambangan,Biaya Pengupasan Tanah Yang Ditangguhkan,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Dari Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Sukuk Mudharabah,Utang Lain Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Jangka Panjang Dari Pihak Berelasi,Senior Notes,Liabilitas Derivatif,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Lain Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Sukuk Mudharabah,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Obligasi Konversi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,5652683.000000,,72311326.000000,72209266.000000,102060.000000,72311326.000000,782761.000000,,,782761.000000,6961961.000000,,62935185.000000,148643916.000000,,,,,20386672.000000,,,,,,,,75190089.000000,271730046.000000,,,,,51807331.000000,419114138.000000,567758054.000000,,,97518105.000000,,,12933389.000000,8905563.000000,21838952.000000,8223023.000000,,,8223023.000000,1399957.000000,6522311.000000,,,16762900.000000,,,,,16762900.000000,42770962.000000,97518105.000000,169236494.000000,31474050.000000,,,,,3250906.000000,,,,110577401.000000,,,,,110577401.000000,22000000.000000,1934137.000000,169236494.000000,266754599.000000,,69849200.000000,,231154255.000000,,,231154255.000000,,,301003455.000000,567758054.000000,69849200.000000
12M 2009,,,21446547.000000,,93403344.000000,89321518.000000,4081826.000000,93403344.000000,2355887.000000,,,2355887.000000,8175963.000000,,11246449.000000,136628190.000000,,,,,19434678.000000,,,,,,,202373.000000,71387624.000000,253294433.000000,3457803.000000,1017019.000000,14337818.000000,,52928637.000000,416060385.000000,552688575.000000,,,73678846.000000,,,16493696.000000,13358446.000000,29852142.000000,13819676.000000,,,13819676.000000,1560708.000000,2817990.000000,,,24116403.000000,,,,25201.000000,24141604.000000,1486726.000000,73678846.000000,156728552.000000,29278259.000000,,,,,157596.000000,,,,118525581.000000,,41899.000000,,,118567480.000000,5360000.000000,3365217.000000,156728552.000000,230407398.000000,,72498628.000000,12650332.000000,236737574.000000,,,236737574.000000,116471.000000,278172.000000,322281177.000000,552688575.000000,770552320.000000
12M 2010,,,68784724.000000,5190197.000000,87117306.000000,62396813.000000,24720493.000000,87117306.000000,4980458.000000,,,4980458.000000,35915804.000000,738551.000000,23019195.000000,225746235.000000,,17656296.000000,17656296.000000,17656296.000000,,,,,,,,2844030.000000,68040683.000000,248230064.000000,7537016.000000,4376786.000000,26912604.000000,,63770670.000000,439368149.000000,665114384.000000,,,124908678.000000,21619285.000000,,11000784.000000,35356156.000000,46356940.000000,11233062.000000,,,11233062.000000,2830897.000000,6424659.000000,301343.000000,,31348626.000000,,,,89988.000000,31438614.000000,4703878.000000,124908678.000000,204465461.000000,25252946.000000,,,,,,,,,174002387.000000,,31241.000000,,,174033628.000000,,5178887.000000,204465461.000000,329374139.000000,,72498628.000000,12650332.000000,260988851.000000,,,260988851.000000,198204.000000,-10595770.000000,335740245.000000,665114384.000000,770552320.000000
12M 2011,,,481385444.000000,10367214.000000,125433871.000000,78898747.000000,46535124.000000,125433871.000000,26585725.000000,541132.000000,26044593.000000,26585725.000000,57520854.000000,,94909075.000000,796202183.000000,,15904028.000000,15904028.000000,15904028.000000,,,,,,,,4566851.000000,4548486.000000,253606744.000000,6627246.000000,10118757.000000,35890204.000000,,156294461.000000,487556777.000000,1283758960.000000,,,240947536.000000,26223743.000000,,7397003.000000,76095574.000000,83492577.000000,,428014.000000,4474649.000000,4902663.000000,23047266.000000,10771861.000000,,,84187568.000000,,,,1104174.000000,85291742.000000,7217684.000000,240947536.000000,131672294.000000,21604658.000000,,,,,,,,,100921287.000000,,1471456.000000,,,102392743.000000,,7674893.000000,131672294.000000,372619830.000000,,72498628.000000,12650332.000000,294458662.000000,200000.000000,294258662.000000,294458662.000000,103481975.000000,428049533.000000,911139130.000000,1283758960.000000,770552320.000000
12M 2012,,,251306503.000000,82327392.000000,138485478.000000,101963136.000000,36522342.000000,138485478.000000,26483318.000000,479132.000000,26004186.000000,26483318.000000,56641939.000000,,62463222.000000,617707852.000000,,,,,,,,,,151303297.000000,980102.000000,7315594.000000,4500182.000000,278666358.000000,102393265.000000,,,,53344636.000000,598503434.000000,1216211286.000000,,,171642058.000000,15000000.000000,,3908403.000000,78826420.000000,82734823.000000,,349872.000000,13357148.000000,13707020.000000,4885394.000000,8817713.000000,,,34800949.000000,,,,1165317.000000,35966266.000000,10530842.000000,171642058.000000,129557708.000000,21002454.000000,,,,,,,,,97344396.000000,,306139.000000,,,97650535.000000,,10904719.000000,129557708.000000,301199766.000000,,72498628.000000,12650332.000000,310602449.000000,300000.000000,310302449.000000,310602449.000000,103084735.000000,416175376.000000,915011520.000000,1216211286.000000,770552320.000000
12M 2013,,,181561906.000000,12495855.000000,125131426.000000,94986556.000000,30144870.000000,125131426.000000,5755718.000000,535977.000000,5219741.000000,5755718.000000,56426342.000000,,29752496.000000,411123743.000000,,,,,,54517310.000000,,54517310.000000,54517310.000000,185369525.000000,777590.000000,11193174.000000,4451878.000000,344353748.000000,92867999.000000,,,,96275113.000000,789806337.000000,1200930080.000000,,,199118663.000000,12050782.000000,,2530656.000000,82130679.000000,84661335.000000,,29903.000000,50167301.000000,50197204.000000,2294600.000000,8798709.000000,,,37924074.000000,,,,306139.000000,38230213.000000,2885820.000000,199118663.000000,136576723.000000,20243458.000000,,,,,,,,,104379357.000000,,,,,104379357.000000,,11953908.000000,136576723.000000,335695386.000000,,72498628.000000,10371267.000000,294960203.000000,400000.000000,294560203.000000,294960203.000000,83697735.000000,403706861.000000,865234694.000000,1200930080.000000,770552320.000000
12M 2014,,,117499523.000000,,79179641.000000,22952132.000000,56227509.000000,79179641.000000,9003223.000000,344942.000000,8658281.000000,9003223.000000,29430550.000000,,47135522.000000,282248459.000000,,,,,,348718.000000,,348718.000000,348718.000000,278017523.000000,761901.000000,16257403.000000,4403574.000000,554884477.000000,96020560.000000,,,,69555628.000000,1020249784.000000,1302498243.000000,,,148407679.000000,17362493.000000,,10511874.000000,66511758.000000,77023632.000000,,196925.000000,33028575.000000,33225500.000000,3188025.000000,11140285.000000,,,4306903.000000,,,813755.000000,,5120658.000000,1347086.000000,148407679.000000,315790967.000000,22055979.000000,,,,,,,,,240989531.000000,39249968.000000,,,,280239499.000000,,13495489.000000,315790967.000000,464198646.000000,,72498628.000000,10371267.000000,300049561.000000,400000.000000,299649561.000000,300049561.000000,84416170.000000,370963971.000000,838299597.000000,1302498243.000000,770552320.000000
12M 2015,,,155751418.000000,,97040372.000000,31165638.000000,65874734.000000,97040372.000000,36476529.000000,180636.000000,36295893.000000,36476529.000000,40163874.000000,,74871945.000000,404304138.000000,,,,,,3008588.000000,,3008588.000000,3008588.000000,264230496.000000,103701477.000000,28408376.000000,4355270.000000,734798526.000000,79964319.000000,,,,110711362.000000,1329178414.000000,1733482552.000000,,,263774897.000000,33076925.000000,,5913634.000000,66817221.000000,72730855.000000,,279200.000000,58018992.000000,58298192.000000,14464708.000000,39999137.000000,,,41584511.000000,,,1101796.000000,,42686307.000000,2518773.000000,263774897.000000,552993589.000000,1121469.000000,,,,,,,6054712.000000,,525233314.000000,5806814.000000,,,,531040128.000000,,14777280.000000,552993589.000000,816768486.000000,,72498628.000000,10371267.000000,294812684.000000,500000.000000,294312684.000000,294812684.000000,87523124.000000,451508363.000000,916714066.000000,1733482552.000000,770552320.000000
12M 2016,,,153422178.000000,3668056.000000,83731493.000000,19243329.000000,64488164.000000,83731493.000000,40358456.000000,186616.000000,40171840.000000,40358456.000000,31353014.000000,,108782813.000000,421316010.000000,,,,,,3010719.000000,55820.000000,2954899.000000,3010719.000000,291839081.000000,102882117.000000,25078798.000000,4306966.000000,422533252.000000,112685051.000000,,,,848855016.000000,1811191000.000000,2232507010.000000,,,241070594.000000,26122496.000000,,4837989.000000,52367245.000000,57205234.000000,,353400.000000,50746657.000000,51100057.000000,21649956.000000,23256267.000000,,,56518479.000000,,,2044039.000000,,58562518.000000,3174066.000000,241070594.000000,708108206.000000,91866511.000000,,,,,5019496.000000,,2138472.000000,,591025111.000000,5866258.000000,,,,596891369.000000,,12192358.000000,708108206.000000,949178800.000000,,72498628.000000,10531355.000000,550690952.000000,500000.000000,550190952.000000,550690952.000000,110640813.000000,538966462.000000,1283328210.000000,2232507010.000000,770552320.000000
12M 2017,,,258058106.000000,4660786.000000,136300988.000000,47076913.000000,89224075.000000,136300988.000000,67222272.000000,410208.000000,66812064.000000,67222272.000000,71388000.000000,,147927627.000000,685557779.000000,,,,,,259709.000000,151293.000000,108416.000000,259709.000000,337523734.000000,98157883.000000,28773816.000000,4258662.000000,438078851.000000,112960391.000000,,,,1031421823.000000,2051434869.000000,2736992648.000000,,,412999990.000000,41797034.000000,,6081131.000000,138371247.000000,144452378.000000,,9074010.000000,38314940.000000,47388950.000000,45944274.000000,43493173.000000,,,81296281.000000,,,3677806.000000,,84974087.000000,4950094.000000,412999990.000000,869671902.000000,116902473.000000,,,,,,,686157.000000,,732988811.000000,3763589.000000,,,,736752400.000000,,15330872.000000,869671902.000000,1282671892.000000,,72498628.000000,10531355.000000,635617762.000000,600000.000000,635017762.000000,635617762.000000,131308131.000000,604364880.000000,1454320756.000000,2736992648.000000,770552320.000000
