Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Eksplorasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Perubahan Nilai Aset Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan (Rugi) Atas Transaksi Derivatif,Laba Dari Ventura Bersama,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Proforma Hak Minoritas,Proforma Laba Bersih Dari Transaksi Restrukturisasi Entitas Sepengendali,Laba Pra Akuisisi,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Proforma Hak Minoritas,Proforma Laba Bersih Dari Transaksi Restrukturisasi Entitas Sepengendali,Laba Pra Akuisisi,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,255959706.000000,-217329287.000000,38630419.000000,-2306396.000000,-637033.000000,-1669363.000000,,-2306396.000000,36324023.000000,-11546801.000000,313301.000000,,,-10625258.000000,-4539549.000000,,,,3304705.000000,-11546801.000000,24777222.000000,4277671.000000,,,4277671.000000,29054893.000000,,,,,29054893.000000,,,29054893.000000,29054893.000000,,,,,29054893.000000,,,,
12M 2009,217871280.000000,-188258231.000000,29613049.000000,-2390947.000000,-578472.000000,-1812475.000000,,-2390947.000000,27222102.000000,-23834574.000000,416920.000000,,,-15381941.000000,-13440549.000000,-215621.000000,,,4786617.000000,-23834574.000000,3387528.000000,2195791.000000,,,2195791.000000,5583319.000000,,,,,5583319.000000,,,5583319.000000,5583319.000000,,,,,5583319.000000,,,,
12M 2010,364137473.000000,-294193427.000000,69944046.000000,-37537337.000000,-17190799.000000,-20195778.000000,-150760.000000,-37537337.000000,32406709.000000,-17543832.000000,950365.000000,,,-19735811.000000,133389.000000,,,,1108225.000000,-17543832.000000,14862877.000000,4171158.000000,-2259354.000000,6430512.000000,4171158.000000,19034035.000000,-12827.000000,,,5230069.000000,24251277.000000,,,24251277.000000,19034035.000000,-12827.000000,,,5230069.000000,24251277.000000,,,,
12M 2011,591244128.000000,-462025988.000000,129218140.000000,-73717964.000000,-30867512.000000,-42288117.000000,-562335.000000,-73717964.000000,55500176.000000,-12508610.000000,6707391.000000,-3019433.000000,12462586.000000,-18515406.000000,-5485660.000000,,,,-4658088.000000,-12508610.000000,42991566.000000,-9882291.000000,-15334958.000000,5452667.000000,-9882291.000000,33109275.000000,,,,,33109275.000000,9830461.000000,42939736.000000,33109275.000000,33325356.000000,-216081.000000,,,,33109275.000000,42939736.000000,43412239.000000,-472503.000000,42939736.000000
12M 2012,629229559.000000,-531154442.000000,98075117.000000,-85228433.000000,-41288995.000000,-43325109.000000,-614329.000000,-85228433.000000,12846684.000000,12029947.000000,16537017.000000,2719183.000000,36119.000000,-10267731.000000,-10830377.000000,,,,13835736.000000,12029947.000000,24876631.000000,-1925646.000000,-6273186.000000,4347540.000000,-1925646.000000,22950985.000000,,,,,22950985.000000,-19953392.000000,2997593.000000,22950985.000000,16062592.000000,6888393.000000,,,,22950985.000000,2997593.000000,2286091.000000,711502.000000,2997593.000000
12M 2013,606817886.000000,-508049920.000000,98767966.000000,-97285740.000000,-38843702.000000,-58124533.000000,-317505.000000,-97285740.000000,1482226.000000,-9457362.000000,13453601.000000,-590089.000000,114229.000000,-7746725.000000,-15306808.000000,,,,618430.000000,-9457362.000000,-7975136.000000,-2187269.000000,-7982171.000000,5794902.000000,-2187269.000000,-10162405.000000,,,,,-10162405.000000,-33365132.000000,-43527537.000000,-10162405.000000,-15642246.000000,5479841.000000,,,,-10162405.000000,-43527537.000000,-30389826.000000,-13137711.000000,-43527537.000000
12M 2014,599631085.000000,-428928515.000000,170702570.000000,-162482968.000000,-107781453.000000,-54630717.000000,-70798.000000,-162482968.000000,8219602.000000,3359860.000000,11999319.000000,,,-10356576.000000,1216472.000000,,,-1984560.000000,2485205.000000,3359860.000000,11579462.000000,-2708581.000000,-5502769.000000,2794188.000000,-2708581.000000,8870881.000000,,,,,8870881.000000,-33625435.000000,-24754554.000000,8870881.000000,6177626.000000,2693255.000000,,,,8870881.000000,-24754554.000000,-26077056.000000,1322502.000000,-24754554.000000
12M 2015,498889880.000000,-367296807.000000,131593073.000000,-144825658.000000,-82494740.000000,-62253141.000000,-77777.000000,-144825658.000000,-13232585.000000,-25382678.000000,6580216.000000,,,-19378694.000000,-10422903.000000,,,-2150216.000000,-11081.000000,-25382678.000000,-38615263.000000,31923178.000000,-2773410.000000,34696588.000000,31923178.000000,-6692085.000000,,,,,-6692085.000000,57506363.000000,50814278.000000,-6692085.000000,-5239631.000000,-1452454.000000,,,,-6692085.000000,50814278.000000,52466947.000000,-1652669.000000,50814278.000000
12M 2016,712054904.000000,-424236957.000000,287817947.000000,-150750420.000000,-79239646.000000,-71358831.000000,-151943.000000,-150750420.000000,137067527.000000,-39419497.000000,7655108.000000,,2190622.000000,-46464931.000000,-138108.000000,,,-3861065.000000,1198877.000000,-39419497.000000,97648030.000000,-32871204.000000,-12991950.000000,-19879254.000000,-32871204.000000,64776826.000000,,,,,64776826.000000,17942877.000000,82719703.000000,64776826.000000,55592916.000000,9183910.000000,,,,64776826.000000,82719703.000000,74036175.000000,8683528.000000,82719703.000000
12M 2017,1321743514.000000,-803514832.000000,518228682.000000,-222140728.000000,-128588493.000000,-92804577.000000,-747658.000000,-222140728.000000,296087954.000000,-104726736.000000,8203542.000000,,-9983.000000,-60858739.000000,-7590926.000000,,,-9820625.000000,-34650005.000000,-104726736.000000,191361218.000000,-63123849.000000,-63123849.000000,,-63123849.000000,128237369.000000,,,,,128237369.000000,64670086.000000,192907455.000000,128237369.000000,85625748.000000,42611621.000000,,,,128237369.000000,192907455.000000,150497313.000000,42410142.000000,192907455.000000
