Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.00,47187.20,0.00,47187.20,184 B,"1,487 B","1,671 B","1,609 B",560 B
12M 2009,1.42,3930.10,1.42,3930.10,227 B,"1,166 B","1,393 B","1,192 B",592 B
12M 2010,4.61,3915.19,4.61,3915.19,480 B,"1,565 B","2,044 B","1,426 B",907 B
12M 2011,1.20,9504.66,1.20,9504.66,"1,011 B",928 B,"1,940 B","(2,425 B)","5,035 B"
12M 2012,1.33,10189.23,1.34,10176.93,493 B,944 B,"1,437 B",(993 B),"4,313 B"
12M 2013,1.09,12371.89,1.09,12359.58,613 B,"1,273 B","1,887 B",(328 B),"2,586 B"
12M 2014,1.06,12171.87,1.06,12159.57,280 B,"3,486 B","3,766 B","2,304 B","1,665 B"
12M 2015,0.82,14844.79,0.93,12988.25,"1,045 B","7,409 B","8,454 B","6,306 B","1,939 B"
12M 2016,0.27,20447.97,0.30,18654.03,"1,138 B","8,116 B","9,254 B","7,192 B","2,422 B"
12M 2017,0.60,23261.46,0.65,21535.63,"1,717 B","9,991 B","11,708 B","8,212 B","3,693 B"
12M 2018,0.52,26024.24,0.56,23990.50,"3,273 B","14,224 B","17,497 B","14,273 B","2,065 B"
12M 2019,0.52,26801.48,0.56,24975.27,"3,035 B","16,120 B","19,155 B","14,625 B","2,751 B"
12M 2020,0.64,24876.16,0.69,23179.70,"4,556 B","5,861 B","10,417 B","1,799 B","5,648 B"
12M 2021,1.73,28304.70,1.83,26835.73,"2,639 B","6,416 B","9,055 B","1,612 B","6,745 B"
12M 2022,0.95,41940.08,0.97,41038.08,"7,458 B","18,067 B","25,526 B","8,613 B","9,299 B"
12M 2023,2.89,27718.68,2.97,26951.60,"5,086 B","7,371 B","12,457 B","2,926 B","8,601 B"
12M 2024,10.97,3372.59,11.15,3319.22,"5,749 B","13,903 B","19,652 B","5,386 B","18,434 B"
