Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Portofolio Efek,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Adjustment,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Aset Tetap,Others,Total Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Others,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Utang Pajak,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2014,,22122104275.000000,183478627541.000000,230967586743.000000,158806057908.000000,,81756000000.000000,1895529101032.000000,,,1977285101032.000000,16898306247.000000,,,16898306247.000000,,4790426434.000000,,97597494433.000000,2691945704613.000000,,,9824800025.000000,2330117160574.000000,94289403825.000000,2235827756749.000000,,2330117160574.000000,64601651755.000000,23106329.000000,64578545426.000000,64601651755.000000,5358945568.000000,,9644533146.000000,2419547091068.000000,,221516000000.000000,,62495635466.000000,20131057833.000000,42364577633.000000,62495635466.000000,-11613021921.000000,272398613545.000000,,2691945704613.000000,2215160000.000000
12M 2015,,28892558025.000000,219618235970.000000,269388823497.000000,133076229042.000000,,91153157867.000000,2546853330571.000000,,-31894185511.000000,2606112302927.000000,,79871487486.000000,-26635142906.000000,53236344580.000000,2080012059.000000,5218284492.000000,,100261253163.000000,3417884043755.000000,,,11165860087.000000,2965625450333.000000,96669915036.000000,2868955535297.000000,,2965625450333.000000,55603571884.000000,22318036.000000,55581253848.000000,55603571884.000000,11376469006.000000,,8626112996.000000,3052397464306.000000,,251516000000.000000,1880000000.000000,88799663996.000000,20131057833.000000,68668606163.000000,88799663996.000000,23290915453.000000,365486579449.000000,,3417884043755.000000,2515160000.000000
12M 2016,,35394109200.000000,213906946066.000000,124871239625.000000,220107509556.000000,,131847225182.000000,3134252990255.000000,,-41211983151.000000,3224888232286.000000,,92852868498.000000,-27448401241.000000,65404467257.000000,1386674707.000000,4375225868.000000,,244429760219.000000,4134764164784.000000,,,12619616007.000000,3409627051676.000000,101040979323.000000,3308586072353.000000,,3409627051676.000000,33571550536.000000,21387749.000000,33550162787.000000,33571550536.000000,18234227864.000000,,17646462674.000000,3491698908757.000000,,420001469000.000000,44666387150.000000,153003156467.000000,20131057833.000000,132872098634.000000,153003156467.000000,25394243410.000000,643065256027.000000,,4134764164784.000000,4200014690.000000
12M 2017,,27019990121.000000,256520488049.000000,387925784760.000000,266444332260.000000,,191196095565.000000,3722198029704.000000,,-125208315788.000000,3788185809481.000000,,102791929571.000000,-31253957720.000000,71537971851.000000,1868779311.000000,1379286086.000000,,203912576240.000000,5004795018159.000000,,,15551027771.000000,4138142316050.000000,512850782314.000000,3625291533736.000000,,4138142316050.000000,144549095990.000000,109159045.000000,144439936945.000000,144549095990.000000,4092902422.000000,,26268388669.000000,4328603730902.000000,,469915808800.000000,5252467095.000000,167559580569.000000,20131057833.000000,147428522736.000000,167559580569.000000,33463430793.000000,676191287257.000000,,5004795018159.000000,4699158088.000000
12M 2018,,28017069500.000000,253505664906.000000,80588249261.000000,164023512477.000000,,115965688865.000000,3825894179438.000000,,-260538745157.000000,3681321123146.000000,,115471686641.000000,-32265617083.000000,83206069558.000000,1596094962.000000,4639156232.000000,,236832206580.000000,4533729146622.000000,,,13557708055.000000,3661401664164.000000,248249031898.000000,3413152632266.000000,,3661401664164.000000,221862879686.000000,19452870.000000,221843426816.000000,221862879686.000000,5607999691.000000,,30913570082.000000,3933343821678.000000,,519258618400.000000,22522450455.000000,24832191813.000000,20131057833.000000,4701133980.000000,24832191813.000000,33772064276.000000,600385324944.000000,,4533729146622.000000,5192586184.000000
12M 2019,,33870620750.000000,244904600185.000000,88482529490.000000,188000346790.000000,,109597970562.000000,3719187780109.000000,,-168212066651.000000,3660573684020.000000,,122979786693.000000,-35093831308.000000,87885955385.000000,1992512078.000000,1755756102.000000,,816268644317.000000,5123734649117.000000,,,13657380728.000000,4066490479185.000000,550157401978.000000,3516333077207.000000,,4066490479185.000000,83698658275.000000,18345000.000000,83680313275.000000,83698658275.000000,5213537194.000000,,8890998439.000000,4177951053821.000000,,616178210100.000000,251914965112.000000,40625996534.000000,20131057833.000000,20494938701.000000,40625996534.000000,37064423550.000000,945783595296.000000,,5123734649117.000000,6161782101.000000
12M 2020,,25728367191.000000,106241209262.000000,212626490456.000000,253230368200.000000,,173609764421.000000,3491729007504.000000,,-102602588001.000000,3562736183924.000000,,220653930976.000000,-111850134652.000000,108803796324.000000,1185683187.000000,,,1150772299894.000000,5421324398438.000000,,,15677453524.000000,3943471372342.000000,618958626701.000000,3324512745641.000000,,3943471372342.000000,320734000548.000000,17045533.000000,320716955015.000000,320734000548.000000,5088137337.000000,2635830859.000000,13098323512.000000,4300705118122.000000,,666179523900.000000,350501792712.000000,54531653114.000000,20611141757.000000,33920511357.000000,54531653114.000000,49406310590.000000,1120619280316.000000,,5421324398438.000000,6661795239.000000
12M 2021,,21270485000.000000,561426881784.000000,1731278582126.000000,1170999106119.000000,,94911109849.000000,4180588758892.000000,,-100656469718.000000,4174843399023.000000,,158762343818.000000,-38544252280.000000,120218091538.000000,97613757799.000000,1147993023.000000,,3459010387971.000000,11337808684383.000000,,,167691026269.000000,8124416988140.000000,332070810243.000000,7799510606729.000000,-7164428832.000000,8124416988140.000000,40030057145.000000,3789091.000000,40026268054.000000,40030057145.000000,9706941685.000000,,106135401723.000000,8447980414962.000000,,942168183600.000000,2827225241141.000000,-932658806026.000000,21087286838.000000,-953746092864.000000,-932658806026.000000,53093650706.000000,2889828269421.000000,,11337808684383.000000,9421681836.000000
12M 2022,,16681000000.000000,1360172000000.000000,3035624000000.000000,3485876000000.000000,,78022000000.000000,10166229000000.000000,,-210523000000.000000,10033728000000.000000,,270749000000.000000,-49637000000.000000,221112000000.000000,127349000000.000000,14567000000.000000,,1399171000000.000000,19694280000000.000000,,,252931000000.000000,14450498000000.000000,505251000000.000000,13945251000000.000000,-4000000.000000,14450498000000.000000,287665000000.000000,,287665000000.000000,287665000000.000000,21710000000.000000,,936886000000.000000,15949690000000.000000,,942168000000.000000,2825444000000.000000,-1724379000000.000000,21087000000.000000,-1745466000000.000000,-1724379000000.000000,1701357000000.000000,3744590000000.000000,,19694280000000.000000,9421681836.000000
12M 2023,,12958000000.000000,1128999000000.000000,994980000000.000000,3348082000000.000000,,168394000000.000000,10614947000000.000000,,-625422000000.000000,10157919000000.000000,,306140000000.000000,-54796000000.000000,251344000000.000000,144786000000.000000,,,2130473000000.000000,18169541000000.000000,,,263228000000.000000,13872270000000.000000,427043000000.000000,13445293000000.000000,-66000000.000000,13872270000000.000000,24912000000.000000,,24912000000.000000,24912000000.000000,21868000000.000000,985000000.000000,663239000000.000000,14846502000000.000000,,1203882000000.000000,4253905000000.000000,-2295724000000.000000,21087000000.000000,-2316811000000.000000,-2295724000000.000000,160976000000.000000,3323039000000.000000,,18169541000000.000000,12038815679.000000
