Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2014,,,,,,,,,,,,,,,0.0
12M 2015,,,,,,,,,4.91,4.96,0.06,0.05,,,0.0
12M 2016,,,,,,,,,4.17,3.94,0.07,0.06,,,0.0
12M 2017,,,,,,,,,4.52,4.43,0.07,0.06,,,0.0
12M 2018,,,,,,,,,3.7,3.64,0.06,0.06,,,0.0
12M 2019,,,,,,,,,2.53,4.92,0.04,0.08,,,0.0
12M 2020,,,,,,,,,1.61,1.51,0.03,0.03,,,0.0
12M 2021,,,,,,,,,2.75,2.09,0.04,0.03,,,0.0
12M 2022,,,,,,,,,8.49,7.5,0.09,0.08,,,0.0
12M 2023,,,,,,,,,12.29,11.5,0.15,0.15,,,0.0
12M 2024,,,,,,,,,11.82,12.04,0.15,0.15,,,0.0
