Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Bunga, Provisi Dan Komisi","Pembayaran Bunga, Provisi Dan Komisi",Pembayaran Kepada Karyawan,Pembayaran Beban Umum Dan Administrasi,Penerimaan Dari Pendapatan Operasional Lainnya,Pembayaran Beban Pemasaran,Pembayaran Untuk Beban Operasional Lainnya,Perubahan Dalam Aset Dan Liabilitas Operasi,Penurunan (Kenaikan) Aktiva Operasi,Penempatan Pada Bank Indonesia & Bank Lain,Efek-Efek Dan Tagihan Lainnya,Pajak Dibayar Dimuka,Kredit Yang Diberikan,Aset Lain-Lain,Total Penurunan (Kenaikan) Aktiva Operasi,Kenaikan (Penurunan) Liabilitas Operasi,Simpanan,Simpanan Dari Bank Lain,Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Liabilitas Segera,Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Liabilitas Operasi,Total Perubahan Dalam Aset Dan Liabilitas Operasi,Pembayaran Pajak Penghasilan,Pembayaran Pajak Revaluasi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset,Efek-Efek Yang Telah Jatuh Tempo,Hasil Penjualan Efek-Efek,Pembelian Efek-Efek Diukur Pada Nilai Wajar Melalui Penghasilan Komprehensif Lain,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,(Kenaikan)/Penurunan Efek-Efek Diukur Pada Nilai Wajar Melalui Penghasilan Komprehensif Lain,Peningkatan Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Liabilitas Sewa,Pembayaran Dividen,Bank Indonesia,Penambahan Modal Disetor,Dana Setoran Modal,Biaya Emisi Saham,Penambahan (Pengurangan) Implementasi Psak 73,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2014,-153744625839.000000,292099231401.000000,-169916676612.000000,-54699626501.000000,-43934873277.000000,10780952007.000000,,-21971347971.000000,,,,-58745146699.000000,,-488796741784.000000,15804237157.000000,-531737651326.000000,,375310524472.000000,-2314785179.000000,,,-41598209.000000,-714953263.000000,372239187821.000000,-159498463505.000000,-6603821381.000000,,-153744625839.000000,-3376515035.000000,2466580255.000000,,,,-5843095290.000000,,,,-3376515035.000000,14689243320.000000,-310756680.000000,,,15000000000.000000,,,,14689243320.000000,-142431897554.000000,579260652853.000000,436828755299.000000
12M 2015,53644563912.000000,399676458919.000000,-230000891964.000000,-67927274928.000000,-43564165415.000000,3284506803.000000,,-27504379854.000000,,,,24159985266.000000,,-631702425425.000000,3488946663.000000,-604053493496.000000,,635508289759.000000,-8998079871.000000,,,94838769.000000,4469148498.000000,631074197155.000000,27020703659.000000,-6201118542.000000,-1139274766.000000,53644563912.000000,-2347518459.000000,873097709.000000,,,,-3220616168.000000,,,,-2347518459.000000,30425283856.000000,-252144100.000000,-1202572044.000000,,34500000000.000000,,-2620000000.000000,,30425283856.000000,81722329309.000000,436828755299.000000,518551084608.000000
12M 2016,-336786420828.000000,507751845993.000000,-250938190330.000000,-66309445976.000000,-52033223342.000000,4179895538.000000,,-34577325465.000000,,,,-195756719230.000000,,-628093726999.000000,-25473814909.000000,-849324261138.000000,,444001601341.000000,-22032021348.000000,,,283348998.000000,63960383.000000,422316889374.000000,-427007371764.000000,-17852605482.000000,,-336786420828.000000,-14520811231.000000,1004464956.000000,,,,-15525276187.000000,,,,-14520811231.000000,207423346968.000000,-126072382.000000,-3722436800.000000,,212364423150.000000,,-1092567000.000000,,207423346968.000000,-143883885091.000000,518551084608.000000,374667199517.000000
12M 2017,296882748971.000000,612927641085.000000,-295094759815.000000,-85838982298.000000,-79854596958.000000,9253816931.000000,,-48266228109.000000,,,,40191887837.000000,,-647293909833.000000,-19068669972.000000,-626170691968.000000,,728515264374.000000,110977545454.000000,,,597129234.000000,849433791.000000,840939372853.000000,214768680885.000000,-31012822750.000000,,296882748971.000000,-10238389528.000000,313780000.000000,,,,-10552169528.000000,,,,-10238389528.000000,10617746162.000000,117326417.000000,,,10500419745.000000,,,,10617746162.000000,297262105605.000000,374667199517.000000,671929305122.000000
12M 2018,-363571644121.000000,601851450849.000000,-307893558490.000000,-93391520940.000000,-91819004962.000000,5364039398.000000,,-88179141664.000000,,,,78340946750.000000,,-28465743033.000000,-41267224601.000000,8607979116.000000,,-476740651886.000000,77313783695.000000,,,-808536396.000000,6259863177.000000,-393975541410.000000,-385367562294.000000,-4136346018.000000,,-363571644121.000000,-5455658098.000000,1665600000.000000,,,,-7121258098.000000,,,,-5455658098.000000,60379005299.000000,-470016996.000000,-5763770665.000000,,66612792960.000000,,,,60379005299.000000,-308648296920.000000,671929305122.000000,363281008202.000000
12M 2019,-308824384228.000000,549274236133.000000,-331706012855.000000,-100953522466.000000,-176659709905.000000,25243944395.000000,,-28621829824.000000,,,,-331838063904.000000,,113074117632.000000,-290276905278.000000,-509040851550.000000,,405088815021.000000,-138164221410.000000,,,240632212.000000,-6848954251.000000,260316271572.000000,-248724579978.000000,3323090272.000000,,-308824384228.000000,-10746271981.000000,3318051133.000000,,,,-14064323114.000000,,,,-10746271981.000000,325633842612.000000,-678263745.000000,,,327588219946.000000,,-1276113589.000000,,325633842612.000000,6063186403.000000,363281008202.000000,369344194605.000000
12M 2020,-151653849891.000000,459847732310.000000,-276211673418.000000,-96480482699.000000,-75855242433.000000,4571590913.000000,,-19162306281.000000,,,,-292359923875.000000,,163446978746.000000,-145985626763.000000,-274898571892.000000,,-123019106843.000000,237035342273.000000,,,2752462743.000000,199708.000000,116768897881.000000,-158129674011.000000,9766205728.000000,,-151653849891.000000,-18769334651.000000,5277997869.000000,,,,-24614453360.000000,567120840.000000,,,-18769334651.000000,150156844087.000000,3167533544.000000,-1598830857.000000,,150003941400.000000,,-1415800000.000000,,150156844087.000000,-20266340455.000000,369344194605.000000,349077854150.000000
12M 2021,369319419523.000000,788415087342.000000,-357725765105.000000,-166705264305.000000,-569851695924.000000,6490658076.000000,-535972607805.000000,-5487302571.000000,,,,-1585757754397.000000,,-760752138304.000000,-616123944184.000000,-2962633836885.000000,,4188110044630.000000,-280703943403.000000,,,152013572745.000000,108751668380.000000,4168171342352.000000,1205537505467.000000,4618804348.000000,,369319419523.000000,-1051072929239.000000,346622397.000000,,45228000000.000000,-964569330800.000000,-34141812841.000000,-97936407995.000000,,,-1051072929239.000000,2730347229055.000000,-20832666169.000000,-1532212905.000000,,2752712108129.000000,,,,2730347229055.000000,2048593719339.000000,349077854150.000000,2397671573489.000000
12M 2022,3084922000000.000000,2161809000000.000000,-705992000000.000000,-242976000000.000000,-1138415000000.000000,455673000000.000000,-284208000000.000000,-1376000000.000000,,,,2139280000000.000000,,-6822134000000.000000,-1848000000.000000,-4684702000000.000000,,6318920000000.000000,247635000000.000000,,585367000000.000000,85239000000.000000,275945000000.000000,7513106000000.000000,2828404000000.000000,12003000000.000000,,3084922000000.000000,-2558191000000.000000,1877000000.000000,60000000000.000000,896547000000.000000,-3269852000000.000000,-120282000000.000000,-126481000000.000000,,,-2558191000000.000000,1665458000000.000000,-33898000000.000000,,,,1701137000000.000000,-1781000000.000000,,1665458000000.000000,2192189000000.000000,2397672000000.000000,4589861000000.000000
12M 2023,-2173945000000.000000,3760927000000.000000,-1291536000000.000000,-314660000000.000000,-604899000000.000000,639914000000.000000,-88513000000.000000,-1556000000.000000,,,,-606480000000.000000,,-2789205000000.000000,186176000000.000000,-3209509000000.000000,,-277576000000.000000,-262753000000.000000,,-585367000000.000000,-6209000000.000000,66941000000.000000,-1064964000000.000000,-4274473000000.000000,851000000.000000,,-2173945000000.000000,116583000000.000000,1205000000.000000,238118000000.000000,148175000000.000000,-176624000000.000000,-48153000000.000000,-35808000000.000000,-10330000000.000000,,116583000000.000000,70450000000.000000,-23588000000.000000,,,,105000000000.000000,-10962000000.000000,,70450000000.000000,-1986912000000.000000,4589861000000.000000,2602949000000.000000
