Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Operasional Lainnya,Penerimaan Pendapatan Bunga,Pembayaran Untuk Biaya Keuangan,Penerimaan Dari Penghasilan Keuangan,Penerimaan Restitusi Pajak Pertambahan Nilai,Pembayaran Dividen,Kegiatan Operasi Lainnya,Penerimaan Tagihan Pajak Penghasilan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Hak Guna,Pencairan (Penempatan) Deposito,Uang Muka Pembelian Aset Tetap,Uang Muka Pembelian Aset Takberwujud,Perolehan Investasi Jangka Pendek,Perolehan Investasi Jangka Panjang,Akuisisi Kepemilikan Bisnis Dari Entitas Pengendali,Penempatan Investasi Pada Entitas Asosiasi,Perubahan Kepemilikan Pada Entitas Anak,Penerimaan Dari Penebusan Investasi Jangka Pendek Yang Telah Jatuh Tempo,Penerimaan Dari Penebusan Investasi Jangka Panjang Yang Telah Jatuh Tempo,Perolehan Aset Takberwujud,Penerimaan Pembayaran Atas Pemberian Pinjaman Kepada Pihak Berelasi,Penjualan Aset Tetap,Penempatan Investasi Jangka Panjang,Peningkatan Aset Keuangan Lancar Lainnya,Pemberian Pinjaman Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pihak Berelasi,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Pembayaran Kepada Pihak Berelasi,Penerimaan Utang Pembelian Aset Tetap,Pembayaran Utang Pembelian Aset Tetap,Penambahan Aset Keuangan Lainnya,Penerimaan Liabilitas Sewa,Pembayaran Dividen Kas Kepada Pemegang Saham Perusahaan,Pembayaran Dividen Kas Kepada Pemegang Non-Pengendali Entitas Anak,Pembayaran Liabilitas Sewa,Pembayaran Utang Sewa Pembiayaan,Penerimaan Setoran Modal Pemegang Saham Perusahaan,Penerimaan Setoran Modal Pemegang Saham Non-Pengendali Entitas Anak,Penerimaan Hasil Penerbitan Saham Pada Penawaran Umum Perdana Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Bank Entitas Anak Yang Didekonsolidasi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,483654000000.000000,11764337000000.000000,-10792610000000.000000,-349720000000.000000,-262485000000.000000,,-892000000.000000,8359000000.000000,195957000000.000000,,18380000000.000000,,-97672000000.000000,483654000000.000000,-53453000000.000000,-24538000000.000000,-409000000.000000,,-29692000000.000000,,,,,,,,,-853000000.000000,,2039000000.000000,,,,-53453000000.000000,-55315000000.000000,,3277000000.000000,,,,,,,,,-12000000000.000000,-16000000.000000,-46306000000.000000,-270000000.000000,,,,-55315000000.000000,374886000000.000000,396000000.000000,,393526000000.000000,768808000000.000000
12M 2022,287643000000.000000,11423796000000.000000,-10622269000000.000000,-361709000000.000000,-289348000000.000000,,-2260000000.000000,11399000000.000000,217305000000.000000,,14184000000.000000,,-103455000000.000000,287643000000.000000,-129730000000.000000,-39966000000.000000,-369000000.000000,-8652000000.000000,-2140000000.000000,,-7019000000.000000,-3008000000.000000,-60000000000.000000,,,,,-10460000000.000000,,1884000000.000000,,,,-129730000000.000000,-103768000000.000000,,606073000000.000000,25000000000.000000,-404350000000.000000,,,,,,,-364000000000.000000,-67000000.000000,-58938000000.000000,-186000000.000000,53500000000.000000,39200000000.000000,,-103768000000.000000,54145000000.000000,1340000000.000000,,768808000000.000000,824293000000.000000
12M 2023,-166771000000.000000,12794249000000.000000,-12162031000000.000000,-456722000000.000000,-326316000000.000000,,-6795000000.000000,10045000000.000000,79633000000.000000,,17740000000.000000,,-116574000000.000000,-166771000000.000000,-76470000000.000000,-65476000000.000000,-38000000.000000,-4670000000.000000,-9721000000.000000,,-11144000000.000000,-3998000000.000000,,,,17000000000.000000,,-247000000.000000,,1824000000.000000,,,,-76470000000.000000,-327312000000.000000,,4619257000000.000000,,-4821294000000.000000,,,,,,,-60000000000.000000,-1175000000.000000,-64028000000.000000,-85000000.000000,,13000000.000000,,-327312000000.000000,-570553000000.000000,-572000000.000000,,824293000000.000000,253168000000.000000
