Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Investasi Jangka Panjang,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Bank,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,768808000000.000000,,,1419847000000.000000,1265000000.000000,1418582000000.000000,1419847000000.000000,2485000000.000000,749000000.000000,1736000000.000000,2485000000.000000,1016963000000.000000,181349000000.000000,3389452000000.000000,,,,,224008000000.000000,,16482000000.000000,158398000000.000000,398888000000.000000,3788340000000.000000,,,1918927000000.000000,,849768000000.000000,917294000000.000000,1767062000000.000000,,64000000.000000,41039000000.000000,41103000000.000000,36455000000.000000,38111000000.000000,3277000000.000000,,186000000.000000,,29869000000.000000,30055000000.000000,2864000000.000000,1918927000000.000000,145380000000.000000,,,,,85000000.000000,,117900000000.000000,117985000000.000000,,27395000000.000000,145380000000.000000,2064307000000.000000,,126500000000.000000,74714000000.000000,1516765000000.000000,25300000000.000000,1491465000000.000000,1516765000000.000000,8857000000.000000,-2803000000.000000,1724033000000.000000,3788340000000.000000,1265000000.000000
12M 2022,,,824293000000.000000,8652000000.000000,7004000000.000000,1675802000000.000000,1356000000.000000,1674446000000.000000,1675802000000.000000,30003000000.000000,250000000.000000,29753000000.000000,30003000000.000000,1271852000000.000000,174701000000.000000,3992307000000.000000,,,,,239411000000.000000,2984000000.000000,17692000000.000000,163684000000.000000,423771000000.000000,4416078000000.000000,,,2565905000000.000000,,913960000000.000000,1247287000000.000000,2161247000000.000000,,15000000.000000,53053000000.000000,53068000000.000000,33912000000.000000,63722000000.000000,205000000000.000000,,85000000.000000,,44872000000.000000,44957000000.000000,3999000000.000000,2565905000000.000000,144943000000.000000,,,,,,25000000000.000000,101454000000.000000,126454000000.000000,,18489000000.000000,144943000000.000000,2710848000000.000000,,180000000000.000000,15515000000.000000,1461592000000.000000,25300000000.000000,1436292000000.000000,1461592000000.000000,64514000000.000000,-16391000000.000000,1705230000000.000000,4416078000000.000000,9000000000.000000
12M 2023,,,253168000000.000000,13323000000.000000,3995000000.000000,1969268000000.000000,2205000000.000000,1967063000000.000000,1969268000000.000000,70866000000.000000,318000000.000000,70548000000.000000,70866000000.000000,1564185000000.000000,334056000000.000000,4208861000000.000000,,,,,283273000000.000000,3998000000.000000,22443000000.000000,176451000000.000000,486165000000.000000,4695026000000.000000,,,2606667000000.000000,,1137139000000.000000,1241365000000.000000,2378504000000.000000,,7373000000.000000,57262000000.000000,64635000000.000000,24930000000.000000,65779000000.000000,2963000000.000000,,,2875000000.000000,63478000000.000000,66353000000.000000,3503000000.000000,2606667000000.000000,146890000000.000000,,,,,,22125000000.000000,90945000000.000000,113070000000.000000,,33820000000.000000,146890000000.000000,2753557000000.000000,,180000000000.000000,15515000000.000000,1707483000000.000000,36000000000.000000,1671483000000.000000,1707483000000.000000,60242000000.000000,-21771000000.000000,1941469000000.000000,4695026000000.000000,9000000000.000000
