Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,1136231153.000000,1698351435.000000,1698351435.000000,1698351435.000000,66149711.000000,66149711.000000,66149711.000000,9636594946.000000,,12537327245.000000,,2129351020.000000,75172287.000000,359287527.000000,2563810834.000000,15101138079.000000,,,7858836378.000000,2663272210.000000,4180000000.000000,29972884.000000,411421901.000000,,,574169383.000000,574169383.000000,7858836378.000000,341692213.000000,,,,341692213.000000,341692213.000000,8200528591.000000,,5650000000.000000,,1309053321.000000,,1309053321.000000,1309053321.000000,,-58443833.000000,6900609488.000000,15101138079.000000,56500.000000
12M 2021,,,392628255.000000,4944520054.000000,4944520054.000000,4944520054.000000,49049711.000000,49049711.000000,49049711.000000,15570549380.000000,211996600.000000,21168744000.000000,,5805106315.000000,90846348.000000,3685937815.000000,9581890478.000000,30750634478.000000,,,10738115208.000000,3396018743.000000,,56521253.000000,624157370.000000,5941019190.000000,,720398652.000000,720398652.000000,10738115208.000000,3106813596.000000,,2893455151.000000,2893455151.000000,213358445.000000,3106813596.000000,13844928804.000000,,15000000000.000000,,1967508219.000000,,1967508219.000000,1967508219.000000,9999400.000000,-71801945.000000,16905705674.000000,30750634478.000000,1500000000.000000
12M 2022,,,7019462171.000000,16079356692.000000,16079356692.000000,16079356692.000000,106699711.000000,106699711.000000,106699711.000000,32245913960.000000,4279656650.000000,59731089184.000000,,7055253430.000000,101756760.000000,3092951004.000000,10249961194.000000,69981050378.000000,,,13662590756.000000,5459021173.000000,,163339680.000000,546268262.000000,6678851578.000000,,815110063.000000,815110063.000000,13662590756.000000,2170938939.000000,,2078345088.000000,2078345088.000000,92593851.000000,2170938939.000000,15833529695.000000,,19000107880.000000,,2712623465.000000,,,2712623465.000000,9991200.000000,32424798138.000000,54147520683.000000,69981050378.000000,1900010788.000000
12M 2023,,,1997109513.000000,9466278999.000000,9466278999.000000,9466278999.000000,99199711.000000,99199711.000000,99199711.000000,31889676890.000000,5992555950.000000,49444821063.000000,,8095466262.000000,788609435.000000,4345068359.000000,13229144056.000000,62673965119.000000,,,10421719130.000000,2036834828.000000,,257028313.000000,420545539.000000,6925317739.000000,,781992711.000000,781992711.000000,10421719130.000000,1331965182.000000,,1296352377.000000,1296352377.000000,35612805.000000,1331965182.000000,11753684312.000000,,19000733140.000000,,-518679698.000000,30000000.000000,-548679698.000000,-518679698.000000,9983250.000000,32428244115.000000,50920280807.000000,62673965119.000000,1900073314.000000
12M 2024,,,346205260.000000,5029522509.000000,5029522509.000000,5029522509.000000,76301611.000000,76301611.000000,76301611.000000,33514215436.000000,2103320050.000000,41069564866.000000,,7236997784.000000,2293165942.000000,2641478356.000000,12171642082.000000,53241206948.000000,,,7390586357.000000,1111123090.000000,,173332576.000000,256331125.000000,5102913860.000000,,746885706.000000,746885706.000000,7390586357.000000,498607675.000000,,449454657.000000,449454657.000000,49153018.000000,498607675.000000,7889194032.000000,,19000733140.000000,,-6093257346.000000,30000000.000000,-6123257346.000000,-6093257346.000000,9937377.000000,32434599745.000000,45352012916.000000,53241206948.000000,1900073314.000000
