Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2020,,,,,,,,,,,,,6.74,,1.6
12M 2021,24.07,114.14,27.44,110.77,15.16,,3.2,,12.69,,2.2,,4.83,,1.97
12M 2022,66.62,178.25,33.01,211.86,5.48,,2.05,,8.96,,1.14,,1.25,,4.37
12M 2023,229.94,709.14,82.88,856.2,1.59,,0.51,,2.68,,0.31,,0.52,,4.74
12M 2024,242.87,1233.22,59.36,1416.73,1.5,,0.3,,1.42,,0.19,,0.32,,5.56
