Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,31546677278.000000,-25170779799.000000,6375897479.000000,-5957679144.000000,-5957679144.000000,-5957679144.000000,418218335.000000,-59784975.000000,,-59784975.000000,-59784975.000000,358433360.000000,-121782286.000000,-137909651.000000,16127365.000000,-121782286.000000,236651074.000000,-51547301.000000,185103773.000000,236651074.000000,236651074.000000,,236651074.000000,185103773.000000,185103773.000000,,,185103773.000000
12M 2021,50357169856.000000,-40304983869.000000,10052185987.000000,-8917324284.000000,-8917324284.000000,-8917324284.000000,1134861703.000000,-214893269.000000,,-214893269.000000,-214893269.000000,919968434.000000,-261514136.000000,-274896160.000000,13382024.000000,-261514136.000000,658454298.000000,-13358112.000000,645096186.000000,658454298.000000,658454898.000000,-600.000000,658454298.000000,645096187.000000,645096787.000000,-600.000000,,645096187.000000
12M 2022,57596429827.000000,-48956410587.000000,8640019240.000000,-6935547394.000000,-6935547394.000000,-6935547394.000000,1704471846.000000,-739187699.000000,,-739187699.000000,-739187699.000000,965284147.000000,-220177101.000000,-225831760.000000,5654659.000000,-220177101.000000,745107046.000000,-18634032.000000,726473014.000000,745107046.000000,745115246.000000,-8200.000000,745107046.000000,726473013.000000,726481213.000000,-8200.000000,,726473013.000000
12M 2023,20274939061.000000,-16505656722.000000,3769282339.000000,-6737698449.000000,-6737698449.000000,-6737698449.000000,-2968416110.000000,-948779712.000000,,-948779712.000000,-948779712.000000,-3917195822.000000,685884708.000000,,685884708.000000,685884708.000000,-3231311114.000000,-3431881.000000,-3234742995.000000,-3231311114.000000,-3231303164.000000,-7950.000000,-3231311114.000000,-3234742995.000000,-3234742995.000000,-7950.000000,7950.000000,-3234742995.000000
12M 2024,10892479191.000000,-9678876058.000000,1213603133.000000,-7323249425.000000,-7323249425.000000,-7323249425.000000,-6109646292.000000,-971326349.000000,,-971326349.000000,-971326349.000000,-7080972641.000000,1506349120.000000,,1506349120.000000,1506349120.000000,-5574623521.000000,6355630.000000,-5568267891.000000,-5574623521.000000,-5574577648.000000,-45873.000000,-5574623521.000000,-5568267891.000000,-5568222018.000000,-45873.000000,,-5568267891.000000
