Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Beban Usaha,Pembayaran Karyawan,Pembayaran Bunga,Pembayaran Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Hak Guna,Perolehan Aset Takberwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal Saham,Agio Saham,Agio Waran,Tambahan Modal Disetor,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Liabilitas Sewa,Penerimaan Piutang Lain-Lain,Pembayaran Piutang Lain-Lain,Penerimaan Utang Lain-Lain,Pembayaran Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjustment,Total Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,704219540.000000,30829211282.000000,-25358627211.000000,,-2143111687.000000,-64108296.000000,-2559144548.000000,704219540.000000,-143727294.000000,-143727294.000000,,,-143727294.000000,-442126309.000000,,,,,,,-898226309.000000,,-18900000.000000,475000000.000000,,-442126309.000000,118365937.000000,1017865215.000000,,1017865215.000000,1136231152.000000
12M 2021,-6329437579.000000,47111001237.000000,-45484880515.000000,,-3934828456.000000,-339185474.000000,-3681544371.000000,-6329437579.000000,-4620972342.000000,-4543389042.000000,-77583300.000000,,-4620972342.000000,10206807022.000000,,,,,25149857883.000000,-19208838692.000000,-921312169.000000,137050000.000000,-119950000.000000,5360000000.000000,-190000000.000000,10206807022.000000,-743602899.000000,1136231153.000000,,1136231153.000000,392628254.000000
12M 2022,-27241455548.000000,46461593189.000000,-67714321893.000000,-1651552595.000000,-3100291139.000000,-1013368791.000000,-223514319.000000,-27241455548.000000,-2606836264.000000,-2376836264.000000,-230000000.000000,,-2606836264.000000,36475125731.000000,4000107880.000000,32514047435.000000,1186680.000000,,737832388.000000,,-720398652.000000,,-57650000.000000,,,36475125731.000000,6626833919.000000,392628255.000000,,392628255.000000,7019462174.000000
12M 2023,13133612.000000,26888016754.000000,-21410228020.000000,-2101853423.000000,-2301129615.000000,-1061672084.000000,,13133612.000000,-4481845488.000000,-2379953596.000000,-2100000000.000000,-1891892.000000,-4481845488.000000,-553640782.000000,625260.000000,,6877860.000000,,246466161.000000,,-815110063.000000,7500000.000000,,,,-553640782.000000,-5022352658.000000,7019462171.000000,,7019462171.000000,1997109513.000000
12M 2024,1553685612.000000,15329235681.000000,-8504104856.000000,-1991979725.000000,-2321373008.000000,-958092480.000000,,1553685612.000000,-523079361.000000,-523079361.000000,,,-523079361.000000,-2681510504.000000,,,,,-1822403879.000000,,-882004725.000000,22898100.000000,,,,-2681510504.000000,-1650904253.000000,1997109513.000000,,1997109513.000000,346205260.000000
