Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Dari Lain-Lain,Pembayaran Kepada:,Pemasok,Karyawan,Beban-Beban,Pajak,Uang Muka Dan Biaya Dibayar Dimuka,Total Pembayaran Kepada:,Penerimaan Pajak,Pembayaran Kepada Manajemen Dan Karyawan,Pembayaran Bunga,Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penerimaan Dari Aset Tersedia Untuk Dijual,Penurunan Beban Tanaman Ditangguhkan,Penurunan (Kenaikan) Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Peningkatan (Penurunan) Hutang Afiliasi,Kenaikan Utang Pemegang Saham,Pembayaran Bunga,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Kenaikan (Penurunan) Utang Bank,Kenaikan (Penurunan) Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,-39245517699.000000,660291625833.000000,,,-562989376473.000000,,-94160309404.000000,-7917829040.000000,-7219487541.000000,-672287002458.000000,,,-27576015323.000000,325874249.000000,-39245517699.000000,-33451752244.000000,-33451752244.000000,,,,,-33451752244.000000,76095020623.000000,,39016965000.000000,,,,,,37502575285.000000,-424519662.000000,76095020623.000000,3397750680.000000,7301152930.000000,,,10698903610.000000
12M 2009,43150087712.000000,653826460690.000000,,,-556150886568.000000,,-35384763029.000000,-6280561155.000000,14069447759.000000,-583746762993.000000,,,-27317355059.000000,387745074.000000,43150087712.000000,-16187845838.000000,-8806781526.000000,,,,-7381064312.000000,-16187845838.000000,-32888440389.000000,,36015250000.000000,,,,,,-69116993772.000000,213303383.000000,-32888440389.000000,-5926198515.000000,10698903610.000000,,,4772705095.000000
12M 2010,32588149985.000000,596282358559.000000,,,-503475750368.000000,,-40387224666.000000,8172527584.000000,-6005252177.000000,-541695699627.000000,,,-20590700368.000000,-1407808579.000000,32588149985.000000,-27948255683.000000,-21566270691.000000,,,,-6381984992.000000,-27948255683.000000,-5405832644.000000,,22530500000.000000,,,,,,-29100896761.000000,1164564117.000000,-5405832644.000000,-765938342.000000,4772705095.000000,,,4006766753.000000
12M 2011,-57645847662.000000,587514520988.000000,,,-586611895028.000000,,-50710653192.000000,6091908086.000000,533294728.000000,-630697345406.000000,,,-16943505473.000000,2480482229.000000,-57645847662.000000,-14323049648.000000,-10967136700.000000,,,,-3355912948.000000,-14323049648.000000,93778369121.000000,43526400000.000000,51397700000.000000,,,,,,892523522.000000,-2038254401.000000,93778369121.000000,21809471811.000000,4006766753.000000,,,25816238564.000000
12M 2012,12535671620.000000,667720501378.000000,,,-565665324079.000000,-71558827806.000000,-4382043418.000000,-5446706480.000000,,-647052901783.000000,,,-14092677527.000000,5960749552.000000,12535671620.000000,-11810768537.000000,-17524820371.000000,15605600000.000000,,,-9891548166.000000,-11810768537.000000,4259681677.000000,2889600000.000000,,,,,,,,1370081677.000000,4259681677.000000,4984584760.000000,25816238564.000000,,,30800823324.000000
12M 2013,-20566761493.000000,747077650156.000000,,,-597339770382.000000,-111655339091.000000,-39371134773.000000,-4688593040.000000,,-753054837286.000000,,,-15773336118.000000,1183761755.000000,-20566761493.000000,-10027401003.000000,-10403049235.000000,,,,375648232.000000,-10027401003.000000,35410683966.000000,,35405000000.000000,,,,,,,5683966.000000,35410683966.000000,4816521470.000000,30800823324.000000,,,35617344794.000000
12M 2014,73334021254.000000,795452894392.000000,,,-537100203099.000000,-119244076989.000000,-39823416060.000000,-14438202929.000000,,-710605899077.000000,,,-17577310060.000000,6064335999.000000,73334021254.000000,23605699680.000000,-9184165504.000000,42892924093.000000,,,-10103058909.000000,23605699680.000000,-109216170440.000000,,-73338062802.000000,,,,,,-35212450000.000000,-665657638.000000,-109216170440.000000,-12276449506.000000,35617344794.000000,,,23340895288.000000
12M 2015,16167875835.000000,866161023759.000000,,,-584505929903.000000,-135740171102.000000,-63381034507.000000,-45410720284.000000,,-829037855796.000000,,,-20063505315.000000,-891786813.000000,16167875835.000000,-11500110401.000000,-740825818.000000,,,,-10759284583.000000,-11500110401.000000,-10892577952.000000,,-12333640000.000000,,,,,,,1441062048.000000,-10892577952.000000,-6224812518.000000,23340895287.000000,,,17116082769.000000
12M 2016,2138273411.000000,823739752346.000000,,,-568249959251.000000,-156578134222.000000,-69019496236.000000,-5597918486.000000,,-799445508195.000000,,,-21614391334.000000,-541579406.000000,2138273411.000000,-38674426565.000000,-37692807189.000000,,,,-981619376.000000,-38674426565.000000,33544500000.000000,,,,,,,,33544500000.000000,,33544500000.000000,-2991653154.000000,17116082769.000000,2653000705.000000,,16777430320.000000
12M 2017,-12654191610.000000,799211800922.000000,,,-528706173421.000000,-163577127159.000000,-85273287322.000000,-10839383006.000000,,-788395970908.000000,,,-22447715481.000000,-1022306143.000000,-12654191610.000000,3547554958.000000,-26015439412.000000,29562994370.000000,,,,3547554958.000000,34991522601.000000,,,,,,,,8991522601.000000,26000000000.000000,34991522601.000000,25884885949.000000,16777430320.000000,-3596091014.000000,,39066225255.000000
