Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,647297671705.000000,-567281127935.000000,80016543770.000000,-78104911950.000000,-51843870447.000000,-26261041503.000000,-78104911950.000000,1911631820.000000,-69146628761.000000,138003083.000000,-27576015323.000000,-42043083309.000000,334466788.000000,-69146628761.000000,-67234996941.000000,-500353698.000000,-67735350639.000000,,-67735350639.000000,,,-67735350639.000000,-67735350639.000000,,-67735350639.000000,,,,
12M 2009,621720778800.000000,-539947921250.000000,81772857550.000000,-80781769435.000000,-53741105979.000000,-27040663456.000000,-80781769435.000000,991088115.000000,14766180455.000000,161239377.000000,-27478594436.000000,42083535514.000000,,14766180455.000000,15757268570.000000,-3354320019.000000,12402948551.000000,,12402948551.000000,,,12402948551.000000,12402948551.000000,,12402948551.000000,,,,
12M 2010,617040184537.000000,-541647306314.000000,75392878223.000000,-75086808401.000000,-48133688805.000000,-26953119596.000000,-75086808401.000000,306069822.000000,-11450130291.000000,86720276.000000,-20677420644.000000,8920991254.000000,219578823.000000,-11450130291.000000,-11144060469.000000,1239642328.000000,-9904418141.000000,,-9904418141.000000,,,-9904418141.000000,-9904418141.000000,,-9904418141.000000,,,,
12M 2011,575547623168.000000,-491210559105.000000,84337064063.000000,-64412456095.000000,-38338759717.000000,-26073696378.000000,-64412456095.000000,19924607968.000000,-17450158068.000000,125038508.000000,-16943505473.000000,-764656518.000000,132965415.000000,-17450158068.000000,2474449900.000000,1677304841.000000,4151754741.000000,,4151754741.000000,,4151754741.000000,4151754741.000000,4151754741.000000,,4151754741.000000,4151754741.000000,4151754741.000000,,4151754741.000000
12M 2012,651824975918.000000,-597586070884.000000,54238905034.000000,-76315677906.000000,-48860006736.000000,-27455671170.000000,-76315677906.000000,-22076772872.000000,-17754667973.000000,180324738.000000,-14092677527.000000,-12483518796.000000,8641203612.000000,-17754667973.000000,-39831440845.000000,7613827320.000000,-32217613525.000000,,-32217613525.000000,,-32217613525.000000,-32217613525.000000,-32217613525.000000,,-32217613525.000000,-32217613525.000000,-32217613525.000000,,-32217613525.000000
12M 2013,740839654535.000000,-755189665791.000000,-14350011256.000000,-93725273242.000000,-56435860255.000000,-37289412987.000000,-93725273242.000000,-108075284498.000000,-81010464783.000000,146183898.000000,-15773336118.000000,-65848918131.000000,465605568.000000,-81010464783.000000,-189085749281.000000,51167151932.000000,-137918597349.000000,,-137918597349.000000,91640151923.000000,-46278445426.000000,-137918597349.000000,-137918597349.000000,,-137918597349.000000,-46278445426.000000,-46278445426.000000,,-46278445426.000000
12M 2014,814572005112.000000,-660299379470.000000,154272625642.000000,-90495427522.000000,-63893101702.000000,-26602325820.000000,-90495427522.000000,63777198120.000000,-39844977190.000000,249117791.000000,-17577310060.000000,-6381280909.000000,-16135504012.000000,-39844977190.000000,23932220930.000000,-791699891.000000,23140521039.000000,,23140521039.000000,,23140521039.000000,23140521039.000000,23140521039.000000,,23140521039.000000,23140521039.000000,23140521039.000000,,23140521039.000000
12M 2015,852780085776.000000,-693414299003.000000,159365786773.000000,-99771407734.000000,-69837370326.000000,-29934037408.000000,-99771407734.000000,59594379039.000000,-58765072247.000000,101452122.000000,-20063505315.000000,-39017142118.000000,214123064.000000,-58765072247.000000,829306792.000000,-1694738395.000000,-865431603.000000,,-865431603.000000,18203245234.000000,17337813631.000000,-865431603.000000,-865431603.000000,,-865431603.000000,17337813631.000000,17337813631.000000,,17337813631.000000
12M 2016,843528979435.000000,-689484158130.000000,154044821305.000000,-103689343878.000000,-69262124985.000000,-34427218893.000000,-103689343878.000000,50355477427.000000,-13222542404.000000,120565394.000000,-21614391334.000000,8209313805.000000,61969731.000000,-13222542404.000000,37132935023.000000,-8144430266.000000,28988504757.000000,,28988504757.000000,6658534871.000000,35647039628.000000,28988504757.000000,28988504757.000000,,28988504757.000000,35647039628.000000,35647039628.000000,,35647039628.000000
12M 2017,795611411050.000000,-697837557027.000000,97773854023.000000,-99004853633.000000,-60878092761.000000,-38126760872.000000,-99004853633.000000,-1230999610.000000,3565587882.000000,118931474.000000,-22447715481.000000,-3852904222.000000,29747276111.000000,3565587882.000000,2334588272.000000,-1333202330.000000,1001385942.000000,,1001385942.000000,4492812659.000000,5494198601.000000,1001385942.000000,1001385942.000000,,1001385942.000000,5494198601.000000,5494198601.000000,,5494198601.000000
12M 2018,1042813378742.000000,-929157548246.000000,113655830496.000000,-104440713497.000000,-71467674399.000000,-32973039098.000000,-104440713497.000000,9215116999.000000,-47060693139.000000,159096739.000000,-24407130120.000000,-27618705226.000000,4806045468.000000,-47060693139.000000,-37845576140.000000,1368401625.000000,-36477174515.000000,,-36477174515.000000,140248916.000000,-36336925599.000000,-36477174515.000000,-36477174515.000000,,-36477174515.000000,-36336925599.000000,-36336925599.000000,,-36336925599.000000
12M 2019,645859484361.000000,-609206404100.000000,36653080261.000000,-82452181710.000000,-58323378786.000000,-24128802924.000000,-82452181710.000000,-45799101449.000000,-6994920139.000000,130753637.000000,-24963659217.000000,17673318774.000000,164666667.000000,-6994920139.000000,-52794021588.000000,1051123533.000000,-51742898055.000000,,-51742898055.000000,203704666.000000,-51539193389.000000,-51742898055.000000,-51742898055.000000,,-51742898055.000000,-51539193389.000000,-51539193389.000000,,-51539193389.000000
12M 2020,168879831491.000000,-462214490044.000000,-293334658553.000000,-80916123376.000000,-17521738031.000000,-63394385345.000000,-80916123376.000000,-374250781929.000000,-26013184534.000000,94255041.000000,-22225067585.000000,-8259595274.000000,4377223284.000000,-26013184534.000000,-400263966463.000000,-14134472952.000000,-414398439415.000000,,-414398439415.000000,-11870585485.000000,-426269024900.000000,-414398439415.000000,-414398439415.000000,,-414398439415.000000,-426269024900.000000,-426269024900.000000,,-426269024900.000000
12M 2021,15676233957.000000,-109439822128.000000,-93763588171.000000,-13875770657.000000,-2323600576.000000,-11552170081.000000,-13875770657.000000,-107639358828.000000,-17977107432.000000,59001124.000000,-20007916971.000000,-5288964346.000000,7260772761.000000,-17977107432.000000,-125616466260.000000,-901389941.000000,-126517856201.000000,,-126517856201.000000,2088940422.000000,-124428915779.000000,-126517856201.000000,-126517856201.000000,,-126517856201.000000,-124428915779.000000,-124428915779.000000,,-124428915779.000000
12M 2022,925150997.000000,-28136787929.000000,-27211636932.000000,-6628171489.000000,,-6628171489.000000,-6628171489.000000,-33839808421.000000,-52253610557.000000,21321777.000000,-9211820382.000000,-45053032290.000000,1989920338.000000,-52253610557.000000,-86093418978.000000,-252061211.000000,-86345480189.000000,,-86345480189.000000,-797360042.000000,-87142840231.000000,-86345480189.000000,-86345480189.000000,,-86345480189.000000,-87142840231.000000,-87142840231.000000,,-87142840231.000000
12M 2023,22360023.000000,-29216316998.000000,-29193956975.000000,-6762527030.000000,,-6762527030.000000,-6762527030.000000,-35956484005.000000,315212692.000000,9469254.000000,-1067524055.000000,9469226667.000000,-8095959174.000000,315212692.000000,-35641271313.000000,2282608267.000000,-33358663046.000000,,-33358663046.000000,-331248957.000000,-33689912003.000000,-33358663046.000000,-33358663046.000000,,-33358663046.000000,-33689912003.000000,-33689912003.000000,,-33689912003.000000
12M 2024,72657658.000000,-39315604180.000000,-39242946522.000000,-5446880235.000000,,-5446880235.000000,-5446880235.000000,-44689826757.000000,428105336.000000,6866027.000000,,-1082294.000000,422321603.000000,428105336.000000,-44261721421.000000,3893448263.000000,-40368273158.000000,,-40368273158.000000,293652517.000000,-40074620641.000000,-40368273158.000000,-40368273158.000000,,-40368273158.000000,-40074620641.000000,-40074620641.000000,,-40074620641.000000
