Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.39,129.34,0.39,129.34,329 B,52 B,381 B,370 B,6 B
12M 2009,0.50,141.60,0.50,141.60,134 B,214 B,348 B,343 B,190 B
12M 2010,0.59,131.81,0.59,131.81,244 B,98 B,342 B,337 B,59 B
12M 2011,0.47,135.91,0.47,135.91,245 B,192 B,437 B,412 B,155 B
12M 2012,0.67,104.07,0.67,104.07,261 B,149 B,410 B,379 B,80 B
12M 2013,0.89,58.33,0.89,58.33,329 B,243 B,572 B,536 B,(8 B)
12M 2014,1.06,81.20,1.06,81.20,317 B,171 B,488 B,465 B,47 B
12M 2015,0.55,90.10,0.55,90.10,352 B,165 B,517 B,500 B,41 B
12M 2016,1.00,125.33,1.00,125.33,376 B,163 B,539 B,523 B,62 B
12M 2017,0.73,122.38,0.73,122.38,388 B,190 B,578 B,539 B,76 B
12M 2018,0.72,86.47,0.72,86.47,410 B,205 B,615 B,586 B,49 B
12M 2019,1.49,35.53,1.49,35.53,411 B,222 B,633 B,610 B,10 B
12M 2020,-0.13,-385.78,-0.13,-385.78,353 B,269 B,621 B,612 B,(280 B)
12M 2021,-0.22,-508.76,-0.22,-508.76,189 B,501 B,690 B,686 B,(145 B)
12M 2022,-0.09,-594.89,-0.09,-594.89,140 B,606 B,746 B,744 B,(95 B)
12M 2023,-0.08,-628.19,-0.08,-628.19,,749 B,749 B,747 B,31 B
12M 2024,-0.05,-667.80,-0.05,-667.80,,790 B,790 B,789 B,15 B
