Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Jangka Panjang,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Utang Pemegang Saham,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Others,Total Belum Ditentukan Penggunaannya,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,10698903610.000000,43837208868.000000,43785754868.000000,51454000.000000,43837208868.000000,7552900797.000000,,,7552900797.000000,239027210293.000000,70464385652.000000,371580609220.000000,,241019000.000000,,195406362853.000000,,195647381853.000000,567227991073.000000,,,365343378700.000000,134379680824.000000,,20822536237.000000,8232017235.000000,29054553472.000000,909774913.000000,,,909774913.000000,2817456416.000000,3432051617.000000,,194367936187.000000,194367936187.000000,381925271.000000,365343378700.000000,71024996578.000000,,13413750000.000000,13413750000.000000,13283228151.000000,,39016965000.000000,5311053427.000000,71024996578.000000,436368375278.000000,,126471843750.000000,16238938833.000000,-11851166788.000000,900000000.000000,-12751166788.000000,,-12751166788.000000,,130859615795.000000,567227991073.000000,1011774750.000000
12M 2009,,,4772705095.000000,41581908775.000000,41581908775.000000,,41581908775.000000,6061809516.000000,,,6061809516.000000,324771283098.000000,61967486413.000000,439155192897.000000,,241019000.000000,,181090636571.000000,7381064312.000000,188712719883.000000,627867912780.000000,,,249577332573.000000,116452241518.000000,,39095440211.000000,31998277078.000000,71093717289.000000,1123078296.000000,,,1123078296.000000,5463763800.000000,9548315883.000000,,17155000000.000000,17155000000.000000,28741215787.000000,249577332573.000000,235028015861.000000,,139437131721.000000,139437131721.000000,13670973225.000000,,75032215000.000000,6887695915.000000,235028015861.000000,484605348434.000000,,126471843750.000000,16238938833.000000,551781763.000000,900000000.000000,-348218237.000000,,-348218237.000000,,143262564346.000000,627867912780.000000,1011774750.000000
12M 2010,,,4006766753.000000,61133868980.000000,61133868980.000000,,61133868980.000000,4922709794.000000,,,4922709794.000000,253870380295.000000,59256038060.000000,383189763882.000000,,241019000.000000,,179988272282.000000,13763049304.000000,193992340586.000000,577182104468.000000,,,324220004024.000000,111683193864.000000,,18003892198.000000,20367364780.000000,38371256978.000000,2287642413.000000,,,2287642413.000000,3679948526.000000,9541429337.000000,,132260282614.000000,132260282614.000000,26396250292.000000,324220004024.000000,119603954239.000000,,,,12043585823.000000,,97562715000.000000,9997653416.000000,119603954239.000000,443823958263.000000,,126471843750.000000,16238938833.000000,-9352636378.000000,900000000.000000,-10252636378.000000,,-10252636378.000000,,133358146205.000000,577182104468.000000,1011774750.000000
12M 2011,,,25816238564.000000,39677552602.000000,39677552602.000000,,39677552602.000000,2700231489.000000,,,2700231489.000000,385852448025.000000,49047285733.000000,503093756413.000000,,241019000.000000,1677304841.000000,168801478709.000000,17118962252.000000,187838764802.000000,690932521215.000000,,,348155114204.000000,,,45426039869.000000,29525948916.000000,74951988785.000000,249388012.000000,,,249388012.000000,96399013.000000,11114506660.000000,,244836000000.000000,244836000000.000000,16906831734.000000,348155114204.000000,205267506064.000000,,,,,43526400000.000000,148960415000.000000,12780691064.000000,205267506064.000000,553422620268.000000,,126471843750.000000,16238938833.000000,-5200881637.000000,900000000.000000,-6100881637.000000,,-6100881637.000000,,137509900946.000000,690932521214.000000,1011774750.000000
12M 2012,,,30800823324.000000,26674938109.000000,26674938109.000000,,26674938109.000000,1678858402.000000,,,1678858402.000000,388300098940.000000,41132149254.000000,488586868029.000000,,651888000.000000,9291132161.000000,154108805649.000000,27010510418.000000,191062336228.000000,679649204257.000000,,,409076591072.000000,,,38972145046.000000,23995487607.000000,62967632653.000000,,1619469689.000000,46416000000.000000,48035469689.000000,249022108.000000,14487073006.000000,,261090000000.000000,261090000000.000000,22247393616.000000,409076591072.000000,165280325763.000000,,,,,,148960415000.000000,16319910763.000000,165280325763.000000,574356916835.000000,,126471843750.000000,16238938833.000000,-37418495161.000000,900000000.000000,-38318495161.000000,,-38318495161.000000,,105292287422.000000,679649204257.000000,1011774750.000000
12M 2013,,,35617344794.000000,23810563030.000000,23810563030.000000,,23810563030.000000,1106886116.000000,,,1106886116.000000,287670354500.000000,52979781855.000000,401184930295.000000,,651888000.000000,29911566785.000000,264793878519.000000,26634862186.000000,321992195490.000000,723177125785.000000,,,409236836600.000000,,,20037005207.000000,20469415875.000000,40506421082.000000,,1625153655.000000,,1625153655.000000,497651313.000000,11883596392.000000,,329103000000.000000,329103000000.000000,25621014158.000000,409236836600.000000,254926447189.000000,,,,,58507200000.000000,184365415000.000000,12053832189.000000,254926447189.000000,664163283789.000000,,126471843750.000000,16238938833.000000,-175337092510.000000,900000000.000000,-176237092510.000000,,-176237092510.000000,91640151923.000000,59013841996.000000,723177125785.000000,1011774750.000000
12M 2014,,,23340895287.000000,45664063706.000000,45664063706.000000,,45664063706.000000,1017548314.000000,,,1017548314.000000,326708721310.000000,95123331029.000000,491854559646.000000,,651888000.000000,29119866893.000000,183149192387.000000,8939366997.000000,221860314277.000000,713714873923.000000,,,445342122045.000000,,,71021764800.000000,17243366108.000000,88265130908.000000,,959496017.000000,,959496017.000000,247073766.000000,10295017242.000000,,317220000000.000000,317220000000.000000,28355404112.000000,445342122045.000000,186218388842.000000,,,,,59712000000.000000,111027352198.000000,15479036644.000000,186218388842.000000,631560510887.000000,,126471843750.000000,16238938833.000000,-133714315326.000000,900000000.000000,-134614315326.000000,,-134614315326.000000,73157895780.000000,82154363037.000000,713714873924.000000,1011774750.000000
12M 2015,,,17116082769.000000,38795207550.000000,38795207550.000000,,38795207550.000000,2224910313.000000,,,2224910313.000000,338446411134.000000,123772321927.000000,520354933693.000000,,651888000.000000,24134418189.000000,198328135715.000000,19698651582.000000,242813093486.000000,763168027179.000000,,,479533182534.000000,,,63668357280.000000,15730226814.000000,79398584094.000000,,2400558065.000000,,2400558065.000000,233317547.000000,10860736889.000000,,351772500000.000000,351772500000.000000,34867485939.000000,479533182534.000000,192473782287.000000,,,,,66216000000.000000,98693712198.000000,27564070089.000000,192473782287.000000,672006964821.000000,,126471843750.000000,16238938833.000000,-129967452003.000000,900000000.000000,-130867452003.000000,,-130867452003.000000,78417731778.000000,91161062358.000000,763168027179.000000,1011774750.000000
12M 2016,,,16777430320.000000,28879969062.000000,28879969062.000000,,28879969062.000000,2583954595.000000,,,2583954595.000000,376801257461.000000,133559479298.000000,558602090736.000000,,651888000.000000,13770476301.000000,241725872258.000000,1247150500.000000,257395387059.000000,815997477795.000000,,,496551611099.000000,,,74039088203.000000,28016902690.000000,102055990893.000000,,1055808596.000000,,1055808596.000000,378760211.000000,11626031037.000000,,376272000000.000000,376272000000.000000,5163020362.000000,496551611099.000000,192637764711.000000,,,,,64492800000.000000,98693712198.000000,29451252513.000000,192637764711.000000,689189375810.000000,,126471843750.000000,16238938833.000000,-100978947247.000000,900000000.000000,-101878947247.000000,,-101878947247.000000,85076266649.000000,126808101985.000000,815997477795.000000,1011774750.000000
12M 2017,,,39066225257.000000,53651218597.000000,53651218597.000000,,53651218597.000000,3303047524.000000,,,3303047524.000000,387677204036.000000,106216197259.000000,589913892673.000000,,651888000.000000,13766321705.000000,253719803577.000000,1247150500.000000,269385163782.000000,859299056455.000000,,,513715444072.000000,,,69170960600.000000,7465705713.000000,76636666313.000000,,1210046462.000000,,1210046462.000000,461080900.000000,13585468028.000000,,388287522601.000000,388287522601.000000,33534659768.000000,513715444072.000000,221761267659.000000,,,,,65030400000.000000,124693712198.000000,32037155461.000000,221761267659.000000,735476711731.000000,,126471843750.000000,16238938833.000000,-99977561305.000000,900000000.000000,-100877561305.000000,,-100877561305.000000,81089123446.000000,123822344724.000000,859299056455.000000,1011774750.000000
12M 2018,,,28327048886.000000,44662026296.000000,44662026296.000000,,44662026296.000000,402019691.000000,,,402019691.000000,449465102247.000000,125479211879.000000,648335408999.000000,,651888000.000000,15087973691.000000,257979531878.000000,1311631231.000000,275031024800.000000,923366433799.000000,,,599302543303.000000,,,111672603698.000000,58319660602.000000,169992264300.000000,,2528321686.000000,,2528321686.000000,380108563.000000,13168993269.000000,,409573527135.000000,409573527135.000000,3659328350.000000,599302543303.000000,236578471371.000000,,,,,71571300000.000000,133403712198.000000,31603459173.000000,236578471371.000000,835881014674.000000,,126471843750.000000,16238938833.000000,-136454735820.000000,900000000.000000,-137354735820.000000,,-137354735820.000000,81229372362.000000,87485419125.000000,923366433799.000000,1011774750.000000
12M 2019,,,22083529683.000000,54078204348.000000,54078204348.000000,,54078204348.000000,500843941.000000,,,500843941.000000,499376574006.000000,40104659570.000000,616143811548.000000,,651888000.000000,16071195669.000000,261231518908.000000,1584603956.000000,279539206533.000000,895683018081.000000,,,606083831925.000000,,,121160910594.000000,61800907502.000000,182961818096.000000,,2320881802.000000,,2320881802.000000,352781894.000000,9221045222.000000,,410668025247.000000,410668025247.000000,559279664.000000,606083831925.000000,253652960420.000000,,,,,68787300000.000000,153104712198.000000,31760948222.000000,253652960420.000000,859736792345.000000,,126471843750.000000,16238938833.000000,-188197633875.000000,900000000.000000,-189097633875.000000,,-189097633875.000000,81433077028.000000,35946225736.000000,895683018081.000000,1011774750.000000
12M 2020,,,9049376833.000000,614322400.000000,614322400.000000,,614322400.000000,539508756.000000,,,539508756.000000,113929103339.000000,19260377281.000000,143392688609.000000,,651888000.000000,,248955124407.000000,1725842707.000000,251332855114.000000,394725543723.000000,,,423487395154.000000,,,59015392445.000000,9032387697.000000,68047780142.000000,,2186341627.000000,,2186341627.000000,284614244.000000,343659141.000000,,352625000000.000000,352625000000.000000,,423487395154.000000,361560947733.000000,,,,18576625264.000000,261999843953.000000,6624228516.000000,74360250000.000000,361560947733.000000,785048342887.000000,,126471843750.000000,16238938833.000000,-602596073290.000000,900000000.000000,-603496073290.000000,,-603496073290.000000,69562491543.000000,-390322799164.000000,394725543723.000000,1011774750.000000
12M 2021,,,4120928638.000000,,,,,23123600.000000,,,23123600.000000,33980201899.000000,15294584238.000000,53418838375.000000,,651888000.000000,,226864086563.000000,1734151206.000000,229250125769.000000,282668964144.000000,,,198517209180.000000,,,7342652178.000000,322613985.000000,7665266163.000000,,714664296.000000,,714664296.000000,260843410.000000,812185311.000000,,189064250000.000000,189064250000.000000,,198517209180.000000,598903469907.000000,,,,16499896271.000000,497084393953.000000,3996729683.000000,81322450000.000000,598903469907.000000,797420679087.000000,,126471843750.000000,16238938833.000000,-729113929491.000000,900000000.000000,-730013929491.000000,,-730013929491.000000,71651431965.000000,-514751714943.000000,282668964144.000000,1011774750.000000
12M 2022,,,1995889373.000000,,,,,163056961.000000,,,163056961.000000,31880420377.000000,12257957651.000000,46297324362.000000,,651888000.000000,,203419174237.000000,1729646701.000000,205800708938.000000,252098033300.000000,,,141395663746.000000,,,19026535.000000,85900997.000000,104927532.000000,,877895351.000000,,877895351.000000,38745158.000000,368195705.000000,,140005900000.000000,140005900000.000000,,141395663746.000000,712596924728.000000,,,,16527061060.000000,603295543953.000000,2634269715.000000,90140050000.000000,712596924728.000000,853992588474.000000,,126471843750.000000,16238938833.000000,-815459409680.000000,900000000.000000,-816359409680.000000,,-816359409680.000000,70854071923.000000,-601894555174.000000,252098033300.000000,1011774750.000000
12M 2023,,,1184100482.000000,,,,,1200000.000000,,,1200000.000000,28422217799.000000,1396675066.000000,31004193347.000000,,651888000.000000,,182796731822.000000,1729646701.000000,185178266523.000000,216182459870.000000,,,371608841.000000,,,10581324.000000,74387249.000000,84968573.000000,,164000000.000000,,164000000.000000,30235483.000000,92404785.000000,,,,,371608841.000000,851395318206.000000,,,,14151023600.000000,746494133753.000000,2122110853.000000,88628050000.000000,851395318206.000000,851766927047.000000,,126471843750.000000,16238938833.000000,-848818072726.000000,900000000.000000,-849718072726.000000,,-849718072726.000000,70522822966.000000,-635584467177.000000,216182459870.000000,1011774750.000000
12M 2024,,,857056473.000000,,,,,1200000.000000,,,1200000.000000,12494918913.000000,1399418889.000000,14752594275.000000,,651888000.000000,,162758244245.000000,1724622784.000000,165134755029.000000,179887349304.000000,,,90419573.000000,,,4473035.000000,39394418.000000,43867453.000000,,,,,4983446.000000,41568674.000000,,,,,90419573.000000,855456017549.000000,,,,10340400405.000000,787997636825.000000,2030965719.000000,55087014600.000000,855456017549.000000,855546437122.000000,,126471843750.000000,16238938833.000000,-889186345884.000000,900000000.000000,-890086345884.000000,,-890086345884.000000,70816475483.000000,-675659087818.000000,179887349304.000000,1011774750.000000
