Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Tagihan Bruto Kepada Pemberi Kerja,Tagihan Bruto Kepada Pemberi Kerja,Total Tagihan Bruto Kepada Pemberi Kerja,Piutang Retensi,Pihak Berelasi,Pihak Ketiga,Total Piutang Retensi,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Real Estat,Properti Investasi,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Liabilitas Keuangan Lainnya,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Keuangan Lainnya,Utang Lain-Lain,Utang Pajak,Beban Akrual,Wesel Bayar,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Wesel Bayar,Utang Lain Jangka Panjang,Utang Obligasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Derivatif,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Wesel Bayar,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Obligasi,Obligasi Subordinasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,218387183794.000000,,14562003706.000000,177928538226.000000,55012500.000000,177873525726.000000,177928538226.000000,242509230872.000000,,242509230872.000000,,,,,20968721622.000000,,20968721622.000000,20968721622.000000,4525443779.000000,33027301215.000000,711908423214.000000,,36313320631.000000,36135000000.000000,178320631.000000,36313320631.000000,4720791236.000000,,754720976389.000000,100429727896.000000,608748272474.000000,3551933724.000000,30975938208.000000,1539460960558.000000,2251369383772.000000,,,768782184099.000000,46966667719.000000,266494073066.000000,,,266494073066.000000,,6780165649.000000,135915863047.000000,142696028696.000000,,29789613791.000000,16471044274.000000,,,50510369141.000000,469239999.000000,84643500000.000000,22906282770.000000,,158529391910.000000,107835364643.000000,768782184099.000000,722110533070.000000,,41010647495.000000,,,319187856667.000000,159756668.000000,21900002497.000000,28447467200.000000,,369695083032.000000,,158775000000.000000,152629802543.000000,722110533070.000000,1490892717169.000000,,588156180000.000000,286976697091.000000,-134903659962.000000,5600000000.000000,-140503659962.000000,-134903659962.000000,23851714177.000000,-3604264703.000000,760476666603.000000,2251369383772.000000,1176312360.000000
12M 2009,,,209695741176.000000,,18930052753.000000,105043742638.000000,55294328.000000,104988448310.000000,105043742638.000000,215090706225.000000,,215090706225.000000,,,,,38408500626.000000,,38408500626.000000,38408500626.000000,5358792296.000000,50726237707.000000,643253773421.000000,,31020000000.000000,31020000000.000000,,31020000000.000000,11736147884.000000,,768225582966.000000,109832172034.000000,635606504090.000000,531966889.000000,35235361270.000000,1592187735133.000000,2235441508554.000000,,,594236358202.000000,40629881731.000000,191957376293.000000,,,191957376293.000000,,4666936.000000,75694796448.000000,75699463384.000000,,38689091173.000000,26102068981.000000,,,70229097170.000000,138923033.000000,26498600000.000000,49555840918.000000,,146422461121.000000,74736015519.000000,594236358202.000000,759463677423.000000,,40376969499.000000,,,407703323382.000000,258094518.000000,,17840656774.000000,,425802074674.000000,,136300000000.000000,156984633250.000000,759463677423.000000,1353700035625.000000,,588156180000.000000,286976697091.000000,-117305036119.000000,5600000000.000000,-122905036119.000000,-117305036119.000000,59998001318.000000,63915630639.000000,881741472929.000000,2235441508554.000000,1176312360.000000
12M 2010,,,244929185300.000000,,10292558414.000000,148892844025.000000,,148892844025.000000,148892844025.000000,266486125053.000000,,266486125053.000000,,,,,37933931368.000000,,37933931368.000000,37933931368.000000,6463971760.000000,50169917844.000000,765168533764.000000,,14835150000.000000,14835150000.000000,,14835150000.000000,9289407490.000000,,746709848362.000000,108671161351.000000,656511574544.000000,,81455864465.000000,1617473006212.000000,2382641539976.000000,,,750818664763.000000,19543184897.000000,210044931394.000000,,,210044931394.000000,,130695500000.000000,72399717212.000000,203095217212.000000,,25061124158.000000,25910933575.000000,7731810450.000000,,98561921186.000000,273020000.000000,,55238893932.000000,,154073835118.000000,105357627959.000000,750818664763.000000,678092292615.000000,,35641931890.000000,,,411828682780.000000,108350000.000000,21218760000.000000,10838717933.000000,,443994510713.000000,,,198455850012.000000,678092292615.000000,1428910957378.000000,,588156180000.000000,286976697091.000000,-1716881902.000000,5600000000.000000,-7316881902.000000,-1716881902.000000,84650202720.000000,-4335615311.000000,953730582598.000000,2382641539976.000000,1176312360.000000
12M 2011,,,584074787171.000000,,1256183442.000000,280336434287.000000,,280336434287.000000,280336434287.000000,314749783355.000000,,314749783355.000000,,,,,50071992780.000000,,50071992780.000000,50071992780.000000,8261983863.000000,207020813139.000000,1445771978037.000000,,15089250000.000000,15089250000.000000,,15089250000.000000,12971283869.000000,,402849337854.000000,509041818373.000000,482930227067.000000,,69284154568.000000,1492166071731.000000,2937938049768.000000,,,867167317211.000000,,219660353932.000000,,,219660353932.000000,,131486000000.000000,88300364981.000000,219786364981.000000,,36687797937.000000,25190979573.000000,,,48002736548.000000,374350000.000000,,29556837688.000000,,77933924236.000000,287907896552.000000,867167317211.000000,869621488184.000000,,34527723092.000000,,,418114225923.000000,94166670.000000,,4679464322.000000,,422887856915.000000,,,412205908177.000000,869621488184.000000,1736788805395.000000,,588156180000.000000,286976697091.000000,234590590422.000000,5600000000.000000,228990590422.000000,234590590422.000000,101177767143.000000,-9751990283.000000,1201149244373.000000,2937938049768.000000,4705249440.000000
12M 2012,,,1890286697836.000000,,,277207982864.000000,,277207982864.000000,277207982864.000000,236751912223.000000,236751912223.000000,236751912223.000000,106139861958.000000,,,106139861958.000000,,,,,163816180129.000000,400770165284.000000,3074972800294.000000,,,,,,15213438312.000000,88854532705.000000,192465770982.000000,528873680652.000000,607714872758.000000,,346538319106.000000,1779660614515.000000,4854633414809.000000,,,1782520909150.000000,21429598203.000000,155720608012.000000,,,155720608012.000000,,,92969115897.000000,92969115897.000000,,44265420894.000000,65712398435.000000,,,56387961338.000000,,,37810411688.000000,,94198373026.000000,1308225394683.000000,1782520909150.000000,1402483373061.000000,,38818238166.000000,,,545968112892.000000,,,23272196758.000000,,569240309650.000000,691798300731.000000,,102626524514.000000,1402483373061.000000,3185004282211.000000,,588156180000.000000,286976697091.000000,911258988125.000000,10600000000.000000,900658988125.000000,911258988125.000000,70738674830.000000,-187501407445.000000,1669629132601.000000,4854633414812.000000,4705249440.000000
12M 2013,,,1692417194733.000000,,,698777804574.000000,,698777804574.000000,698777804574.000000,268889988241.000000,268889988241.000000,268889988241.000000,169433090894.000000,,,169433090894.000000,,,,,458902019371.000000,430128066612.000000,3718548164425.000000,,,,,,16967982701.000000,1460276173.000000,48589203952.000000,540207195149.000000,942494596795.000000,,546167694135.000000,2095886948905.000000,5814435113330.000000,,,1853743955440.000000,,346350450679.000000,,,346350450679.000000,,,160763465025.000000,160763465025.000000,,64118716669.000000,41713210164.000000,,,79777961338.000000,,,39196236015.000000,,118974197353.000000,1121823915550.000000,1853743955440.000000,1348916986030.000000,,42220615691.000000,,,505024998404.000000,,,35812308.000000,,505060810712.000000,693747219375.000000,,107888340252.000000,1348916986030.000000,3202660941470.000000,,588156180000.000000,286976697091.000000,1461241743113.000000,15600000000.000000,1445641743113.000000,1461241743113.000000,291370654945.000000,-15971103288.000000,2611774171861.000000,5814435113331.000000,4705249440.000000
12M 2014,,,1172701116598.000000,,,469628387395.000000,,469628387395.000000,469628387395.000000,190490716362.000000,190490716362.000000,190490716362.000000,207684274029.000000,,,207684274029.000000,,,,,350778202266.000000,509653753995.000000,2900936450645.000000,,,,,,18730309343.000000,1326868002.000000,336236035688.000000,757881620735.000000,930256348701.000000,,1047710457075.000000,3092141639544.000000,5993078090189.000000,,,1727093674726.000000,,356250655358.000000,,,356250655358.000000,,,132137983237.000000,132137983237.000000,,47189849039.000000,72775225693.000000,,,98389548291.000000,,,35812539.000000,149492469115.000000,247917829945.000000,870822131454.000000,1727093674726.000000,1227111177173.000000,,43179066476.000000,,,485052421747.000000,,,,,485052421747.000000,546203668904.000000,,152676020046.000000,1227111177173.000000,2954204851899.000000,,588156180000.000000,286976697091.000000,1736332514235.000000,20600000000.000000,1715732514235.000000,1736332514235.000000,390198976951.000000,37208870013.000000,3038873238290.000000,5993078090189.000000,4705249440.000000
12M 2015,,,923632276474.000000,,,421218477812.000000,882146884.000000,420336330928.000000,421218477812.000000,453417983722.000000,,453417983722.000000,217266972366.000000,,217266972366.000000,217266972366.000000,,,,,475737693459.000000,408497730538.000000,2899771134371.000000,,17008283000.000000,17008283000.000000,,17008283000.000000,23133500851.000000,2275466001.000000,370170523952.000000,624730604144.000000,1129632103330.000000,,1397201849341.000000,3564152330619.000000,6463923464990.000000,,,1856796353308.000000,200000000000.000000,416666972301.000000,,,416666972301.000000,,,198644125969.000000,198644125969.000000,,48454998079.000000,52371241806.000000,,,129957028047.000000,,,205625000.000000,,130162653047.000000,810496362106.000000,1856796353308.000000,1269127560134.000000,,38017235313.000000,,,499425793612.000000,,,,137083332.000000,499562876944.000000,547543550468.000000,,184003897409.000000,1269127560134.000000,3125923913442.000000,,588156180000.000000,286976697091.000000,1919821657059.000000,25600000000.000000,1894221657059.000000,1919821657059.000000,429559970683.000000,113485046715.000000,3337999551548.000000,6463923464990.000000,4705249440.000000
12M 2016,,,1519976715533.000000,,,284045400306.000000,5161387.000000,284040238919.000000,284045400306.000000,604550856386.000000,,604550856386.000000,240506591177.000000,,240506591177.000000,240506591177.000000,,,,,391697516147.000000,339901879540.000000,3380678959089.000000,,27219546188.000000,27219546188.000000,,27219546188.000000,40656613060.000000,1326868002.000000,606939047188.000000,605045719513.000000,1182205359283.000000,,1351376215295.000000,3814769368529.000000,7195448327618.000000,,,1896353464038.000000,,538365763891.000000,,,538365763891.000000,,86643994117.000000,120045835899.000000,206689830016.000000,,38101412656.000000,36863333452.000000,,,202905679873.000000,,,711019818.000000,548883432032.000000,752500131723.000000,323832992300.000000,1896353464038.000000,1946267784237.000000,,35347627993.000000,,,815151565686.000000,,,,311268974.000000,815462834660.000000,889162394250.000000,,206294927334.000000,1946267784237.000000,3842621248275.000000,,588156180000.000000,290374540166.000000,1918007388148.000000,30600000000.000000,1887407388148.000000,1918007388148.000000,440907183728.000000,115381787301.000000,3352827079343.000000,7195448327618.000000,4705249440.000000
12M 2017,,,1145366973159.000000,,,319916321039.000000,6911885.000000,319909409154.000000,319916321039.000000,,,,,,,,809035990468.000000,,809035990468.000000,809035990468.000000,414533875789.000000,2396481869958.000000,5085335030413.000000,,6575000000.000000,6575000000.000000,,6575000000.000000,2871625979.000000,,,767696605147.000000,1249898697158.000000,,1739060008704.000000,3766101936988.000000,8851436967401.000000,,,2640028081531.000000,550000000000.000000,455524342348.000000,,,455524342348.000000,285698297106.000000,,,285698297106.000000,36747936933.000000,452743611263.000000,58575384389.000000,,,226012139707.000000,,,449387586.000000,,226461527293.000000,574276982199.000000,2640028081531.000000,1734574467664.000000,,29323542591.000000,,,602374827394.000000,,,,20115832.000000,602394943226.000000,892008947588.000000,,210847034259.000000,1734574467664.000000,4374602549195.000000,,588156180000.000000,290374540166.000000,3023495480712.000000,32000000000.000000,2991495480712.000000,3023495480712.000000,468251273056.000000,106556944272.000000,4476834418206.000000,8851436967401.000000,4705249440.000000
