Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Final,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Laba Dari Ventura Bersama,Pendapatan Keuangan,Bagian Atas Hasil Bersih Pengendalian Bersama Entitas,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1753279906706.000000,-1464488425157.000000,288791481549.000000,-186238817315.000000,-20319371948.000000,-147803216267.000000,-18116229100.000000,-186238817315.000000,102552664234.000000,-89146505657.000000,-31335474912.000000,,-81576810411.000000,144545455.000000,,7916526276.000000,,19690873565.000000,-3986165630.000000,-89146505657.000000,13406158577.000000,-27064077917.000000,-13657919340.000000,1953700278.000000,-11704219062.000000,,,,,-11704219062.000000,-13657919340.000000,1953700278.000000,-11704219062.000000,,,,
12M 2009,1484101908482.000000,-1136302985673.000000,347798922809.000000,-255470814087.000000,-35990967877.000000,-225630406404.000000,6150560194.000000,-255470814087.000000,92328108722.000000,20502206050.000000,-41615086393.000000,,59092093732.000000,383234092.000000,,5107241899.000000,,1159720837.000000,-3624998117.000000,20502206050.000000,112830314772.000000,-58647884053.000000,54182430719.000000,-36583806876.000000,17598623843.000000,,,,,17598623843.000000,54182430719.000000,-36583806876.000000,17598623843.000000,,,,
12M 2010,1690095966013.000000,-1211694376818.000000,478401589195.000000,-290013709697.000000,-42171054277.000000,-275394093617.000000,27551438197.000000,-290013709697.000000,188387879498.000000,7470219356.000000,-42888873840.000000,,17393140053.000000,2027196330.000000,,4589366840.000000,,1184800797.000000,25164589176.000000,7470219356.000000,195858098854.000000,-55535576917.000000,140322521937.000000,-24734367720.000000,115588154217.000000,,,,,115588154217.000000,140322521937.000000,-24734367720.000000,115588154217.000000,,,,
12M 2011,2878775284823.000000,-2096389788159.000000,782385496664.000000,-357741046403.000000,-55111272210.000000,-274248880777.000000,-28380893416.000000,-357741046403.000000,424644450261.000000,-39554935470.000000,-53807076471.000000,,-4120640282.000000,457203562.000000,,13602123519.000000,,1302351827.000000,3011102375.000000,-39554935470.000000,385089514791.000000,-106914188896.000000,278175325895.000000,,278175325895.000000,-5416374972.000000,-5416374972.000000,-5416374972.000000,272758950923.000000,278175325895.000000,257481094804.000000,20694231091.000000,278175325895.000000,272758950922.000000,252064719831.000000,20694231091.000000,272758950922.000000
12M 2012,3564593950738.000000,-2268932101206.000000,1295661849532.000000,-356257279286.000000,43808353677.000000,-62110264785.000000,-337955368178.000000,-356257279286.000000,939404570246.000000,-61441622608.000000,-66213677747.000000,,,,,,,4772055139.000000,,-61441622608.000000,877962947638.000000,-139345070152.000000,738617877486.000000,,738617877486.000000,904041401.000000,904041401.000000,904041401.000000,739521918887.000000,738617877486.000000,707252519064.000000,31365358422.000000,738617877486.000000,739521918887.000000,708156560465.000000,31365358422.000000,739521918887.000000
12M 2013,4582741464896.000000,-3262613622052.000000,1320127842844.000000,-346885916780.000000,-61849084105.000000,-386247671702.000000,101210839027.000000,-346885916780.000000,973241926064.000000,-66312998956.000000,-131615397247.000000,,,,,,,65302398291.000000,,-66312998956.000000,906928927108.000000,-160313098878.000000,746615828230.000000,,746615828230.000000,-66823587.000000,-66823587.000000,-66823587.000000,746549004643.000000,746615828229.000000,691140238187.000000,55475590042.000000,746615828229.000000,746549004642.000000,691073414600.000000,55475590042.000000,746549004642.000000
12M 2014,4464399987604.000000,-3410159747997.000000,1054240239607.000000,-478859216271.000000,-51823787175.000000,-467595011150.000000,40559582054.000000,-478859216271.000000,575381023336.000000,96047661132.000000,-129877392091.000000,,,,,,,225925053223.000000,,96047661132.000000,671428684468.000000,-157797797815.000000,513630886653.000000,,513630886653.000000,-1060028933.000000,-1060028933.000000,-1060028933.000000,512570857720.000000,513630886653.000000,415183194322.000000,98447692331.000000,513630886653.000000,512570857720.000000,414123165389.000000,98447692331.000000,512570857720.000000
12M 2015,4867889109212.000000,-3689000479619.000000,1178888629593.000000,-531415165477.000000,-55028325667.000000,-566049712191.000000,89662872381.000000,-531415165477.000000,647473464116.000000,-255229731303.000000,-139693517893.000000,-156953947002.000000,,,,,,41417733592.000000,,-255229731303.000000,392243732813.000000,-9061504550.000000,383182228263.000000,,383182228263.000000,-14496613630.000000,-14496613630.000000,-14496613630.000000,368685614633.000000,383182228263.000000,302463001170.000000,80719227093.000000,383182228263.000000,368685614633.000000,291211725785.000000,77473888848.000000,368685614633.000000
12M 2016,3796963231798.000000,-2728012339086.000000,1068950892712.000000,-627972566500.000000,-48280342318.000000,-587974077734.000000,8281853552.000000,-627972566500.000000,440978326212.000000,-347735800295.000000,-180760428687.000000,-103446022255.000000,,,,,,-63529349353.000000,,-347735800295.000000,93242525917.000000,7612321720.000000,100854847637.000000,,100854847637.000000,-20803021838.000000,-20803021838.000000,-20803021838.000000,80051825799.000000,100854847637.000000,62465060263.000000,38389787374.000000,100854847637.000000,80051825799.000000,45425719317.000000,34626106482.000000,80051825799.000000
12M 2017,3274150704829.000000,-2410215890083.000000,863934814746.000000,1023912626210.000000,-51126550887.000000,-578376121254.000000,1653415298351.000000,1023912626210.000000,1887847440956.000000,-189750873570.000000,-242770724741.000000,,676438987.000000,,19011667295.000000,55692510358.000000,,-22360765469.000000,,-189750873570.000000,1698096567386.000000,-456739565957.000000,1241357001429.000000,,1241357001429.000000,-28980760455.000000,-28980760455.000000,-28980760455.000000,1212376240974.000000,1241357001429.000000,1178314502325.000000,63042499104.000000,1241357001429.000000,1212376240974.000000,1157273456326.000000,55102784648.000000,1212376240974.000000
