Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.67,626.22,0.67,623.20,371 B,528 B,900 B,681 B,(57 B)
12M 2009,0.40,698.58,0.40,698.12,312 B,562 B,874 B,665 B,49 B
12M 2010,1.26,738.82,1.26,738.82,440 B,444 B,884 B,639 B,14 B
12M 2011,3.08,233.78,3.08,233.78,327 B,423 B,750 B,166 B,579 B
12M 2012,3.18,339.81,3.18,339.81,246 B,"1,261 B","1,507 B",(383 B),"1,292 B"
12M 2013,1.14,493.15,1.14,493.15,319 B,"1,199 B","1,518 B",(175 B),"1,865 B"
12M 2014,1.90,562.92,1.90,562.92,530 B,"1,031 B","1,561 B",388 B,"1,174 B"
12M 2015,1.16,618.13,1.16,618.13,529 B,"1,047 B","1,576 B",652 B,"1,043 B"
12M 2016,0.70,618.87,0.70,618.87,"1,509 B","1,704 B","3,213 B","1,693 B","1,484 B"
12M 2017,0.60,851.94,0.60,851.94,"1,063 B","1,494 B","2,557 B","1,412 B","2,445 B"
12M 2018,0.60,838.21,0.60,838.21,"1,401 B",751 B,"2,152 B",780 B,"1,426 B"
12M 2019,0.78,842.56,0.78,842.56,340 B,982 B,"1,322 B",(205 B),"2,344 B"
12M 2020,0.72,797.25,0.72,797.25,"1,431 B",722 B,"2,153 B","1,302 B","1,141 B"
12M 2021,0.64,761.84,0.64,761.84,562 B,"1,132 B","1,694 B",912 B,"1,556 B"
12M 2022,0.34,816.16,0.34,816.16,969 B,"1,223 B","2,192 B","1,056 B","1,493 B"
12M 2023,0.51,851.60,0.51,851.60,472 B,"2,259 B","2,730 B","1,511 B","1,714 B"
12M 2024,1.13,1191.23,1.13,1191.23,342 B,616 B,958 B,"(1,676 B)","3,130 B"
