Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,34094104.000000,-17509648.000000,16584456.000000,-4117356.000000,-4510903.000000,393547.000000,-4117356.000000,12467100.000000,-3045338.000000,36945.000000,-3082283.000000,,-3045338.000000,9421762.000000,-563048.000000,8858714.000000,,8858714.000000,8858714.000000,8858714.000000,,8858714.000000,8858714.000000,8858714.000000,,8858714.000000
12M 2013,59015412.000000,-28915295.000000,30100117.000000,-6231941.000000,-6562685.000000,330744.000000,-6231941.000000,23868176.000000,-6338420.000000,27133.000000,-6365553.000000,,-6338420.000000,17529756.000000,-1072578.000000,16457178.000000,,16457178.000000,16457178.000000,16457178.000000,,16457178.000000,16457178.000000,16457178.000000,,16457178.000000
12M 2014,69012603.000000,-36535923.000000,32476680.000000,-4715482.000000,-6951676.000000,2236194.000000,-4715482.000000,27761198.000000,-6388676.000000,32620.000000,-6421296.000000,,-6388676.000000,21372522.000000,-1392173.000000,19980349.000000,,19980349.000000,19980349.000000,19980349.000000,,19980349.000000,19980349.000000,19980349.000000,,19980349.000000
12M 2015,47126847.000000,-33544719.000000,13582128.000000,-6088118.000000,-6394317.000000,306199.000000,-6088118.000000,7494010.000000,-6905372.000000,372659.000000,-7278031.000000,,-6905372.000000,588638.000000,-539345.000000,49293.000000,-1294570.000000,-1245277.000000,49293.000000,49293.000000,,49293.000000,-1245277.000000,-1245277.000000,,-1245277.000000
12M 2016,32511291.000000,-30362076.000000,2149215.000000,-15941742.000000,-5732640.000000,-10209102.000000,-15941742.000000,-13792527.000000,-6683167.000000,117810.000000,-6800977.000000,,-6683167.000000,-20475694.000000,-487382.000000,-20963076.000000,1077831.000000,-19885245.000000,-20963076.000000,-20963076.000000,,-20963076.000000,-19885245.000000,-19885245.000000,,-19885245.000000
12M 2017,27013056.000000,-28016247.000000,-1003191.000000,-12365152.000000,-4305683.000000,-8059469.000000,-12365152.000000,-13368343.000000,-6810268.000000,91748.000000,-6597951.000000,-304065.000000,-6810268.000000,-20178611.000000,,-20178611.000000,981355.000000,-19197256.000000,-20178611.000000,-20178611.000000,,-20178611.000000,-19197256.000000,-19197256.000000,,-19197256.000000
12M 2018,26892851.000000,-25399154.000000,1493697.000000,-39813965.000000,-3905125.000000,-35908840.000000,-39813965.000000,-38320268.000000,-7061145.000000,93942.000000,-6852970.000000,-302117.000000,-7061145.000000,-45381413.000000,,-45381413.000000,-87074.000000,-45468487.000000,-45381413.000000,-45382381.000000,968.000000,-45381413.000000,-45468487.000000,-45460226.000000,-8261.000000,-45468487.000000
12M 2019,25611312.000000,-24285650.000000,1325662.000000,-4661980.000000,-4298341.000000,-363639.000000,-4661980.000000,-3336318.000000,-5210377.000000,139759.000000,-5059337.000000,-290799.000000,-5210377.000000,-8546695.000000,,-8546695.000000,-341611.000000,-8888306.000000,-8546695.000000,-8546383.000000,-312.000000,-8546695.000000,-8888306.000000,-8889884.000000,1578.000000,-8888306.000000
12M 2020,25569273.000000,-20933241.000000,4636032.000000,-5412988.000000,-4076544.000000,-1336444.000000,-5412988.000000,-776956.000000,-1915420.000000,1282708.000000,-2904126.000000,-294002.000000,-1915420.000000,-2692376.000000,,-2692376.000000,33792.000000,-2658584.000000,-2692376.000000,-2692772.000000,396.000000,-2692376.000000,-2658584.000000,-2658316.000000,-268.000000,-2658584.000000
12M 2021,28705059.0,-23703693.0,5001366.0,-4563701.0,-4074590.0,-489111.0,-4563701.0,437665.0,-2822953.0,192829.0,-2680863.0,-334919.0,-2822953.0,-2385288.0,-269599.0,-2654887.0,65789.0,-2589098.0,-2654887.0,-2655259.0,372.0,-2654887.0,-2589098.0,-2588934.0,-164.0,-2589098.0
12M 2022,29500451.000000,-25912369.000000,3588082.000000,-5524838.000000,-4560085.000000,-964753.000000,-5524838.000000,-1936756.000000,-4051472.000000,371391.000000,-4083743.000000,-339120.000000,-4051472.000000,-5988228.000000,,-5988228.000000,-55768.000000,-6043996.000000,-5988228.000000,-5988606.000000,378.000000,-5988228.000000,-6043996.000000,-6040002.000000,-3994.000000,-6043996.000000
12M 2023,32772228.000000,-28041316.000000,4730912.000000,-3989441.000000,-4659220.000000,669779.000000,-3989441.000000,741471.000000,-6148622.000000,967580.000000,-6756288.000000,-359914.000000,-6148622.000000,-5407151.000000,,-5407151.000000,57014.000000,-5350137.000000,-5407151.000000,-5407097.000000,-54.000000,-5407151.000000,-5350137.000000,-5350144.000000,7.000000,-5350137.000000
12M 2024,46686435.0,-31151942.0,15534493.0,-4684657.0,-6512250.0,1827593.0,-4684657.0,10849836.0,-7194505.0,945055.0,-7629144.0,-510416.0,-7194505.0,3655331.0,-116968.0,3538363.0,-48168.0,3490195.0,3538363.0,3538433.0,-70.0,3538363.0,3490195.0,3490276.0,-81.0,3490195.0
