Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Pinjaman Jangka Pendek,Utang Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Obligasi,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Beban Akrual,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,2799444.000000,7207996.000000,7101528.000000,106468.000000,7207996.000000,409470.000000,18955.000000,18955.000000,18955.000000,1560136.000000,11996001.000000,,134665454.000000,1781373.000000,136446827.000000,148442828.000000,,,37331524.000000,,1398495.000000,905359.000000,2303854.000000,274514.000000,,,274514.000000,682088.000000,305509.000000,10752500.000000,6542938.000000,,15296552.000000,91572.000000,526136.000000,,15914260.000000,555861.000000,37331524.000000,60408817.000000,,59549724.000000,101171.000000,451111.000000,,,,60102006.000000,,306811.000000,60408817.000000,97740341.000000,,5529734.000000,20529017.000000,24643736.000000,,24643736.000000,24643736.000000,,,50702487.000000,148442828.000000,45098.000000
12M 2013,,,8190008.000000,13423336.000000,13231467.000000,191869.000000,13423336.000000,545241.000000,23937.000000,23937.000000,23937.000000,2289337.000000,24471859.000000,,208928119.000000,2345029.000000,211273148.000000,235745007.000000,,,43133111.000000,,1487741.000000,886846.000000,2374587.000000,402049.000000,,,402049.000000,1768521.000000,390255.000000,15608000.000000,,,21032259.000000,93974.000000,436099.000000,,21562332.000000,1027367.000000,43133111.000000,80652957.000000,,80169961.000000,65008.000000,11083.000000,,,,80246052.000000,,406905.000000,80652957.000000,123786068.000000,,7151731.000000,63706294.000000,41100914.000000,,41100914.000000,41100914.000000,,,111958939.000000,235745007.000000,644257143.000000
12M 2014,,,5978159.000000,14669868.000000,14368286.000000,301582.000000,14669868.000000,587859.000000,36571.000000,36571.000000,36571.000000,1535648.000000,22808105.000000,,235880768.000000,3395121.000000,239275889.000000,262083994.000000,,,36770228.000000,,2806594.000000,344370.000000,3150964.000000,,274852.000000,269115.000000,543967.000000,785523.000000,747172.000000,3400000.000000,,,27234552.000000,46954.000000,20669.000000,,27302175.000000,840427.000000,36770228.000000,94959925.000000,,94225156.000000,26756.000000,19619.000000,,,,94271531.000000,,688394.000000,94959925.000000,131730153.000000,,7151731.000000,63706294.000000,59495816.000000,100000.000000,59395816.000000,59495816.000000,,,130353841.000000,262083994.000000,644257143.000000
12M 2015,,,21577794.000000,11136696.000000,11136696.000000,,11136696.000000,1064407.000000,426682.000000,426682.000000,426682.000000,16069441.000000,50275020.000000,,212945272.000000,4014936.000000,216960208.000000,267235228.000000,,,37690470.000000,,2529501.000000,818583.000000,3348084.000000,,,312678.000000,312678.000000,2387601.000000,162504.000000,,,,30977491.000000,23697.000000,55703.000000,,31056891.000000,422712.000000,37690470.000000,102646355.000000,,63206051.000000,432.000000,60867.000000,35068383.000000,3583504.000000,,101919237.000000,,727118.000000,102646355.000000,140336825.000000,,7151731.000000,63706294.000000,57473987.000000,200000.000000,57273987.000000,57473987.000000,,-1433609.000000,126898403.000000,267235228.000000,2577028572.000000
12M 2016,,,4671311.000000,7638659.000000,7503209.000000,135450.000000,7638659.000000,629162.000000,564538.000000,564538.000000,564538.000000,6520707.000000,20024377.000000,,198790635.000000,3389117.000000,202179752.000000,222204129.000000,,,14423416.000000,,2206152.000000,601830.000000,2807982.000000,,,265575.000000,265575.000000,1005805.000000,146975.000000,,,,9788000.000000,443.000000,62494.000000,,9850937.000000,346142.000000,14423416.000000,100767555.000000,,62668156.000000,,,34071649.000000,3302674.000000,,100042479.000000,,725076.000000,100767555.000000,115190971.000000,,7151731.000000,63706294.000000,36510911.000000,210000.000000,36300911.000000,36510911.000000,,-355778.000000,107013158.000000,222204129.000000,2577028572.000000
12M 2017,,,9016695.000000,5282101.000000,5244560.000000,37541.000000,5282101.000000,524912.000000,41418.000000,41418.000000,41418.000000,231264.000000,15096390.000000,,184388224.000000,3394988.000000,187783212.000000,202879602.000000,,,17041512.000000,,2141289.000000,252960.000000,2394249.000000,,3495.000000,265614.000000,269109.000000,1414658.000000,93260.000000,,,,12533253.000000,,,,12533253.000000,336983.000000,17041512.000000,90955719.000000,,53424944.000000,,,37038590.000000,,,90463534.000000,,492185.000000,90955719.000000,107997231.000000,,9901764.000000,67972730.000000,16334773.000000,210000.000000,16124773.000000,16334773.000000,47527.000000,625577.000000,94882371.000000,202879602.000000,4049616328.000000
12M 2018,,,8449535.000000,6407531.000000,6272338.000000,135193.000000,6407531.000000,925861.000000,364987.000000,364987.000000,364987.000000,222879.000000,16370793.000000,,137271481.000000,3024052.000000,140295533.000000,156666326.000000,,,23656670.000000,,1104529.000000,441153.000000,1545682.000000,,25333.000000,265614.000000,290947.000000,2876370.000000,98920.000000,,,,18836489.000000,7614.000000,,,18844103.000000,648.000000,23656670.000000,83598849.000000,,46110331.000000,13006.000000,,36422721.000000,629986.000000,,83176044.000000,,422805.000000,83598849.000000,107255519.000000,,9901764.000000,67972730.000000,-29047608.000000,210000.000000,-29257608.000000,-29047608.000000,45418.000000,538503.000000,49410807.000000,156666326.000000,4049616328.000000
12M 2019,,,10292414.000000,8785100.000000,8607907.000000,177193.000000,8785100.000000,920518.000000,80753.000000,80753.000000,80753.000000,799810.000000,20878595.000000,,128287021.000000,1771678.000000,130058699.000000,150937294.000000,,,15004612.000000,,2112640.000000,218199.000000,2330839.000000,,45447.000000,265614.000000,311061.000000,7003283.000000,150760.000000,,,,5199879.000000,8790.000000,,,5208669.000000,,15004612.000000,95410181.000000,,57365104.000000,4759.000000,,37107866.000000,511592.000000,,94989321.000000,,420860.000000,95410181.000000,110414793.000000,,9901764.000000,67972730.000000,-37593991.000000,210000.000000,-37803991.000000,-37593991.000000,46996.000000,195002.000000,40522501.000000,150937294.000000,4049616328.000000
12M 2020,,,10208514.000000,7821188.000000,7707361.000000,113827.000000,7821188.000000,882772.000000,509144.000000,509144.000000,509144.000000,215048.000000,19636666.000000,,119513161.000000,2094329.000000,121607490.000000,141244156.000000,,,6055503.000000,,824999.000000,97124.000000,922123.000000,,15322.000000,38.000000,15360.000000,917466.000000,96080.000000,,,,3125555.000000,4691.000000,,973583.000000,4103829.000000,645.000000,6055503.000000,97404554.000000,,88576583.000000,,,,,1095239.000000,89671822.000000,7228244.000000,504488.000000,97404554.000000,103460057.000000,,9901764.000000,67972730.000000,-40366581.000000,210000.000000,-40576581.000000,-40366581.000000,46728.000000,229458.000000,37784099.000000,141244156.000000,4049616328.000000
12M 2021,,,10588767.000000,10915773.000000,10846970.000000,68803.000000,10915773.000000,670356.000000,649792.000000,649792.000000,649792.000000,911184.000000,23735872.000000,,111698285.000000,1193034.000000,112891319.000000,136627191.000000,,,7159516.000000,,503096.000000,10367.000000,513463.000000,,12288.000000,38.000000,12326.000000,1103235.000000,75839.000000,,,,4588767.000000,,,860339.000000,5449106.000000,5547.000000,7159516.000000,94272674.000000,,83987816.000000,,,,,239407.000000,84227223.000000,9513956.000000,531495.000000,94272674.000000,101432190.000000,,9901764.000000,67972730.000000,-43021840.000000,210000.000000,-43231840.000000,-43021840.000000,46564.000000,295783.000000,35195001.000000,136627191.000000,4049616328.000000
