Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2012,0.00,10871724.89,0.00,10871724.89,258 B,581 B,839 B,812 B,(245 B)
12M 2013,1.33,2119.77,1.33,2119.77,453 B,979 B,"1,432 B","1,332 B",(228 B)
12M 2014,1.10,2517.21,1.10,2517.21,382 B,"1,173 B","1,555 B","1,480 B",(174 B)
12M 2015,0.19,679.30,0.19,679.30,428 B,"1,406 B","1,834 B","1,537 B",174 B
12M 2016,0.19,557.94,0.19,557.94,132 B,"1,344 B","1,477 B","1,414 B",75 B
12M 2017,0.25,317.27,0.25,317.27,170 B,"1,226 B","1,395 B","1,273 B",(26 B)
12M 2018,0.28,176.53,0.28,176.53,273 B,"1,204 B","1,477 B","1,355 B",(106 B)
12M 2019,0.36,138.94,0.36,138.94,72 B,"1,320 B","1,393 B","1,250 B",82 B
12M 2020,0.38,131.44,0.38,131.44,44 B,"1,249 B","1,294 B","1,150 B",192 B
12M 2021,0.45,123.93,0.45,123.93,66 B,"1,199 B","1,265 B","1,114 B",237 B
12M 2022,0.61,112.07,0.61,112.07,64 B,"1,245 B","1,309 B","1,151 B",263 B
12M 2023,0.68,90.81,0.68,90.81,102 B,"1,130 B","1,232 B","1,061 B",245 B
12M 2024,0.79,124.56,0.79,124.56,,,,(133 B),48 B
