Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Total Pembayaran Kas Kepada,Penghasilan Bunga Yang Diterima,Penerimaan Kas Dari Hasil Restitusi Pajak,Penerimaan Dari Klaim Asuransi,Pembayaran Pajak Penghasilan Dan Pajak Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Dana Yang Dibatasi Pengunaannya,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Dari Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pinjaman Bank Jangka Pendek:,Penerimaan,Pembayaran,Total Pinjaman Bank Jangka Pendek:,Pinjaman Bank Jangka Panjang:,Penerimaan,Pembayaran,Total Pinjaman Bank Jangka Panjang:,Pinjaman Dari Pihak Berelasi:,Penerimaan,Pembayaran,Total Pinjaman Dari Pihak Berelasi:,Pembayaran Pinjaman Jangka Panjang,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Dividen,Pembayaran Bunga,Pembayaran Biaya Pinjaman,Penempatan Aset Keuangan Lain-Lain,Penerimaan Dari Pinjaman Yang Dapat Dikonversi,Pembayaran Biaya Pinjaman Utang Bank Dan Obligasi,Penerbitan Obligasi,Pembayaran Atas Saham Yang Diperoleh Kembali,Pembayaran Biaya Penerbitan Saham,Penerimaan Dari Penerbitan Saham Baru Entitas Anak,Penerimaan Dari Penawaran Umum Saham Perdana,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,15097265.000000,31811677.000000,,-9795285.000000,-6206303.000000,-16001588.000000,36945.000000,,,-749769.000000,15097265.000000,-50558161.000000,-49610065.000000,-991200.000000,,43104.000000,-50558161.000000,35135708.000000,,12298500.000000,-4596000.000000,7702500.000000,,39535000.000000,-10164408.000000,29370592.000000,,7150000.000000,-750000.000000,6400000.000000,,-114680.000000,-4832623.000000,,-3390081.000000,,,,,,,,,,35135708.000000,-1185.000000,-326373.000000,3125817.000000,2799444.000000
12M 2013,24642766.000000,52795090.000000,,-18007812.000000,-8886234.000000,-26894046.000000,27133.000000,,,-1285411.000000,24642766.000000,-83942030.000000,-83452813.000000,-439000.000000,-100945.000000,50728.000000,-83942030.000000,64704336.000000,,17046500.000000,-12191000.000000,4855500.000000,,42835156.000000,-15960799.000000,26874357.000000,,21250000.000000,-27650000.000000,-6400000.000000,,-102619.000000,-523308.000000,,-5931115.000000,,,16000000.000000,,,,,,29931521.000000,64704336.000000,-14508.000000,5390564.000000,2799444.000000,8190008.000000
12M 2014,38802119.000000,67753437.000000,,-16589233.000000,-12161297.000000,-28750530.000000,32620.000000,1032215.000000,,-1265623.000000,38802119.000000,-39624403.000000,-41436121.000000,-633800.000000,-568697.000000,3014215.000000,-39624403.000000,-1385707.000000,,2742000.000000,-14950000.000000,-12208000.000000,,50350000.000000,-30110428.000000,20239572.000000,,,,,,-100044.000000,-440036.000000,-1585447.000000,-6858252.000000,-433500.000000,,,,,,,,,-1385707.000000,-3858.000000,-2211849.000000,8190008.000000,5978159.000000
12M 2015,22388123.000000,49643987.000000,,-14311566.000000,-12766872.000000,-27078438.000000,372659.000000,,,-550085.000000,22388123.000000,-4748924.000000,-3977119.000000,-1109770.000000,,337965.000000,-4748924.000000,-2039142.000000,,1500000.000000,-4900000.000000,-3400000.000000,,,-27570442.000000,-27570442.000000,,,,,,-44306.000000,-61390.000000,-2071565.000000,-5981631.000000,-330882.000000,,,,37593985.000000,-172911.000000,,,,-2039142.000000,-422.000000,15599635.000000,5978159.000000,21577794.000000
12M 2016,12145144.000000,35508155.000000,,-14916623.000000,-9084843.000000,-24001466.000000,117810.000000,88008.000000,,432637.000000,12145144.000000,-118118.000000,-681085.000000,470693.000000,,92274.000000,-118118.000000,-28911348.000000,,,,,,,-21378338.000000,-21378338.000000,,,,,,-24553.000000,-57665.000000,,-5346769.000000,-2104023.000000,,,,,,,,,-28911348.000000,-22161.000000,-16906483.000000,21577794.000000,4671311.000000
12M 2017,9846076.000000,29588669.000000,,-12235336.000000,-7559353.000000,-19794689.000000,91748.000000,,,-39652.000000,9846076.000000,383515.000000,-523509.000000,-1451.000000,,908475.000000,383515.000000,-5896703.000000,,,,,,,-6824654.000000,-6824654.000000,,,,,,445.000000,-47341.000000,,-5051581.000000,-1040041.000000,,,,,,-141876.000000,50000.000000,7158345.000000,-5896703.000000,12496.000000,4345384.000000,4671311.000000,9016695.000000
12M 2018,6442962.000000,25141735.000000,,-11110807.000000,-7670635.000000,-18781442.000000,93942.000000,,,-11273.000000,6442962.000000,-823215.000000,-923954.000000,-5637.000000,,106376.000000,-823215.000000,-6221002.000000,,,,,,,-1253750.000000,-1253750.000000,,,,,,-2891.000000,,,-3883745.000000,-1080616.000000,,,,,,,,,-6221002.000000,34095.000000,-567160.000000,9016695.000000,8449535.000000
12M 2019,5877652.000000,23227178.000000,,-10296595.000000,-7261463.000000,-17558058.000000,139759.000000,,,68773.000000,5877652.000000,-599406.000000,-2149281.000000,574450.000000,,975425.000000,-599406.000000,-3389867.000000,,,,,,,-2536300.000000,-2536300.000000,,,,,,-7763.000000,,,-845804.000000,,,,,,,,,,-3389867.000000,-45500.000000,1842879.000000,8449535.000000,10292414.000000
12M 2020,8856580.000000,25811398.000000,,-10177854.000000,-6851861.000000,-17029715.000000,129577.000000,,,-54680.000000,8856580.000000,206453.000000,-1394179.000000,1600632.000000,,,206453.000000,-9155474.000000,,,,,,37670455.000000,-8090922.000000,29579533.000000,,,,,,-8309.000000,-991193.000000,,-65050.000000,,,,-37670455.000000,,,,,,-9155474.000000,8541.000000,-83900.000000,10292414.000000,10208514.000000
12M 2021,6511256.000000,25134907.000000,,-11166955.000000,-7024163.000000,-18191118.000000,43624.000000,,,-476157.000000,6511256.000000,-1805246.000000,-1795190.000000,-27887.000000,,17831.000000,-1805246.000000,-4334714.000000,,,,,,,-3208514.000000,-3208514.000000,,,,,,-4691.000000,-1121378.000000,,-131.000000,,,,,,,,,,-4334714.000000,8957.000000,380253.000000,10208514.000000,10588767.000000
