Period,Total Pendapatan,Penjualan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Beban Pokok Penjualan,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Selisih Kurs,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,3339153518289.000000,4601810148523.000000,-1262656630234.000000,3339153518289.000000,-2654065967636.000000,-3916722597870.000000,1262656630234.000000,-2654065967636.000000,685087550653.000000,-189259443077.000000,-71525716117.000000,-100577690188.000000,-19436215953.000000,,2280179181.000000,-189259443077.000000,495828107576.000000,-172330478052.000000,-184043708332.000000,11713230280.000000,,-172330478052.000000,323497629524.000000,-82561408394.000000,240936221130.000000,-11627209142.000000,,229309011988.000000,,,,229309011988.000000,229309011988.000000,229309011988.000000,,229309011988.000000,229309011988.000000,229309011988.000000,,229309011988.000000
12M 2013,4714576290183.000000,5721758543615.000000,-1007182253432.000000,4714576290183.000000,-3696164422479.000000,-4703346675911.000000,1007182253432.000000,-3696164422479.000000,1018411867704.000000,-350516205407.000000,-101564994059.000000,-154012626031.000000,-121697202299.000000,,26758616982.000000,-350516205407.000000,667895662297.000000,-205070863210.000000,-221003716654.000000,15932853444.000000,,-205070863210.000000,462824799087.000000,-133656587487.000000,329168211600.000000,-19565597691.000000,,309602613909.000000,,,,309602613909.000000,309605339119.000000,309602613909.000000,2725210.000000,309605339119.000000,309605339119.000000,309602613909.000000,2725210.000000,309605339119.000000
12M 2014,554622619.000000,589089425.000000,-34466806.000000,554622619.000000,-432203710.000000,-466670516.000000,34466806.000000,-432203710.000000,122418909.000000,-28057271.000000,-10879662.000000,-16587372.000000,-2013036.000000,,1422799.000000,-28057271.000000,94361638.000000,-28402445.000000,-29952932.000000,1550487.000000,,-28402445.000000,65959193.000000,-15440846.000000,50518347.000000,,-2942.000000,50515405.000000,-5758696.000000,,-5758696.000000,44756709.000000,50515405.000000,50515405.000000,,50515405.000000,44756709.000000,44759651.000000,-2942.000000,44756709.000000
12M 2015,621993673.000000,631342874.000000,-9349201.000000,621993673.000000,-488578225.000000,-497927426.000000,9349201.000000,-488578225.000000,133415448.000000,-35326370.000000,-13484403.000000,-22067268.000000,-977185.000000,,1202486.000000,-35326370.000000,98089078.000000,-33504377.000000,-35436572.000000,1932195.000000,,-33504377.000000,64584701.000000,-8920772.000000,55663929.000000,,,55663929.000000,-377804.000000,-377804.000000,-377804.000000,55286125.000000,55663929.000000,55661062.000000,2867.000000,55663929.000000,55286125.000000,55282878.000000,3247.000000,55286125.000000
12M 2016,679939490.000000,679939490.000000,,679939490.000000,-534588503.000000,-534588503.000000,,-534588503.000000,145350987.000000,-29898497.000000,-13021633.000000,-22234341.000000,-929728.000000,,6287205.000000,-29898497.000000,115452490.000000,-49424699.000000,-50529779.000000,1105080.000000,,-49424699.000000,66027791.000000,-6662101.000000,59365690.000000,,,59365690.000000,-978070.000000,-978070.000000,-978070.000000,58387620.000000,59365690.000000,59365690.000000,,59365690.000000,58387620.000000,58387620.000000,,58387620.000000
12M 2017,759349865.000000,759349865.000000,,759349865.000000,-588079100.000000,-588079100.000000,,-588079100.000000,171270765.000000,-36588860.000000,-12536689.000000,-24545553.000000,-576279.000000,,1069661.000000,-36588860.000000,134681905.000000,-62540763.000000,-62949649.000000,408886.000000,,-62540763.000000,72141142.000000,-4105822.000000,68035320.000000,,,68035320.000000,-2275618.000000,-2275618.000000,-2275618.000000,65759702.000000,68035320.000000,68035320.000000,,68035320.000000,65759702.000000,65759702.000000,,65759702.000000
12M 2018,1033945566.000000,1033945566.000000,,1033945566.000000,-850167512.000000,-850167512.000000,,-850167512.000000,183778054.000000,-21863318.000000,-15644415.000000,-31978840.000000,28400.000000,,25731537.000000,-21863318.000000,161914736.000000,-62501394.000000,-63434510.000000,933116.000000,,-62501394.000000,99413342.000000,-14857309.000000,84556033.000000,,,84556033.000000,1609538.000000,1609538.000000,1609538.000000,86165571.000000,84556033.000000,84556033.000000,,84556033.000000,86165571.000000,86165571.000000,,86165571.000000
12M 2019,1181834182.000000,1181834182.000000,,1181834182.000000,-946588161.000000,-946588161.000000,,-946588161.000000,235246021.000000,-18402074.000000,-17511585.000000,-39176031.000000,73819.000000,,38211723.000000,-18402074.000000,216843947.000000,-115295053.000000,-82307841.000000,1378768.000000,-34365980.000000,-115295053.000000,101548894.000000,-13896346.000000,87652548.000000,,,87652548.000000,-6994333.000000,,-6994333.000000,80658215.000000,87652548.000000,87652548.000000,,87652548.000000,80658215.000000,80658215.000000,,80658215.000000
12M 2020,1282569384.000000,1282569384.000000,,1282569384.000000,-1055504269.000000,-1055504269.000000,,-1055504269.000000,227065115.000000,-52377154.000000,-18934215.000000,-36745593.000000,1703362.000000,,1599292.000000,-52377154.000000,174687961.000000,-72987413.000000,-75510481.000000,1408816.000000,1114252.000000,-72987413.000000,101700548.000000,-16375440.000000,85325108.000000,,,85325108.000000,-2340474.000000,,-2340474.000000,82984634.000000,85325108.000000,85325108.000000,,85325108.000000,82984634.000000,82984634.000000,,82984634.000000
12M 2021,847523131.000000,847523131.000000,,847523131.000000,-1217267309.000000,-1217267309.000000,,-1217267309.000000,-369744178.000000,-567078769.000000,-39451963.000000,-48445099.000000,-4663161.000000,,-474518546.000000,-567078769.000000,-936822947.000000,-244565746.000000,-116241229.000000,666264.000000,-128990781.000000,-244565746.000000,-1181388693.000000,100050321.000000,-1081338372.000000,,,-1081338372.000000,10104733.000000,,10104733.000000,-1071233639.000000,-1081338372.000000,-1081338372.000000,,-1081338372.000000,-1071233639.000000,-1071233639.000000,,-1071233639.000000
