Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari Pendapatan Bunga,Pembayaran Kepada Pemasok Dan Kontraktor,Pembayaran Untuk Gaji Dan Imbalan Kerja Karyawan,Pembayaran Bunga,Pembayaran Untuk Beban Operasional,Pembayaran Pajak Penghasilan,Penerimaan Dari Pendapatan Operasi Lainnya,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pengeluaran Modal,Pengembalian Uang Muka Pembelian Aset,Investasi Pada Entitas Anak,Penerimaan Dari Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Penyertaan Saham,Akuisisi Pihak Berelasi,Akuisisi Entitas Anak,Penjualan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Ipo - Neto,Penerimaan Dividen,Penerimaan Neto Dari Wesel Bayar,Pembayaran Wesel Bayar,Penerimaan Neto Dari Wesel Mtn,Pembayaran Premi Atas Wesel Bayar,Pembayaran Jasa Penerbitan Wesel Bayar Dan Diskonto,Pembayaran Liabilitas Sewa,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Menengah,Pembayaran Surat Utang Jangka Menengah,Pembayaran Utang Bank Jangka Panjang,Pembayaran Cadangan Kewajiban Homologasi,Kas Yang Dibatasi Penggunaannya,Pembayaran Biaya Emisi Ipo,Pembayaran Utang Sewa Pembiayaan,Penerimaan Dari Pihak Berelasi Dan Pemegang Saham,Pembayaran Dividen,Pembayaran Tender Offer,"Pembayaran Premi, Bunga Penerbitan Obligasi",Penerimaan Dari Obligasi,Pembayaran Utang Obligasi,Penerimaan Utang Pemegang Saham,Penambahan Modal,Penerimaan Surat Utang Jangka Menengah,Pembayaran Utang Lain-Lain Jangka Panjang,Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Selisih Penjabaran Mata Uang Pelaporan,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,264021215388.000000,3201787682909.000000,11713230279.000000,-2322729036918.000000,-253716586357.000000,-198854077795.000000,-161172541314.000000,-13007455416.000000,,,264021215388.000000,-746799456772.000000,,,,3427826247.000000,-254903437882.000000,,,,,-495323845137.000000,-746799456772.000000,484633818105.000000,,,,,,,,,225205926359.000000,512279121977.000000,-67386469917.000000,,,-133695002348.000000,,,,-3092706412.000000,-43842676554.000000,,,,,,,,,-4834375000.000000,,484633818105.000000,,1855576721.000000,1901319107.000000,,73470699712.000000,77227595540.000000
12M 2013,-158127283864.000000,4163780597918.000000,15932853444.000000,-3496515426751.000000,-351331179435.000000,-292759518098.000000,-116976346998.000000,-108291865499.000000,28033601555.000000,,-158127283864.000000,-1615887761947.000000,,,,,-53483168654.000000,,-723058600000.000000,,,-839345993293.000000,-1615887761947.000000,1757686411678.000000,1278768265401.000000,25519908.000000,,,,,,,397430372264.000000,326539160509.000000,-29548251456.000000,,,-342812221110.000000,,,,-4383372064.000000,131666938226.000000,,,,,,,,,,,1757686411678.000000,,-16328634133.000000,13540888953.000000,,77227595539.000000,74439850359.000000
12M 2014,7921412.000000,482870116.000000,1550487.000000,-392016792.000000,-32377308.000000,-29876594.000000,-15268786.000000,-8382510.000000,1422799.000000,,7921412.000000,-134345715.000000,,,,,-36019468.000000,,,,,-98326247.000000,-134345715.000000,201773604.000000,,-3006369.000000,271154492.000000,,30000000.000000,,,,21144452.000000,,-7425900.000000,,,-106140587.000000,,-4108847.000000,,-323421.000000,479784.000000,,,,,,,,,,,201773604.000000,,75349301.000000,147828.000000,,6107134.000000,81604263.000000
12M 2015,58844059.000000,648491359.000000,1932195.000000,-485518067.000000,-31586318.000000,-39764312.000000,-23906925.000000,-12073801.000000,1269928.000000,,58844059.000000,-105669391.000000,,,,,-19304497.000000,,,,,-86364894.000000,-105669391.000000,42314439.000000,,-7407407.000000,,,,,,,39857557.000000,39359451.000000,-33258700.000000,,,-7568300.000000,,-4050149.000000,,-1687528.000000,17069515.000000,,,,,,,,,,,42314439.000000,,-4510893.000000,43225.000000,,81604263.000000,77136595.000000
12M 2016,61463315.000000,654998140.000000,1105080.000000,-483935735.000000,-30934663.000000,-49449212.000000,-27216896.000000,-9390604.000000,6287205.000000,,61463315.000000,-83460847.000000,,,,,-3827061.000000,,,,,-79633786.000000,-83460847.000000,5627959.000000,,-4016064.000000,153905750.000000,,,,,,52979865.000000,,-13688323.000000,,,-155424525.000000,,-28020528.000000,,-108216.000000,,,,,,,,,,,,5627959.000000,,-16369573.000000,-279728.000000,,77136595.000000,60487294.000000
12M 2017,-28845821.000000,720251433.000000,408886.000000,-617141434.000000,-36378914.000000,-58007132.000000,-26686222.000000,-11967788.000000,675350.000000,,-28845821.000000,-30086791.000000,,,,,-1114808.000000,-5000000.000000,,,,-23971983.000000,-30086791.000000,156284391.000000,,-4127621.000000,147284898.000000,-89264000.000000,,,-6420370.000000,,70981557.000000,14747346.000000,-22163478.000000,,,-44156775.000000,,,,-14406.000000,,,,,,,,49417240.000000,40000000.000000,,,156284391.000000,,67351779.000000,-607043.000000,,60487294.000000,127232030.000000
12M 2018,64508730.000000,1026509958.000000,933116.000000,-794519547.000000,-58053590.000000,-60978431.000000,-37249508.000000,-12945022.000000,811754.000000,,64508730.000000,-115439555.000000,,,,,,5000000.000000,,-85002409.000000,1741778.000000,-37178924.000000,-115439555.000000,51743661.000000,,-12076869.000000,,,,,,,48374652.000000,22110183.000000,-27635424.000000,,,-3466667.000000,,-562214.000000,,,,,,,,,,,25000000.000000,,,51743661.000000,,812836.000000,28400.000000,,127232030.000000,128073266.000000
12M 2019,1310368.000000,1112689376.000000,1378768.000000,-967844191.000000,-56950730.000000,-71833534.000000,-41715469.000000,-12622445.000000,38208593.000000,,1310368.000000,-50240825.000000,-50244684.000000,,,,,,,,3859.000000,,-50240825.000000,89142285.000000,,-4237037.000000,209426537.000000,-387792203.000000,,,,,63942549.000000,347143016.000000,-119350010.000000,,,-19990567.000000,,,,,,,,,,,,,,,,89142285.000000,,40211828.000000,73819.000000,,128073266.000000,168358913.000000
12M 2020,-130075510.000000,1196024920.000000,1408816.000000,-1164074389.000000,-64290259.000000,-57285988.000000,-34294027.000000,-9163875.000000,1599292.000000,,-130075510.000000,-70398520.000000,-74378686.000000,,,,,,,,3980166.000000,,-70398520.000000,187217680.000000,,-1471274.000000,,,,,,,221371754.000000,,-11445758.000000,,,-8530907.000000,,,,-12706135.000000,,,,,,,,,,,,187217680.000000,,-53256350.000000,1703362.000000,,168358913.000000,116805925.000000
12M 2021,-446195372.000000,1071651062.000000,666264.000000,-1353007233.000000,-53353523.000000,-38618351.000000,-72592431.000000,-1909534.000000,968374.000000,,-446195372.000000,4525270.000000,4488210.000000,,,,,,,,37060.000000,,4525270.000000,338266868.000000,,,,,,,,,342456249.000000,17239875.000000,-10520245.000000,,,-2671022.000000,,,,-8237989.000000,,,,,,,,,,,,338266868.000000,,-103403234.000000,-4663161.000000,,116805925.000000,8739530.000000
