Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Surat Berharga Jangka Menengah,Utang Obligasi,Utang Lain-Lain,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Surat Berharga Jangka Menengah,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Utang Pemegang Saham,Wesel Bayar,Liabilitas Derivatif,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Adjustment,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,73470699712.000000,175451203084.000000,165633304988.000000,9817898096.000000,175451203084.000000,842272934683.000000,95160886446.000000,1186355723925.000000,,141218159913.000000,1446364296131.000000,12389387555.000000,321209860517.000000,1921181704116.000000,3107537428041.000000,,,1351992389510.000000,672927184538.000000,,92313108890.000000,194250979832.000000,286564088722.000000,64032741235.000000,16219643428.000000,,288119884000.000000,3020515825.000000,,,3507049000.000000,294647448825.000000,17601282762.000000,1351992389510.000000,570971859633.000000,,497383567314.000000,3172838541.000000,,,500556405855.000000,,,,,14821539428.000000,55593914350.000000,570971859633.000000,1922964249143.000000,,290000000000.000000,80110591926.000000,277623111980.000000,,,277623111980.000000,,,536839474992.000000,1184573178898.000000,3107537428041.000000,2900000000.000000
12M 2012,,,69094195233.000000,304307303909.000000,223633789305.000000,80673514604.000000,304307303909.000000,978519811117.000000,137696306416.000000,1489617616675.000000,,5000000000.000000,2024564886179.000000,,34604105412.000000,2064168991591.000000,3553786608266.000000,,,1372911846231.000000,726862102267.000000,,153933851765.000000,146843836029.000000,300777687794.000000,69058743238.000000,26771731751.000000,,220639077672.000000,3388484404.000000,,,,224027562076.000000,25414019105.000000,1372911846231.000000,857401832751.000000,,738343811060.000000,,,,738343811060.000000,,39876062555.000000,,,46102210221.000000,33079748915.000000,857401832751.000000,2230313678982.000000,,290000000000.000000,80110591926.000000,506932123968.000000,,,506932123968.000000,,,446430213390.000000,1323472929284.000000,3553786608266.000000,18592888040.000000
12M 2013,,,74439850359.000000,741125603389.000000,430656536350.000000,310469067039.000000,741125603389.000000,1458637608356.000000,67945196149.000000,2342148258253.000000,,91262629279.000000,3047672048583.000000,8613359979.000000,101285498515.000000,3248833536356.000000,5590981794609.000000,,,2232337497410.000000,1230237474531.000000,,63473331774.000000,445744537579.000000,509217869353.000000,98174619651.000000,52725532389.000000,,320246873923.000000,1034160000.000000,,,,321281033923.000000,20700967563.000000,2232337497410.000000,1039044885214.000000,,887301106531.000000,2021412340.000000,,,889322518871.000000,,,,,73969036860.000000,75753329483.000000,1039044885214.000000,3271382382624.000000,,1859288804000.000000,126424881280.000000,333785013983.000000,,,333785013983.000000,101712722.000000,-1000000.000000,,2319599411985.000000,5590981794609.000000,18592888040.000000
12M 2014,,,81604263.000000,129239679.000000,97638418.000000,31601261.000000,129239679.000000,109569858.000000,1677717.000000,322091517.000000,,7007510.000000,322597417.000000,,47169460.000000,376774387.000000,698865904.000000,,,60449971.000000,31674477.000000,,3213255.000000,15408105.000000,18621360.000000,4840187.000000,3757082.000000,,,124549.000000,,,,124549.000000,1432316.000000,60449971.000000,405399306.000000,,82974215.000000,151101.000000,30000000.000000,,113125316.000000,,,271154492.000000,,14111577.000000,7007921.000000,405399306.000000,465849277.000000,,152250966.000000,10472300.000000,76030964.000000,,,76030964.000000,21093.000000,,-5758696.000000,233016627.000000,698865904.000000,18592888040.000000
12M 2015,,,77136595.000000,102181939.000000,80489933.000000,21692006.000000,102181939.000000,135788325.000000,8030906.000000,323137765.000000,,,440876907.000000,,19332058.000000,460208965.000000,783346730.000000,,,67155332.000000,38273334.000000,,3366005.000000,7741487.000000,11107492.000000,8100466.000000,6861669.000000,,,109018.000000,,,,109018.000000,2703353.000000,67155332.000000,439450226.000000,,114765366.000000,13604.000000,30000000.000000,,144778970.000000,,,268473045.000000,,16074988.000000,10123223.000000,439450226.000000,506605558.000000,,152250966.000000,10472300.000000,122290270.000000,,,122290270.000000,8719.000000,,-8281083.000000,276741172.000000,783346730.000000,18592888040.000000
12M 2016,,,60487294.000000,149560622.000000,114130407.000000,35430215.000000,149560622.000000,147615967.000000,20361315.000000,378025198.000000,,,519304496.000000,,49840016.000000,569144512.000000,947169710.000000,,,123527900.000000,73136312.000000,,576381.000000,4947294.000000,5523675.000000,6169008.000000,6365833.000000,,,14406.000000,30000000.000000,,,30014406.000000,2318666.000000,123527900.000000,492532302.000000,,30387243.000000,,,,30387243.000000,,,434729957.000000,,14550734.000000,12864368.000000,492532302.000000,616060202.000000,,152250966.000000,10477799.000000,177639896.000000,,,177639896.000000,,,-9259153.000000,331109508.000000,947169710.000000,18592888040.000000
12M 2017,,,127232030.000000,188659054.000000,162481172.000000,26177882.000000,188659054.000000,266238820.000000,62920836.000000,645050740.000000,,,546707929.000000,,1142369.000000,547850298.000000,1192901038.000000,,,175187960.000000,101720124.000000,,,54941724.000000,54941724.000000,3969012.000000,8101973.000000,,3466666.000000,,,,,3466666.000000,2988461.000000,175187960.000000,575554249.000000,,17702606.000000,,40000000.000000,,57702606.000000,,,491273002.000000,,9017449.000000,17561192.000000,575554249.000000,750742209.000000,,167476063.000000,44669942.000000,241547595.000000,,,241547595.000000,,,-11534771.000000,442158829.000000,1192901038.000000,20452176844.000000
12M 2018,,,128073266.000000,196094662.000000,146396588.000000,49698074.000000,196094662.000000,331841525.000000,50243092.000000,706252545.000000,,,653580976.000000,3215137.000000,1223333.000000,658019446.000000,1364271991.000000,,,228955322.000000,122993804.000000,,2325096.000000,56544709.000000,58869805.000000,13251185.000000,11255439.000000,,10629232.000000,,,,,10629232.000000,11955857.000000,228955322.000000,619069138.000000,,29183557.000000,,65000000.000000,,94183557.000000,,,493098425.000000,,9949110.000000,21838046.000000,619069138.000000,848024460.000000,,167476063.000000,44669942.000000,314026759.000000,,,314026759.000000,,,-9925233.000000,516247531.000000,1364271991.000000,20452176844.000000
12M 2019,,,168358913.000000,265239468.000000,210145887.000000,55093581.000000,265239468.000000,361171510.000000,99990770.000000,894760661.000000,,,653796162.000000,3078604.000000,7616328.000000,664491094.000000,1559251755.000000,,,182540923.000000,67586343.000000,,5377794.000000,29598438.000000,34976232.000000,16230488.000000,9722934.000000,,8476767.000000,,40000000.000000,,,48476767.000000,5548159.000000,182540923.000000,784042123.000000,,358488471.000000,,25000000.000000,,383488471.000000,,,355587848.000000,7372461.000000,10956361.000000,26636982.000000,784042123.000000,966583046.000000,,167476063.000000,44669942.000000,397442270.000000,,,397442270.000000,,,-16919566.000000,592668709.000000,1559251755.000000,20452176844.000000
12M 2020,,,116805925.000000,349596762.000000,282193870.000000,67402892.000000,349596762.000000,494899788.000000,189745962.000000,1151048437.000000,,,668568816.000000,2690248.000000,29681339.000000,700940403.000000,1851988840.000000,,,398345886.000000,277512339.000000,,3478978.000000,33425238.000000,36904216.000000,19131509.000000,16678528.000000,,6166667.000000,11612459.000000,25000000.000000,,,42779126.000000,5340168.000000,398345886.000000,781225865.000000,,357025385.000000,12055142.000000,,,369080527.000000,,,359602101.000000,8521427.000000,13054375.000000,30967435.000000,781225865.000000,1179571751.000000,,167476063.000000,44669942.000000,479531124.000000,,,479531124.000000,,,-19260040.000000,672417089.000000,1851988840.000000,20452176844.000000
