Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2007,,,,,,,,,,,,,,,0.0
12M 2008,,,,,,,,,4.57,4.9,0.09,0.09,,,0.0
12M 2009,,,,,,,,,5.5,5.69,0.1,0.1,,,0.0
12M 2010,,,,,,,,,5.34,5.31,0.08,0.09,,,0.0
12M 2011,,,,,,,,,5.51,5.47,0.08,0.08,,,0.0
12M 2012,,,,,,,,,5.53,5.33,0.08,0.07,,,0.0
12M 2013,,,,,,,,,5.55,5.29,0.08,0.07,,,0.0
12M 2014,,,,,,,,,5.94,5.4,0.09,0.08,,,0.0
12M 2015,,,,,,,,,2.98,2.98,0.09,0.08,,,0.0
12M 2016,,,,,,,,,2.31,2.28,0.09,0.08,,,0.0
12M 2017,,,,,,,,,2.46,2.46,0.08,0.08,,,0.0
12M 2018,,,,,,,,,2.46,2.46,0.08,0.08,,,0.0
12M 2019,,,,,,,,,2.46,2.47,0.08,0.08,,,0.0
12M 2020,,,,,,,,,2.28,2.23,0.07,0.07,,,0.0
12M 2021,,,,,,,,,2.06,2.13,0.06,0.06,,,0.0
12M 2022,,,,,,,,,2.28,2.3,0.06,0.06,,,0.0
12M 2023,,,,,,,,,2.52,2.51,0.06,0.07,,,0.0
12M 2024,,,,,,,,,2.52,2.51,0.07,0.07,,,0.0
