Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Bunga, Provisi Dan Komisi Yang Diterima","Bunga, Provisi Dan Komisi Yang Dibayar",Pendapatan Premi,Beban Klaim,Pendapatan Asuransi,Beban Asuransi,Pendapatan Operasional Lainnya,Keuntungan Bersih Selisih Kurs,Beban Operasional Lainnya,Pendapatan Bukan Operasional - Bersih,Pembayaran Pajak Penghasilan,Pembayaran Pajak Final Atas Revaluasi Aset Tetap,Perubahan Dalam Aset Dan Liabilitas Operasi:,Penurunan (Kenaikan) Aset Operasi:,Penempatan Pada Bank Lain Dan Bank Indonesia (Jatuh Tempo Lebih Dari 3 Bulan),Efek-Efek/Surat Berharga Dan Obligasi Pemerintah Untuk Tujuan Diperdagangkan,Penjualan (Pembelian) Efek/Surat Berharga Yang Dibeli Dengan Janji Dijual Kembali,Wesel Ekspor Dan Tagihan Lainnya,Pinjaman Yang Diberikan,Tagihan Akseptasi,Beban Dibayar Dimuka,Penempatan Term Deposit Valas Devisa Hasil Ekspor,Aset Lain-Lain,Total Penurunan (Kenaikan) Aset Operasi:,Kenaikan (Penurunan) Liabilitas Operasi:,Liabilitas Segera,Simpanan Nasabah,Simpanan Dari Bank Lain,Surat Berharga Yang Dijual Dengan Janji Dibeli Kembali,Beban Yang Masih Harus Dibayar,Kewajiban Atas Penempatan Term Deposit Valas Devisa Hasil Ekspor,Imbalan Kerja,Liabilitas Akseptasi,Utang Pajak,Kenaikan Efek-Efek Yang Diterbitkan,Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Liabilitas Operasi:,Kenaikan Dana Syirkah Temporer,Total Perubahan Dalam Aset Dan Liabilitas Operasi:,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Kenaikan (Penurunan) Surat Berharga,Penjualan (Pembelian) Obligasi Pemerintah - Tersedia Untuk Dijual Dan Yang Dimiliki Hingga Jatuh Tempo,Penjualan,Pembelian,Total Penjualan (Pembelian) Obligasi Pemerintah - Tersedia Untuk Dijual Dan Yang Dimiliki Hingga Jatuh Tempo,Penjualan (Pembelian) Efek-Efek Yang Tersedia Untuk Dijual Dan Dimiliki Hingga Jatuh Tempo - Neto,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penambahan Saham Entitas Anak,Kas Yang Diperoleh Dari Entitas Anak,Penyertan Pada Entitas Anak,Penyertaan Modal Investasi Asosiasi,"Hasil Penjualan Penyertaan Modal Sementara, Saham Anak Perusahaan Dan Asosiasi Perusahaan",Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Kenaikan (Penurunan) Atas Efek-Efek Yang Diterbitkan,Kenaikan (Penurunan) Pinjaman Yang Diterima,Kenaikan Efek-Efek Subordinasi,Transaksi Dengan Nci,Uang Muka Diterima Dari Sumitomo Life,Pembayaran Beban Corporate Action Atas Akuisisi Saham Bni Life Oleh Sumitomo Life,Penerimaan Sisa Nilai Akuisisi Saham Bni Life Oleh Sumitomo Life,Surat Berharga Yang Dibeli Dengan Janji Dijual Kembali,"Pembayaran Dividen, Program Kemitraan Dan Bina Lingkungan",Akuisisi Saham Treasuri,Pembayaran Liabilitas Sewa,Penambahan Modal Saham,Penambahan Agio Saham,Pelunasan Utang Subordinasi,Biaya Emisi Penerbitan Saham,Transaksi Dengan Entitas Nonpengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Kehilangan Pengendalian,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2007,-7839790000000.000000,15342923000000.000000,-7259064000000.000000,,,,,3864075000000.000000,,-5846973000000.000000,216055000000.000000,-1269598000000.000000,,,,-2384531000000.000000,-207188000000.000000,-195119000000.000000,351312000000.000000,-22819814000000.000000,669277000000.000000,,,577858000000.000000,-24008205000000.000000,,-144583000000.000000,10391806000000.000000,1459603000000.000000,-300240000000.000000,,,,-1388463000000.000000,,,1102874000000.000000,11120997000000.000000,,-12887208000000.000000,,-7839790000000.000000,-1915433000000.000000,,,41130696000000.000000,-39777633000000.000000,1353063000000.000000,-2830226000000.000000,-464133000000.000000,35137000000.000000,-9274000000.000000,,,,,-1915433000000.000000,3680888000000.000000,,-265522000000.000000,2299727000000.000000,,,,,,,-1030326000000.000000,,,,,-1305099000000.000000,3982108000000.000000,,3680888000000.000000,-6074335000000.000000,54517901000000.000000,,,48443566000000.000000
12M 2008,-12340073000000.000000,16434789000000.000000,-6966538000000.000000,,,,,2918923000000.000000,,-5121094000000.000000,73562000000.000000,-761972000000.000000,,,,-8060171000000.000000,-1323415000000.000000,108304000000.000000,-122148000000.000000,-27033997000000.000000,-1562564000000.000000,,,513429000000.000000,-37480562000000.000000,,-58670000000.000000,16975812000000.000000,296096000000.000000,425594000000.000000,,,,375036000000.000000,-46264000000.000000,,595215000000.000000,18562819000000.000000,,-18917743000000.000000,,-12340073000000.000000,4936462000000.000000,,,18780490000000.000000,-20036650000000.000000,-1256160000000.000000,6650251000000.000000,-463529000000.000000,5900000000.000000,,,,,,4936462000000.000000,889150000000.000000,,107000000.000000,2307718000000.000000,,,,,,,-484971000000.000000,,,,,-933704000000.000000,,,889150000000.000000,-6514461000000.000000,22014025000000.000000,,,15499564000000.000000
12M 2009,1343479000000.000000,19509478000000.000000,-8246264000000.000000,,,,,4014390000000.000000,,-7046325000000.000000,79798000000.000000,-874109000000.000000,,,,-7087639000000.000000,-10918294000000.000000,86815000000.000000,-235929000000.000000,-11437453000000.000000,-802823000000.000000,,,-660283000000.000000,-31055606000000.000000,,49553000000.000000,25304629000000.000000,-280883000000.000000,-625000000000.000000,,,,589375000000.000000,-656476000000.000000,,580919000000.000000,24962117000000.000000,,-6093489000000.000000,,1343479000000.000000,6745637000000.000000,,,29148982000000.000000,-24177452000000.000000,4971530000000.000000,2120264000000.000000,-703109000000.000000,318891000000.000000,-7817000000.000000,,,,45878000000.000000,6745637000000.000000,-3226702000000.000000,,-8492000000.000000,-3047064000000.000000,,,,,,,-171146000000.000000,,,,,,,,-3226702000000.000000,4862414000000.000000,15499564000000.000000,,,20361978000000.000000
12M 2010,-14154127000000.000000,19345064000000.000000,-7188490000000.000000,,,,,6883747000000.000000,,-12038701000000.000000,49951000000.000000,-1114001000000.000000,,,,-10092194000000.000000,602406000000.000000,,-197911000000.000000,-15513819000000.000000,-38195000000.000000,,,-1772147000000.000000,-27011860000000.000000,,227100000000.000000,5905698000000.000000,-493398000000.000000,,,,,-61325000000.000000,,,1342088000000.000000,6920163000000.000000,,-20091697000000.000000,,-14154127000000.000000,-7927936000000.000000,,,29094972000000.000000,-31415770000000.000000,-2320798000000.000000,-5028979000000.000000,-634795000000.000000,56636000000.000000,,,,,,-7927936000000.000000,9317751000000.000000,,16447000000.000000,53670000000.000000,,,,,,,-968754000000.000000,,,1265519000000.000000,9196100000000.000000,,-245231000000.000000,,9317751000000.000000,-12764312000000.000000,61621283000000.000000,,,48856971000000.000000
12M 2011,15384156000000.000000,20202546000000.000000,-7466580000000.000000,,,,,7420416000000.000000,,-12430552000000.000000,312128000000.000000,-2808438000000.000000,,,,-3899686000000.000000,191624000000.000000,,-986283000000.000000,-27176464000000.000000,,,,-3021000000.000000,-31873830000000.000000,,824883000000.000000,36921056000000.000000,3692778000000.000000,,,,,,,,589749000000.000000,42028466000000.000000,,10154636000000.000000,,15384156000000.000000,433079000000.000000,,,,-4809394000000.000000,-4809394000000.000000,5910140000000.000000,-718224000000.000000,50557000000.000000,,,,,,433079000000.000000,-1594301000000.000000,,-1012575000000.000000,3102316000000.000000,,,,,,-2289462000000.000000,-1394580000000.000000,,,,,,,,-1594301000000.000000,14222934000000.000000,48856971000000.000000,,2287000000.000000,63082192000000.000000
12M 2012,9237921000000.000000,22759737000000.000000,-7259227000000.000000,,,,,8241122000000.000000,,-12827026000000.000000,258614000000.000000,-1528370000000.000000,,,,13580209000000.000000,-36321000000.000000,2289462000000.000000,-970146000000.000000,-37208882000000.000000,-2265590000000.000000,-236444000000.000000,,441155000000.000000,-24406557000000.000000,,564398000000.000000,26365101000000.000000,-3773286000000.000000,,580876000000.000000,,14419000000.000000,145459000000.000000,128750000000.000000,,-26089000000.000000,23999628000000.000000,,-406929000000.000000,,9237921000000.000000,-6768659000000.000000,,,,-3297682000000.000000,-3297682000000.000000,-2351395000000.000000,-1134112000000.000000,14530000000.000000,,,,,,-6768659000000.000000,3067078000000.000000,,4504188000000.000000,23969000000.000000,,,,,,,-1398217000000.000000,,,,,,,-62862000000.000000,3067078000000.000000,5536340000000.000000,63082192000000.000000,,,68618532000000.000000
12M 2013,-6903202000000.000000,26153994000000.000000,-7336357000000.000000,,,,,9388349000000.000000,,-15598666000000.000000,53382000000.000000,-2888385000000.000000,,,,101932000000.000000,954360000000.000000,-1896556000000.000000,-580052000000.000000,-49895538000000.000000,-1377371000000.000000,-167301000000.000000,,451855000000.000000,-52408671000000.000000,,-965727000000.000000,34229354000000.000000,-60260000000.000000,,-44457000000.000000,,136911000000.000000,1574471000000.000000,-498000000.000000,,863358000000.000000,35733152000000.000000,,-16675519000000.000000,,-6903202000000.000000,-10672557000000.000000,,,,-6523159000000.000000,-6523159000000.000000,-2572021000000.000000,-1582456000000.000000,24539000000.000000,-19460000000.000000,,,,,-10672557000000.000000,9984640000000.000000,,1267723000000.000000,10200761000000.000000,,,630000000000.000000,,,,-2113844000000.000000,,,,,,,,9984640000000.000000,-7591119000000.000000,68618532000000.000000,,33197000000.000000,61060610000000.000000
12M 2014,-610370000000.000000,33051566000000.000000,-10670290000000.000000,,,,,10382871000000.000000,,-19187680000000.000000,174502000000.000000,-3301810000000.000000,,,,-1411705000000.000000,-1208552000000.000000,-4340800000000.000000,1119991000000.000000,-26984438000000.000000,-982495000000.000000,-171119000000.000000,,100352000000.000000,-33878766000000.000000,,53195000000.000000,17524855000000.000000,-415570000000.000000,,176687000000.000000,,391195000000.000000,269631000000.000000,-10793000000.000000,,-55926000000.000000,17933274000000.000000,4885963000000.000000,-11059529000000.000000,,-610370000000.000000,-2406032000000.000000,,,1679794000000.000000,,1679794000000.000000,-2728605000000.000000,-1366269000000.000000,9048000000.000000,,,,,,-2406032000000.000000,-4454107000000.000000,2491931000000.000000,,-7738258000000.000000,,,,-61476000000.000000,3570000000000.000000,,-2716304000000.000000,,,,,,,,-4454107000000.000000,-7470509000000.000000,61060610000000.000000,,-78095000000.000000,53512006000000.000000
12M 2015,24356628000000.000000,36334620000000.000000,-11121452000000.000000,3310796000000.000000,-2485134000000.000000,,,11974988000000.000000,,-20290342000000.000000,35009000000.000000,-3470990000000.000000,-190134000000.000000,,,-1083399000000.000000,-1130054000000.000000,5861141000000.000000,-6555451000000.000000,-48482868000000.000000,1631640000000.000000,-240399000000.000000,,-551735000000.000000,-50551125000000.000000,,-7571000000.000000,53672071000000.000000,1846187000000.000000,,257537000000.000000,,138451000000.000000,-280345000000.000000,6846000000.000000,,2151573000000.000000,57784749000000.000000,3025643000000.000000,10259267000000.000000,,24356628000000.000000,-3516469000000.000000,,,,-4039755000000.000000,-4039755000000.000000,3485158000000.000000,-3022124000000.000000,60252000000.000000,,,,,,-3516469000000.000000,9249530000000.000000,671211000000.000000,712636000000.000000,11311316000000.000000,,,,,,,-2695654000000.000000,-749979000000.000000,,,,,,,9249530000000.000000,30089689000000.000000,53512006000000.000000,,5838000000.000000,83607533000000.000000
12M 2016,15422131000000.000000,42679256000000.000000,-13817212000000.000000,5596823000000.000000,-4255262000000.000000,,,9612498000000.000000,,-20816407000000.000000,73573000000.000000,-3583629000000.000000,,,,-360701000000.000000,-1263681000000.000000,-1288535000000.000000,258760000000.000000,-67170243000000.000000,-3909427000000.000000,-778250000000.000000,,456981000000.000000,-74055096000000.000000,,1470174000000.000000,61516204000000.000000,5487124000000.000000,,130110000000.000000,,-67929000000.000000,-1829721000000.000000,25252000000.000000,,3609007000000.000000,70340221000000.000000,3647366000000.000000,-67509000000.000000,,15422131000000.000000,-29400164000000.000000,,,,-12932452000000.000000,-12932452000000.000000,-14313878000000.000000,-2171589000000.000000,17755000000.000000,,,,,,-29400164000000.000000,8637223000000.000000,601819000000.000000,-139552000000.000000,10441841000000.000000,,,,,,,-2266885000000.000000,,,,,,,,8637223000000.000000,-5340810000000.000000,83607533000000.000000,,17428000000.000000,78284151000000.000000
