Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,1.40,89.25,1.40,89.25,,,,(0 B),64 B
12M 2016,1.34,93.41,1.34,93.41,,,,(0 B),74 B
12M 2017,2.54,114.91,2.54,114.91,1 B,0 B,1 B,(25 B),57 B
12M 2018,2.59,152.10,2.59,152.10,21 B,87 B,108 B,58 B,29 B
12M 2019,7.25,157.87,7.25,157.87,31 B,57 B,88 B,40 B,49 B
12M 2020,2.81,147.49,2.81,147.49,21 B,54 B,75 B,5 B,50 B
12M 2021,4.89,181.06,4.89,181.06,23 B,37 B,60 B,(27 B),66 B
12M 2022,1.18,246.06,1.18,246.06,48 B,31 B,78 B,(8 B),60 B
12M 2023,0.54,260.99,0.54,260.99,26 B,18 B,43 B,(20 B),50 B
12M 2024,1.04,233.76,1.04,233.76,22 B,23 B,44 B,(48 B),61 B
