Period,Total Pendapatan,Komisi Dari Transaksi Perantara Pedagang Efek,Keuntungan Atas Perdagangan Efek,Pendapatan Bunga,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Beban Karyawan,Beban Penyusutan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Keuntungan Atas Penjualan Entitas Anak,Laba Dari Ventura Bersama,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,8081630099.000000,,,,,8081630099.000000,,8081630099.000000,-3081299272.000000,,-2975805872.000000,,,-105493400.000000,-3081299272.000000,5000330827.000000,-26317095.000000,375274.000000,-1276740.000000,,,,,-25415629.000000,-26317095.000000,4974013732.000000,23400000.000000,4997413732.000000,,4997413732.000000,,4997413732.000000,4997413732.000000,4956654725.000000,40759007.000000,4997413732.000000,4997413732.000000,4956654725.000000,40759007.000000,4997413732.000000
12M 2016,5631593414.000000,,,,,5631593414.000000,,5631593414.000000,-2649578471.000000,,-2226958111.000000,-347941250.000000,,-74679110.000000,-2649578471.000000,2982014943.000000,-3097153.000000,28847.000000,-3126000.000000,,,,,,-3097153.000000,2978917790.000000,47437500.000000,3026355290.000000,,3026355290.000000,,3026355290.000000,3026355290.000000,2995015928.000000,31339362.000000,3026355290.000000,3026355290.000000,2995015928.000000,31339362.000000,3026355290.000000
12M 2017,140739483067.000000,,,,,140739483067.000000,-112638113941.000000,28101369126.000000,-12988201164.000000,,-7664992692.000000,-5008639359.000000,-229072313.000000,-85496800.000000,-12988201164.000000,15113167962.000000,7100374561.000000,106703890.000000,-5531662.000000,,,-12781288023.000000,,19780490356.000000,7100374561.000000,22213542523.000000,-9097850104.000000,13115692419.000000,1638663957.000000,14754356376.000000,122270894.000000,14876627270.000000,14754356376.000000,14736271826.000000,18084550.000000,14754356376.000000,14876627270.000000,14858249546.000000,18377724.000000,14876627270.000000
12M 2018,319106290160.000000,,,,,319106290160.000000,-251132262026.000000,67974028134.000000,-28418770480.000000,,-17885102861.000000,-10211566931.000000,-298092438.000000,-24008250.000000,-28418770480.000000,39555257654.000000,-3773711112.000000,,-812350797.000000,,,,,-2961360315.000000,-3773711112.000000,35781546542.000000,-9299207509.000000,26482339033.000000,,26482339033.000000,362759735.000000,26845098768.000000,26482339033.000000,26414936853.000000,67402180.000000,26482339033.000000,26845098768.000000,26776942585.000000,68156183.000000,26845098768.000000
12M 2019,474271493696.000000,,,,,474271493696.000000,-394989108613.000000,79282385083.000000,-33644913925.000000,-33644913925.000000,,,,,-33644913925.000000,45637471158.000000,-30072392120.000000,,-11481045368.000000,,-19550000.000000,,,-18571796752.000000,-30072392120.000000,15565079038.000000,-11387841389.000000,4177237649.000000,,4177237649.000000,-11450890.000000,4165786759.000000,4177237649.000000,4166768381.000000,10469268.000000,4177237649.000000,4165786759.000000,4155416539.000000,10370220.000000,4165786759.000000
12M 2020,521617491481.000000,,,,,521617491481.000000,-464679062995.000000,56938428486.000000,-40842723692.000000,-40842723692.000000,,,,,-40842723692.000000,16095704794.000000,-9753045015.000000,,-10054000388.000000,,,,,300955373.000000,-9753045015.000000,6342659779.000000,-3306481309.000000,3036178470.000000,,3036178470.000000,-121213957.000000,2914964513.000000,3036178470.000000,3017800150.000000,18378320.000000,3036178470.000000,2914964513.000000,2896737189.000000,18227324.000000,2914964513.000000
12M 2021,479636030718.000000,,,,,479636030718.000000,-391355840908.000000,88280189810.000000,-51151158176.000000,-51151158176.000000,,,,,-51151158176.000000,37129031634.000000,-3772848367.000000,,-8688921218.000000,,,,,4916072851.000000,-3772848367.000000,33356183267.000000,-9129269759.000000,24226913508.000000,,24226913508.000000,10684971.000000,24237598479.000000,24226913508.000000,24160668230.000000,66245278.000000,24226913508.000000,24237598479.000000,24171508576.000000,66089903.000000,24237598479.000000
12M 2022,484127494223.000000,,,,,484127494223.000000,-374350468726.000000,109777025497.000000,-51316254406.000000,-51316254406.000000,,,,,-51316254406.000000,58460771091.000000,5958537414.000000,1204782513.000000,-8622726777.000000,,,,,13376481678.000000,5958537414.000000,64419308505.000000,-17450475975.000000,46968832530.000000,,46968832530.000000,-8932006.000000,46959900524.000000,46968832530.000000,46809308033.000000,159524497.000000,46968832530.000000,46959900524.000000,46800236221.000000,159664303.000000,46959900524.000000
12M 2023,431489505362.000000,,,,,431489505362.000000,-373190398830.000000,58299106532.000000,-57473968432.000000,-57473968432.000000,,,,,-57473968432.000000,825138100.000000,20510640724.000000,545215036.000000,-6534413671.000000,,,,,26499839359.000000,20510640724.000000,21335778824.000000,-9566103366.000000,11769675458.000000,,11769675458.000000,-987172256.000000,10782503202.000000,11769675458.000000,11734542378.000000,35133080.000000,11769675458.000000,10782503202.000000,10750021346.000000,32481856.000000,10782503202.000000
12M 2024,420167882568.000000,,,,,420167882568.000000,-385145028930.000000,35022853638.000000,-57694159555.000000,-57694159555.000000,,,,,-57694159555.000000,-22671305917.000000,4636386153.000000,968847514.000000,-6481841281.000000,,2379545455.000000,,,7769834465.000000,4636386153.000000,-18034919764.000000,-1285561745.000000,-19320481509.000000,,-19320481509.000000,-322055180.000000,-19642536689.000000,-19320481509.000000,-19285246030.000000,-35235479.000000,-19320481509.000000,-19642536689.000000,-19607497222.000000,-35039467.000000,-19642536689.000000
