Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pihak Berelasi,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Utang Bank,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,5219415.000000,,,,,,,,,66356876903.000000,66362096318.000000,,,,23400000.000000,135000000.000000,158400000.000000,66520496318.000000,,,1896786169.000000,,,,,,,1896786169.000000,,,1896786169.000000,,,,,,,,,,1896786169.000000,,,,,,,,,,,1896786169.000000,,72000000000.000000,-21951183234.000000,,,-21951183234.000000,366439633.000000,14208453750.000000,64623710149.000000,66520496318.000000,720000000.000000
12M 2016,,,8122969.000000,,,,,,,,,75455445562.000000,75463568531.000000,,,,70837500.000000,135000000.000000,205837500.000000,75669406031.000000,,,1516109111.000000,,,,,,,,,,,1822611.000000,,1822611.000000,1514286500.000000,,,,,,1516109111.000000,6503231481.000000,,,,,,,6503231481.000000,,6503231481.000000,8019340592.000000,,72000000000.000000,-18956167306.000000,,,-18956167306.000000,397778995.000000,14208453750.000000,67650065439.000000,75669406031.000000,720000000.000000
12M 2017,,,25311060218.000000,14388574500.000000,8807521854.000000,5581052646.000000,14388574500.000000,239340000.000000,,,239340000.000000,48201505164.000000,88140479882.000000,,622000000.000000,26005652617.000000,470202576.000000,6260423.000000,27104115616.000000,115244595498.000000,,,31152322866.000000,448750000.000000,,10708331095.000000,900939664.000000,11609270759.000000,7764802424.000000,706863962.000000,,,706863962.000000,6418825030.000000,,6418825030.000000,2601886838.000000,,202019280.000000,,202019280.000000,1399904573.000000,31152322866.000000,1132080166.000000,,,,111043777.000000,,111043777.000000,,1021036389.000000,1132080166.000000,32284403032.000000,,72000000000.000000,-4219895480.000000,,,-4219895480.000000,228150270.000000,14951937676.000000,82960192466.000000,115244595498.000000,720000000.000000
12M 2018,,,50114289116.000000,37920342718.000000,6964826538.000000,30955516180.000000,37920342718.000000,4594423585.000000,,,4594423585.000000,3936658959.000000,96565714378.000000,,5767000000.000000,22651171419.000000,899780407.000000,149122307083.000000,178440258909.000000,275005973287.000000,,,67653178520.000000,20077257671.000000,,33689479455.000000,6317110869.000000,40006590324.000000,,712851486.000000,,,712851486.000000,1369440302.000000,,1369440302.000000,2653557771.000000,,1065854910.000000,,1065854910.000000,1767626056.000000,67653178520.000000,97547503533.000000,9995590886.000000,84753903888.000000,,1774688927.000000,,1774688927.000000,,1023319832.000000,97547503533.000000,165200682053.000000,,72000000000.000000,22195041373.000000,,,22195041373.000000,296306453.000000,15313943408.000000,109805291234.000000,275005973287.000000,720000000.000000
12M 2019,,,48013824335.000000,99970683356.000000,39472413580.000000,60498269776.000000,99970683356.000000,154121342.000000,,,154121342.000000,586353512.000000,148724982545.000000,,9612796980.000000,125895214924.000000,883485230.000000,61088060.000000,136452585194.000000,285177567739.000000,,,99631561298.000000,29794946140.000000,,57350798511.000000,4560021718.000000,61910820229.000000,,,566330500.000000,1699628386.000000,2265958886.000000,2670759524.000000,,2670759524.000000,352072039.000000,,971894792.000000,,971894792.000000,1665109688.000000,99631561298.000000,71574928448.000000,12267632904.000000,55958957748.000000,,802794135.000000,,802794135.000000,1048273282.000000,1497270379.000000,71574928448.000000,171206489746.000000,,72000000000.000000,26834441364.000000,,,26834441364.000000,306676673.000000,14829959956.000000,113971077993.000000,285177567739.000000,720000000.000000
12M 2020,,,69209954230.000000,94262496728.000000,43431437353.000000,50831059375.000000,94262496728.000000,281434730.000000,,,281434730.000000,1355630447.000000,165109516135.000000,,11575675075.000000,108153236174.000000,4563597265.000000,8859219641.000000,133151728155.000000,298261244290.000000,,,114959432645.000000,19755000000.000000,,77924962627.000000,2345969828.000000,80270932455.000000,,,577479800.000000,2457997512.000000,3035477312.000000,8348357610.000000,,8348357610.000000,304823973.000000,,802794135.000000,614048409.000000,1416842544.000000,1827998751.000000,114959432645.000000,76810698000.000000,17955738796.000000,53948903893.000000,,,1573120967.000000,1573120967.000000,1050391111.000000,2282543233.000000,76810698000.000000,191770130645.000000,,72000000000.000000,19361174069.000000,,,19361174069.000000,299979620.000000,14829959956.000000,106491113645.000000,298261244290.000000,720000000.000000
12M 2021,,,87666978826.000000,59184661998.000000,28263459753.000000,30921202245.000000,59184661998.000000,189815822.000000,,,189815822.000000,3001559344.000000,150043015990.000000,,10547148879.000000,96061699364.000000,6693541917.000000,12645302511.000000,125947692671.000000,275990708661.000000,,,83977625835.000000,20460000000.000000,,52078981219.000000,1059252040.000000,53138233259.000000,,,895990363.000000,1337356013.000000,2233346376.000000,2157757170.000000,,2157757170.000000,324610000.000000,,2528611800.000000,1159695195.000000,3688306995.000000,1975372035.000000,83977625835.000000,61284370702.000000,20512996774.000000,33488903893.000000,,3729702405.000000,1308818808.000000,5038521213.000000,,2243948822.000000,61284370702.000000,145261996537.000000,,72000000000.000000,43532682645.000000,,,43532682645.000000,366069523.000000,14829959956.000000,130728712124.000000,275990708661.000000,720000000.000000
12M 2022,,,86093203758.000000,88844204753.000000,23992085978.000000,64852118775.000000,88844204753.000000,1424710303.000000,731175691.000000,693534612.000000,1424710303.000000,2531128798.000000,178893247612.000000,,11493786498.000000,156648053368.000000,6160418987.000000,12955524553.000000,187257783406.000000,366151031018.000000,,,118788125755.000000,40457237226.000000,,42356953563.000000,3322617444.000000,45679571007.000000,,,2406094924.000000,873617942.000000,3279712866.000000,9128035755.000000,,9128035755.000000,364177787.000000,,7316524300.000000,377614771.000000,7694139071.000000,12185252043.000000,118788125755.000000,69674292615.000000,22453215031.000000,17533333334.000000,,12994457292.000000,1666318808.000000,14660776100.000000,,15026968150.000000,69674292615.000000,188462418370.000000,,72000000000.000000,90332918866.000000,,,90332918866.000000,525733826.000000,14829959956.000000,177688612648.000000,366151031018.000000,720000000.000000
12M 2023,,,63299660285.000000,65168154263.000000,32605002033.000000,32563152230.000000,65168154263.000000,1070166313.000000,467004750.000000,603161563.000000,1070166313.000000,3140884314.000000,132678865175.000000,,23383220075.000000,158939046845.000000,6320734182.000000,32304249.000000,188675305351.000000,321354170526.000000,,,82521507639.000000,19512237226.000000,,47573957321.000000,2277685805.000000,49851643126.000000,,,452233560.000000,1112654794.000000,1564888354.000000,2067730034.000000,,2067730034.000000,290595421.000000,,5989003105.000000,671102236.000000,6660105341.000000,2574308137.000000,82521507639.000000,50361547037.000000,26403558255.000000,10565000001.000000,,7005454187.000000,1758229610.000000,8763683797.000000,,4629304984.000000,50361547037.000000,132883054676.000000,,72000000000.000000,101082940212.000000,,,101082940212.000000,558215682.000000,14829959956.000000,188471115850.000000,321354170526.000000,720000000.000000
12M 2024,,,92220504664.000000,30833723604.000000,10673531140.000000,20160192464.000000,30833723604.000000,1112512794.000000,833591441.000000,278921353.000000,1112512794.000000,4984566787.000000,129151307849.000000,,19894208993.000000,134359060948.000000,5126008513.000000,9409576865.000000,168788855319.000000,297940163168.000000,,,68588300898.000000,15478333334.000000,,39722487682.000000,902384394.000000,40624872076.000000,,,467689255.000000,1586963841.000000,2054653096.000000,119646451.000000,,119646451.000000,836280676.000000,,6046865172.000000,1156640041.000000,7203505213.000000,2271010052.000000,68588300898.000000,60523283109.000000,30345940804.000000,16206666667.000000,,6611098673.000000,1480251450.000000,8091350123.000000,,5879325515.000000,60523283109.000000,129111584007.000000,,72000000000.000000,81475442990.000000,,,81475442990.000000,523176215.000000,14829959956.000000,168828579161.000000,297940163168.000000,720000000.000000
