Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2015,4 B,,4 B,5.51
12M 2016,9 B,,9 B,12.64
12M 2017,10 B,(29 B),(19 B),-26.58
12M 2018,(74 B),(3 B),(77 B),-106.57
12M 2019,40 B,(21 B),20 B,27.25
12M 2020,32 B,(1 B),31 B,43.20
12M 2021,41 B,(4 B),38 B,52.19
12M 2022,72 B,(45 B),28 B,38.46
12M 2023,43 B,(22 B),21 B,29.55
12M 2024,31 B,(4 B),27 B,37.16
