Period,Total Pendapatan,Total Beban Pokok Penjualan,Beban Program Dan Penyiaran,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1723945532000.000000,-881100560000.000000,-881100560000.000000,-881100560000.000000,842844972000.000000,-383575064000.000000,,-383575064000.000000,,-383575064000.000000,459269908000.000000,-110397697000.000000,-91804826000.000000,9642105000.000000,,37097468000.000000,-65332444000.000000,-110397697000.000000,348872211000.000000,-140911622000.000000,207960589000.000000,,207960589000.000000,,,207960589000.000000,207960589000.000000,,207960589000.000000,,,,
12M 2009,1614415100000.000000,-775057586000.000000,-775057586000.000000,-775057586000.000000,839357514000.000000,-361872190000.000000,,-361872190000.000000,,-361872190000.000000,477485324000.000000,-68974581000.000000,-64322477000.000000,-11391772000.000000,,34969321000.000000,-28229653000.000000,-68974581000.000000,408510743000.000000,-123057313000.000000,285453430000.000000,,285453430000.000000,,,285453430000.000000,285453430000.000000,,285453430000.000000,,,,
12M 2010,1927997307000.000000,-775741137000.000000,-775741137000.000000,-775741137000.000000,1152256170000.000000,-361849242000.000000,,-361849242000.000000,,-361849242000.000000,790406928000.000000,-68710680000.000000,-63655869000.000000,-4596176000.000000,,33734105000.000000,-34192740000.000000,-68710680000.000000,721696248000.000000,-191568820000.000000,530127428000.000000,,530127428000.000000,,,530127428000.000000,530127428000.000000,,530127428000.000000,,,,
12M 2011,2306734944000.000000,-708995477000.000000,-708995477000.000000,-708995477000.000000,1597739467000.000000,-374944874000.000000,,-384392942000.000000,9448068000.000000,-374944874000.000000,1222794593000.000000,-19447342000.000000,-63732882000.000000,,,46229285000.000000,-1943745000.000000,-19447342000.000000,1203347251000.000000,-290759660000.000000,912587591000.000000,,912587591000.000000,,912587591000.000000,912587591000.000000,912705475000.000000,-117884000.000000,912587591000.000000,912587591000.000000,912705475000.000000,-117884000.000000,912587591000.000000
12M 2012,2240084948000.000000,-691301770000.000000,-691301770000.000000,-691301770000.000000,1548783178000.000000,-343920065000.000000,-370826304000.000000,,26906239000.000000,-343920065000.000000,1204863113000.000000,-5395772000.000000,-42825204000.000000,,,37429432000.000000,,-5395772000.000000,1199467341000.000000,-286454579000.000000,913012762000.000000,,913012762000.000000,,913012762000.000000,913012762000.000000,913012767000.000000,-5000.000000,913012762000.000000,913012762000.000000,913012767000.000000,-5000.000000,913012762000.000000
12M 2013,3694747871000.000000,-1285090705000.000000,-1285090705000.000000,-1285090705000.000000,2409657166000.000000,-650871027000.000000,-704482339000.000000,,53611312000.000000,-650871027000.000000,1758786139000.000000,5308521000.000000,-46771362000.000000,,,52079883000.000000,,5308521000.000000,1764094660000.000000,-448138872000.000000,1315955788000.000000,-30058726000.000000,1285897062000.000000,,1285897062000.000000,1285897062000.000000,1279679223000.000000,6217839000.000000,1285897062000.000000,1285897062000.000000,1279679223000.000000,6217839000.000000,1285897062000.000000
12M 2014,4055701641000.000000,-1479213366000.000000,-1479213366000.000000,-1479213366000.000000,2576488275000.000000,-659617657000.000000,-663512822000.000000,,3895165000.000000,-659617657000.000000,1916870618000.000000,221260000.000000,-67811265000.000000,,4693000.000000,68027832000.000000,,221260000.000000,1917091878000.000000,-468817653000.000000,1448274225000.000000,,1448274225000.000000,,1448274225000.000000,1448274225000.000000,1453643655000.000000,-5369430000.000000,1448274225000.000000,1448274225000.000000,1453643655000.000000,-5369430000.000000,1448274225000.000000
12M 2015,4237979643000.000000,-1526191345000.000000,-1526191345000.000000,-1526191345000.000000,2711788298000.000000,-697240077000.000000,-700939445000.000000,,3699368000.000000,-697240077000.000000,2014548221000.000000,23918466000.000000,-43041587000.000000,,-218181000.000000,67178234000.000000,,23918466000.000000,2038466687000.000000,-513469780000.000000,1524996907000.000000,-3411304000.000000,1521585603000.000000,17659276000.000000,1539244879000.000000,1521585603000.000000,1523524239000.000000,-1938636000.000000,1521585603000.000000,1539244879000.000000,1540528369000.000000,-1283490000.000000,1539244879000.000000
12M 2016,4524135762000.000000,-1782449717000.000000,-1782449717000.000000,-1782449717000.000000,2741686045000.000000,-738344181000.000000,-738347991000.000000,,3810000.000000,-738344181000.000000,2003341864000.000000,20210001000.000000,-28536786000.000000,,1851589000.000000,46895198000.000000,,20210001000.000000,2023551865000.000000,-509922953000.000000,1513628912000.000000,-2484300000.000000,1511144612000.000000,-9467664000.000000,1501676948000.000000,1511144612000.000000,1500932148000.000000,10212464000.000000,1511144612000.000000,1501676948000.000000,1493436987000.000000,8239961000.000000,1501676948000.000000
12M 2017,4453848569000.000000,-1834630699000.000000,-1834630699000.000000,-1834630699000.000000,2619217870000.000000,-847106791000.000000,-839886617000.000000,,-7220174000.000000,-847106791000.000000,1772111079000.000000,9932422000.000000,-16049844000.000000,,11004597000.000000,14977669000.000000,,9932422000.000000,1782043501000.000000,-464295437000.000000,1317748064000.000000,,1317748064000.000000,-9482689000.000000,1308265375000.000000,1317748064000.000000,1331459399000.000000,-13711335000.000000,1317748064000.000000,1308265375000.000000,1322625328000.000000,-14359953000.000000,1308265375000.000000
12M 2018,5001848767000.000000,-2157268552000.000000,-2157268552000.000000,-2157268552000.000000,2844580215000.000000,-906884337000.000000,-905902194000.000000,,-982143000.000000,-906884337000.000000,1937695878000.000000,31322776000.000000,-2900885000.000000,,9278538000.000000,24945123000.000000,,31322776000.000000,1969018654000.000000,-493976454000.000000,1475042200000.000000,,1475042200000.000000,-10179316000.000000,1464862884000.000000,1475042200000.000000,1484762240000.000000,-9720040000.000000,1475042200000.000000,1464862884000.000000,1474665171000.000000,-9802287000.000000,1464862884000.000000
12M 2019,5523362497000.000000,-2862897768000.000000,-2862897768000.000000,-2862897768000.000000,2660464729000.000000,-1329896117000.000000,-1177174576000.000000,,-152721541000.000000,-1329896117000.000000,1330568612000.000000,42496892000.000000,-2302705000.000000,,-224683000.000000,45024280000.000000,,42496892000.000000,1373065504000.000000,-401447087000.000000,971618417000.000000,,1051164602000.000000,-7636291000.000000,1043528311000.000000,1051164602000.000000,1070166566000.000000,-19001964000.000000,1051164602000.000000,1043528311000.000000,1063457757000.000000,-19929446000.000000,1043528311000.000000
12M 2020,5101113259000.000000,-2491631112000.000000,-2491631112000.000000,-2491631112000.000000,2609482147000.000000,-1150005515000.000000,-1154111015000.000000,,4105500000.000000,-1150005515000.000000,1459476632000.000000,28623420000.000000,-7855745000.000000,,6920351000.000000,29558814000.000000,,28623420000.000000,1488100052000.000000,-338036813000.000000,1150063239000.000000,,1150063239000.000000,35150466000.000000,1185213705000.000000,1150063239000.000000,1148342286000.000000,1720953000.000000,1150063239000.000000,1185213705000.000000,1178135789000.000000,7077916000.000000,1185213705000.000000
12M 2021,5930261093000.000000,-2886524889000.000000,-2886524889000.000000,-2886524889000.000000,3043736204000.000000,-1291315068000.000000,-1348859281000.000000,,57544213000.000000,-1291315068000.000000,1752421136000.000000,-26786903000.000000,-51320323000.000000,,7721702000.000000,16811718000.000000,,-26786903000.000000,1725634233000.000000,-387648442000.000000,1337985791000.000000,,1337985791000.000000,-2725674000.000000,1335260117000.000000,1337985791000.000000,1347464222000.000000,-9478431000.000000,1337985791000.000000,1335260117000.000000,1346238290000.000000,-10978173000.000000,1335260117000.000000
12M 2022,7132533909000.000000,-4430321536000.000000,-4430321536000.000000,-4430321536000.000000,2702212373000.000000,-1600377869000.000000,-1784258639000.000000,,183880770000.000000,-1600377869000.000000,1101834504000.000000,-6508593000.000000,-39798006000.000000,,-3869861000.000000,37159274000.000000,,-6508593000.000000,1095325911000.000000,-415450890000.000000,679875021000.000000,,679875021000.000000,,692503925000.000000,679875021000.000000,846360601000.000000,-166485580000.000000,679875021000.000000,692503925000.000000,853214401000.000000,-160710476000.000000,692503925000.000000
12M 2023,6513197417000.000000,-4327345673000.000000,-4327345673000.000000,-4327345673000.000000,2185851744000.000000,-1846824401000.000000,-1847743348000.000000,,918947000.000000,-1846824401000.000000,339027343000.000000,79972627000.000000,-11965858000.000000,,-3684949000.000000,95623434000.000000,,79972627000.000000,418999970000.000000,-263134754000.000000,155865216000.000000,,155865216000.000000,,151839072000.000000,155865216000.000000,334608874000.000000,-178743658000.000000,155865216000.000000,151839072000.000000,331587795000.000000,-179748723000.000000,151839072000.000000
12M 2024,7057824443000.000000,-4530523902000.000000,-4530523902000.000000,-4530523902000.000000,2527300541000.000000,-1872779064000.000000,-1816752926000.000000,,-56026138000.000000,-1872779064000.000000,654521477000.000000,147093561000.000000,-1948150000.000000,,6490485000.000000,142551226000.000000,,147093561000.000000,801615038000.000000,-316536277000.000000,485078761000.000000,,485078761000.000000,,511484944000.000000,485078761000.000000,594853668000.000000,-109774907000.000000,485078761000.000000,511484944000.000000,612199976000.000000,-100715032000.000000,511484944000.000000
