Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Penerimaan Dari Pendapatan Bunga Dan Keuangan,Penerimaan (Pembayaran) Dari Kegiatan Operasi Lainnya,Penerimaan Dari Klaim Pajak,Pembayaran Pajak Penghasilan,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penarikan Simpanan Dalam Tabungan,Pemberian Piutang Lain-Lain,Penempatan Dalam Tabungan,Hasil Pelepasan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Dalam Penyelesaian,Uang Muka Investasi,Investasi Pada Entitas Anak,Investasi Pada Entitas Asosiasi,Penambahan Aset Tidak Berwujud,Perolehan Perangkat Lunak,Pengembalian Ke Pihak Nonpengendali Atas Penurunan Modal Entitas Anak,Penambahan Properti Investasi,Penarikan (Penempatan) Dana Investasi,Pembayaran Sewa Jangka Panjang,Penjualan Penyertaan Saham Pada Entitas Anak,Pencairan Investasi Jangka Pendek,Penyertaan Dalam Bentuk Saham,Penerimaan Dividen Dari Aktivitas Investasi,Penerimaan Dari Pemegang Saham Non Pengendali,Tambahan Modal Disetor Yang Berasal Dari Entitas Anak,Penerimaan Investasi Entitas Anak Dari Kepentingan Nonpengendali,Akuisisi Entitas Anak,Penerimaan Dari Investasi Jangka Panjang Yang Dibatalkan,Investasi Jangka Panjang,Penempatan Aset Keuangan Lancar Lainnya,Penarikan Aset Keuangan Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Kas,Pembayaran Dividen Kas Oleh Entitas Anak Kepada Pihak Non-Pengendali,Pembayaran Dividen Kas Oleh Entitas Anak Kepada Entitas Induk Sebelumnya,Tambahan Modal Disetor Yang Berasal Dari Penerbitan Saham,Tambahan Modal Disetor Yang Berasal Dari Entitas Anak,Pembayaran Hutang Pembiayaan,Pembayaran Untuk Pembelian Saham Treasuri,Penerimaan (Pembayaran) Pinjaman Bank Jangka Pendek,Penerimaan Dari Pelaksanaan Opsi Pemilikan Saham Oleh Karyawan (Esop),Penerimaan Dari Hutang Pihak Relasi,Penerimaan Dari Penjualan Kembali Saham Treasuri,Pembayaran Liabilitas Sewa,Pembayaran Utang Sewa Pembiayaan,Pembayaran Hutang Obligasi,Pengembalian Piutang,Pembayaran Kembali Hutang Bank Jangka Panjang,Pembayaran Kembali Pinjaman Lain-Lain,Pembayaran Kembali Utang Pihak Berelasi,Penerimaan Investasi Pada Entitas Anak Dari Kepentingan Nonpengendali,Pembayaran Kembali Hutang Bank Jangka Pendek,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Saldo Kas Awal Entitas Anak Yang Diakuisisi,Kas Dan Setara Kas Akhir Periode
12M 2008,343727954000.000000,1614126820000.000000,-1108336866000.000000,36976391000.000000,-1953023000.000000,,-104161085000.000000,-92924283000.000000,343727954000.000000,-148875890000.000000,,,,276078000.000000,-135000796000.000000,,,,,,,-11625626000.000000,,,-10677856000.000000,-20664748000.000000,,29817058000.000000,-1000000000.000000,,,,,,,,,,-148875890000.000000,-515274357000.000000,-91203265000.000000,,,,,,-838217000.000000,,1767125000.000000,,,,,-425000000000.000000,,,,,,,-515274357000.000000,-320422293000.000000,725867147000.000000,,,405444854000.000000
12M 2009,383001433000.000000,1655968573000.000000,-1118186377000.000000,35169985000.000000,13440736000.000000,,-139640911000.000000,-63750573000.000000,383001433000.000000,-59569510000.000000,,,,4377279000.000000,-30995351000.000000,,,,,,,-4354906000.000000,,-33687089000.000000,12612212000.000000,-7521655000.000000,,,,,,,,,,,,,-59569510000.000000,-245749484000.000000,-248289454000.000000,,,,,,,,2539970000.000000,,,,,,,,,,,,-245749484000.000000,77682439000.000000,405444854000.000000,,,483127293000.000000
12M 2010,688684643000.000000,1901925819000.000000,-1002570400000.000000,32890614000.000000,-2733023000.000000,,-177052952000.000000,-63775415000.000000,688684643000.000000,-18560584000.000000,,,,4027241000.000000,-22079393000.000000,,,,-434887000.000000,,,-73545000.000000,,,,,,,,,,,,,,,,,-18560584000.000000,-441039563000.000000,-441683976000.000000,,,,,,,,2644413000.000000,,,,,,-2000000000.000000,,,,,,-441039563000.000000,229084496000.000000,483127293000.000000,,,712211789000.000000
12M 2011,927817944000.000000,2274178772000.000000,-1010025057000.000000,46865938000.000000,-1796605000.000000,,-317444681000.000000,-63960423000.000000,927817944000.000000,-27518544000.000000,,,,3600160000.000000,-32440452000.000000,,,,,,,-11159000.000000,,,,,686000000.000000,,,,,,,,646907000.000000,,,,-27518544000.000000,-895794417000.000000,-899007826000.000000,,,,,,,,3213409000.000000,,,,,,,,,,,,-895794417000.000000,4504983000.000000,712211789000.000000,,,716716772000.000000
12M 2012,837226914000.000000,2134460000000.000000,-1053566483000.000000,36774934000.000000,35067403000.000000,,-270564407000.000000,-44944533000.000000,837226914000.000000,-71308242000.000000,,,-9000000000.000000,1388082000.000000,-57961338000.000000,-3889694000.000000,,,,,,-1845292000.000000,,,,,,,,,,,,,,,,,-71308242000.000000,-555212529000.000000,-243617563000.000000,,,,,,,,3897584000.000000,248750000000.000000,10757450000.000000,,,-575000000000.000000,,,,,,,-555212529000.000000,210706143000.000000,716716772000.000000,,,927422915000.000000
12M 2013,1271006241000.000000,3723488851000.000000,-1964200448000.000000,51384392000.000000,3105362000.000000,3601985000.000000,-500589310000.000000,-45784591000.000000,1271006241000.000000,-357746186000.000000,,,9000000000.000000,3387134000.000000,-105674152000.000000,-21670684000.000000,,,,,,-538484000.000000,,,,,,,,,,,,-242250000000.000000,,,,,-357746186000.000000,-935737431000.000000,-921146146000.000000,-11544581000.000000,,,,-3044087000.000000,-2617000.000000,,,,,,,,,,,,,,-935737431000.000000,-22477376000.000000,1065760142000.000000,,,1043282766000.000000
12M 2014,1178602451000.000000,3769419661000.000000,-2141941336000.000000,67916873000.000000,7826656000.000000,1066059000.000000,-457971207000.000000,-67714255000.000000,1178602451000.000000,-186716756000.000000,,,-2540928000.000000,499079000.000000,-120115767000.000000,-33135010000.000000,,,-24052406000.000000,,,-8171730000.000000,,,,,,,,,800006000.000000,,,,,,,,-186716756000.000000,-807886957000.000000,-745689737000.000000,-9094595000.000000,,,,-3102625000.000000,,,,,,,,,,,,-50000000000.000000,,,-807886957000.000000,183998738000.000000,1043282766000.000000,18827980000.000000,,1246109484000.000000
12M 2015,1506974464000.000000,4218152801000.000000,-2154187500000.000000,68902621000.000000,-9224870000.000000,13846371000.000000,-586920487000.000000,-43594472000.000000,1506974464000.000000,-112018993000.000000,,,2540928000.000000,1328791000.000000,-288770040000.000000,-17081263000.000000,,,-554594000.000000,,,-1482815000.000000,,,,,,,,,222000000000.000000,,,-30000000000.000000,,,,,-112018993000.000000,-1950529156000.000000,-1827670925000.000000,-1080810000.000000,-1002000000.000000,,,-1664947000.000000,,,,,,,,,,,,-119110474000.000000,,,-1950529156000.000000,-555573685000.000000,1248623264000.000000,-11918793000.000000,4591108000.000000,685721894000.000000
12M 2016,1384727657000.000000,4375961635000.000000,-2506344955000.000000,47496426000.000000,2675586000.000000,12545560000.000000,-521613296000.000000,-25993299000.000000,1384727657000.000000,-250323036000.000000,,,,1876414000.000000,-127177965000.000000,-22060491000.000000,,,,,,-567694000.000000,,,,,,,,,6230200000.000000,,,-10000000000.000000,,-98623500000.000000,,,-250323036000.000000,-1367806881000.000000,-1213573494000.000000,-2526240000.000000,,,,-969417000.000000,,,,,,,,,,,,-150737730000.000000,,,-1367806881000.000000,-233402260000.000000,685721894000.000000,-4969789000.000000,7382043000.000000,454731888000.000000
12M 2017,1250519493000.000000,4415352468000.000000,-2681781704000.000000,15241893000.000000,-9103669000.000000,59571580000.000000,-534368527000.000000,-14392548000.000000,1250519493000.000000,-526488902000.000000,,,,5199639000.000000,-136539009000.000000,-25228372000.000000,,,,,,-9571160000.000000,,,,,,,,,140000000000.000000,,,-500350000000.000000,,,,,-526488902000.000000,-1000202530000.000000,-848039309000.000000,-2342538000.000000,,,,-3377951000.000000,,,,,,,,,,,,-146442732000.000000,,,-1000202530000.000000,-276171939000.000000,454731888000.000000,-219857000.000000,55176658000.000000,233516750000.000000
