Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,94864513358.000000,-61219673221.000000,33644840137.000000,-22012748600.000000,-13619105371.000000,-8393643229.000000,-22012748600.000000,11632091537.000000,-1916753866.000000,1388097.000000,-1421044049.000000,-273024554.000000,-224073360.000000,-1916753866.000000,9715337671.000000,-2472701498.000000,-2488691500.000000,15990002.000000,-2472701498.000000,7242636173.000000,,,,7242636173.000000,7242636173.000000,7242636173.000000,,7242636173.000000,7242636173.000000,7242636173.000000,,7242636173.000000
12M 2020,106884810517.000000,-71784672961.000000,35100137556.000000,-20129063247.000000,-11569689197.000000,-8559374050.000000,-20129063247.000000,14971074309.000000,-2463612356.000000,288230.000000,-1860585906.000000,-325655834.000000,-277658846.000000,-2463612356.000000,12507461953.000000,-2830328505.000000,-2832934500.000000,2605995.000000,-2830328505.000000,9677133448.000000,14647140.000000,,14647140.000000,9691780588.000000,9677133448.000000,9677133448.000000,,9677133448.000000,9691780588.000000,9691780588.000000,,9691780588.000000
12M 2021,111445887590.000000,-76290755138.000000,35155132452.000000,-18163899914.000000,-6831297008.000000,-11332602906.000000,-18163899914.000000,16991232538.000000,-2566355350.000000,381170.000000,-2248570669.000000,-10095524.000000,-308070327.000000,-2566355350.000000,14424877188.000000,-3615741085.000000,-3620427799.000000,4686714.000000,-3615741085.000000,10809136103.000000,675199.000000,,675199.000000,10809811302.000000,10809136103.000000,10809136103.000000,,10809136103.000000,10809811302.000000,10809811302.000000,,10809811302.000000
12M 2022,102309414904.000000,-61529079458.000000,40780335446.000000,-20208434206.000000,-2783368749.000000,-17425065457.000000,-20208434206.000000,20571901240.000000,-3344829816.000000,90498587.000000,-3147457590.000000,,-287870813.000000,-3344829816.000000,17227071424.000000,-3470551861.000000,-3478921820.000000,8369959.000000,-3470551861.000000,13756519563.000000,-87513606.000000,,-87513606.000000,13669005957.000000,13756519563.000000,13761316155.000000,-4796592.000000,13756519563.000000,13669005957.000000,13673802549.000000,-4796592.000000,13669005957.000000
12M 2023,148489514064.000000,-79737488576.000000,68752025488.000000,-27480636016.000000,-6707631057.000000,-20773004959.000000,-27480636016.000000,41271389472.000000,-2127327503.000000,24437951.000000,-1863483453.000000,,-288282001.000000,-2127327503.000000,39144061969.000000,-9263359339.000000,-9276711180.000000,13351841.000000,-9263359339.000000,29880702630.000000,41645068.000000,41645068.000000,41645068.000000,29922347698.000000,29880702630.000000,29884219551.000000,-3516921.000000,29880702630.000000,29922347698.000000,29925848207.000000,-3500509.000000,29922347698.000000
12M 2024,93531080067.000000,-53523504924.000000,40007575143.000000,-36447572084.000000,-10526995016.000000,-25920577068.000000,-36447572084.000000,3560003059.000000,-1330508843.000000,69909176.000000,-1362395563.000000,,-38022456.000000,-1330508843.000000,2229494216.000000,-1292278135.000000,-1302295720.000000,10017585.000000,-1292278135.000000,937216081.000000,76700370.000000,76700370.000000,76700370.000000,1013916451.000000,937216081.000000,939378060.000000,-2161979.000000,937216081.000000,1013916451.000000,1016077090.000000,-2160639.000000,1013916451.000000
