Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Operasional Lain,Pembayaran Kepada Karyawan Dan Beban Usaha,Pembayaran Pajak Penghasilan,Penerimaan Dari Pendapatan Bunga,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor,Penerimaan Dari Setoran Modal,Penerimaan Dari Pelaksanaan Waran,Penerimaan Modal Kepentingan Non-Pengendali,Pembayaran Biaya Emisi Saham,Penerimaan Dari Pinjaman Bank,Pembayaran Kepada Pinjaman Bank,Penerimaan Dari Pinjaman Pemegang Saham,Pembayaran Kepada Pinjaman Pemegang Saham,Penerimaan Dari Piutang Lain-Lain Pihak Berelasi,Pembayaran Kepada Piutang Lain-Lain Pihak Berelasi,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-752400429.000000,92187921580.000000,-83906883482.000000,-5042684503.000000,-2571098072.000000,1388097.000000,-1421044049.000000,-752400429.000000,-21970768545.000000,-225112188.000000,-21745656357.000000,,-21970768545.000000,23237325850.000000,,,,,,40907913468.000000,-32434826663.000000,24856609022.000000,-9532369977.000000,,-560000000.000000,,,,,,23237325850.000000,514156876.000000,830242868.000000,1344399744.000000
12M 2020,-1571129667.000000,95725285913.000000,-86505380431.000000,-5527158196.000000,-3403579277.000000,288230.000000,-1860585906.000000,-1571129667.000000,-14528748701.000000,-94390364.000000,-14430340155.000000,-4018182.000000,-14528748701.000000,14949666564.000000,,,,,,42354885416.000000,-37752724677.000000,9840805825.000000,-53300000.000000,560000000.000000,,,,,,,14949666564.000000,-1150211804.000000,1344399744.000000,194187940.000000
12M 2021,18763212253.000000,116152353483.000000,-84296557890.000000,-7929347803.000000,-2915046038.000000,381170.000000,-2248570669.000000,18763212253.000000,-10076642946.000000,-81798364.000000,-9994844582.000000,,-10076642946.000000,-6891882049.000000,,39000000000.000000,,,,36396123262.000000,-37965621956.000000,,-44322383355.000000,,,,,,,,-6891882049.000000,1794687258.000000,194187940.000000,1988875198.000000
12M 2022,3695591274.000000,111293748947.000000,-78567927059.000000,-20047775334.000000,-5925496277.000000,90498587.000000,-3147457590.000000,3695591274.000000,-52173095616.000000,-1289955165.000000,-50932690001.000000,49549550.000000,-52173095616.000000,49717010707.000000,25868383200.000000,20500000000.000000,,12000000.000000,,147858365078.000000,-160182833497.000000,,-4404005092.000000,,,,,22134409091.000000,-1789308073.000000,-280000000.000000,49717010707.000000,1239506365.000000,1988875198.000000,3228381563.000000
12M 2023,25473780331.000000,150515152456.000000,-92130865928.000000,-24487287024.000000,-6584173671.000000,24437951.000000,-1863483453.000000,25473780331.000000,-11601807740.000000,-7106807740.000000,-4495000000.000000,,-11601807740.000000,-14402137504.000000,6463350.000000,,718150.000000,,,25939862821.000000,-36650068679.000000,,,,,,,,-3439113146.000000,-260000000.000000,-14402137504.000000,-530164913.000000,3228381563.000000,2698216650.000000
12M 2024,6638590729.000000,99046804165.000000,-50133810846.000000,-35571602531.000000,-5410313672.000000,69909176.000000,-1362395563.000000,6638590729.000000,-7187380711.000000,-2196598366.000000,-4990782345.000000,,-7187380711.000000,430674205.000000,2680650.000000,,297850.000000,,,17920356312.000000,-15417311481.000000,,,,,,,,-1775349126.000000,-300000000.000000,430674205.000000,-118115777.000000,2698216650.000000,2580100873.000000
