Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,19862725545.000000,98822661331.000000,95604503360.000000,3218157971.000000,98822661331.000000,91609678.000000,91609678.000000,,91609678.000000,156757272489.000000,4829950192.000000,280364219235.000000,,3716462944.000000,20664609060.000000,,4000915635.000000,28381987639.000000,308746206874.000000,,,242356909607.000000,60042515693.000000,,39136572280.000000,111477642432.000000,150614214712.000000,,,11214595769.000000,11214595769.000000,7308999904.000000,898819055.000000,,404085600.000000,,404085600.000000,11873678874.000000,242356909607.000000,5612996600.000000,,607935600.000000,,607935600.000000,5005061000.000000,5612996600.000000,247969906207.000000,,28000000000.000000,928639810.000000,32566962607.000000,,,32566962607.000000,,-719301750.000000,60776300667.000000,308746206874.000000,28000000.000000
12M 2019,,,50429886614.000000,376478435928.000000,376147399570.000000,331036358.000000,376478435928.000000,48818565.000000,48818565.000000,,48818565.000000,452772217305.000000,22928973418.000000,902658331830.000000,,2891461439.000000,25742533664.000000,,3651400969.000000,32285396072.000000,934943727902.000000,,,763991909115.000000,541498054823.000000,,103557815933.000000,84600275888.000000,188158091821.000000,,,,,14564577591.000000,1866735209.000000,,404085600.000000,,404085600.000000,17500364071.000000,763991909115.000000,5411890774.000000,,294154774.000000,,294154774.000000,5117736000.000000,5411890774.000000,769403799889.000000,,75000000000.000000,50560997616.000000,41200093897.000000,,,41200093897.000000,,-1221163500.000000,165539928013.000000,934943727902.000000,1500000000.000000
12M 2020,,,63566000000.000000,219981000000.000000,218802000000.000000,1179000000.000000,219981000000.000000,81000000.000000,81000000.000000,,81000000.000000,151627000000.000000,2035000000.000000,437290000000.000000,,3461000000.000000,26669000000.000000,,3435000000.000000,33565000000.000000,470855000000.000000,,,264504000000.000000,182574000000.000000,,24040000000.000000,10097000000.000000,34137000000.000000,,,,,17900000000.000000,10239000000.000000,,179000000.000000,,179000000.000000,19475000000.000000,264504000000.000000,7501000000.000000,,302000000.000000,,302000000.000000,7199000000.000000,7501000000.000000,272005000000.000000,,75000000000.000000,50561000000.000000,71651000000.000000,,,71651000000.000000,,1638000000.000000,198850000000.000000,470855000000.000000,1500000000.000000
12M 2021,,,109814000000.000000,270523000000.000000,269454000000.000000,1069000000.000000,270523000000.000000,,,,,181713000000.000000,4783000000.000000,566833000000.000000,,4297000000.000000,46123000000.000000,,2134000000.000000,52554000000.000000,619387000000.000000,,,384203000000.000000,191012000000.000000,,144530000000.000000,8082000000.000000,152612000000.000000,,,,,19182000000.000000,2024000000.000000,,247000000.000000,,247000000.000000,19126000000.000000,384203000000.000000,5435000000.000000,,191000000.000000,,191000000.000000,5244000000.000000,5435000000.000000,389638000000.000000,,75000000000.000000,50561000000.000000,102345000000.000000,,,102345000000.000000,,1843000000.000000,229749000000.000000,619387000000.000000,1500000000.000000
12M 2022,,,120943000000.000000,326911000000.000000,324068000000.000000,2843000000.000000,326911000000.000000,,,,,369006000000.000000,17149000000.000000,834009000000.000000,,3283000000.000000,69620000000.000000,434000000.000000,12996000000.000000,86333000000.000000,920342000000.000000,,,544900000000.000000,349849000000.000000,,105866000000.000000,18880000000.000000,124746000000.000000,1000000000.000000,,,1000000000.000000,30866000000.000000,7171000000.000000,,553000000.000000,9352000000.000000,9905000000.000000,21363000000.000000,544900000000.000000,37347000000.000000,,683000000.000000,31563000000.000000,32246000000.000000,5101000000.000000,37347000000.000000,582247000000.000000,,75000000000.000000,50576000000.000000,169657000000.000000,15000000000.000000,154657000000.000000,169657000000.000000,41134000000.000000,1728000000.000000,338095000000.000000,920342000000.000000,1500000000.000000
12M 2023,,,106501000000.000000,301500000000.000000,299310000000.000000,2190000000.000000,301500000000.000000,,,,,431200000000.000000,5109000000.000000,844310000000.000000,,3067000000.000000,71539000000.000000,373000000.000000,12430000000.000000,87409000000.000000,931719000000.000000,,,511720000000.000000,356555000000.000000,,54810000000.000000,30498000000.000000,85308000000.000000,1000000000.000000,,,1000000000.000000,31316000000.000000,10748000000.000000,,1152000000.000000,9950000000.000000,11102000000.000000,15691000000.000000,511720000000.000000,27566000000.000000,,986000000.000000,24455000000.000000,25441000000.000000,2125000000.000000,27566000000.000000,539286000000.000000,,75000000000.000000,50576000000.000000,218798000000.000000,15000000000.000000,203798000000.000000,218798000000.000000,46329000000.000000,1730000000.000000,392433000000.000000,931719000000.000000,1500000000.000000
12M 2024,,,105176000000.000000,415834000000.000000,415081000000.000000,753000000.000000,415834000000.000000,,,,,491999000000.000000,26887000000.000000,1039896000000.000000,,2050000000.000000,66206000000.000000,312000000.000000,5120000000.000000,73688000000.000000,1113584000000.000000,,,646798000000.000000,428928000000.000000,,95788000000.000000,32180000000.000000,127968000000.000000,,,,,43114000000.000000,13083000000.000000,,1028000000.000000,9950000000.000000,10978000000.000000,22727000000.000000,646798000000.000000,15802000000.000000,,77000000.000000,14505000000.000000,14582000000.000000,1220000000.000000,15802000000.000000,662600000000.000000,,75000000000.000000,50576000000.000000,272507000000.000000,15000000000.000000,257507000000.000000,272507000000.000000,52022000000.000000,879000000.000000,450984000000.000000,1113584000000.000000,1500000000.000000
