Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2018,(55 B),(18 B),(73 B),-2596.12
12M 2019,"1,046 B",(1 B),"1,045 B",696.84
12M 2020,918 B,(11 B),908 B,605.22
12M 2021,995 B,(33 B),962 B,641.50
12M 2022,"1,330 B",(43 B),"1,287 B",857.99
12M 2023,"1,218 B",(29 B),"1,190 B",793.06
12M 2024,"1,155 B",(26 B),"1,129 B",752.93
