Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,400181684539.000000,-282317297913.000000,117864386626.000000,-105981420801.000000,-78171773885.000000,-31070742464.000000,3261095548.000000,-105981420801.000000,11882965825.000000,-1683772185.000000,155005100.000000,-1838777285.000000,-1683772185.000000,10199193640.000000,-3713134095.000000,6486059545.000000,683352000.000000,7169411545.000000,6486059545.000000,6486059545.000000,,6486059545.000000,7169411545.000000,7169411545.000000,,7169411545.000000
12M 2019,2156638628581.000000,-1941334173424.000000,215304455157.000000,-117007081662.000000,-98925009897.000000,-71639774237.000000,53557702472.000000,-117007081662.000000,98297373495.000000,-47974540200.000000,3968631139.000000,-51943171339.000000,-47974540200.000000,50322833295.000000,-12689702005.000000,37633131290.000000,-501861750.000000,37131269540.000000,37633131290.000000,37633131290.000000,,37633131290.000000,37131269540.000000,37131269540.000000,,37131269540.000000
12M 2020,1934973000000.000000,-1724610000000.000000,210363000000.000000,-127921000000.000000,-85508000000.000000,-67202000000.000000,24789000000.000000,-127921000000.000000,82442000000.000000,-42039000000.000000,1041000000.000000,-43080000000.000000,-42039000000.000000,40403000000.000000,-9952000000.000000,30451000000.000000,2859000000.000000,33310000000.000000,30451000000.000000,30451000000.000000,,30451000000.000000,33310000000.000000,33310000000.000000,,33310000000.000000
12M 2021,1749414000000.000000,-1554737000000.000000,194677000000.000000,-132814000000.000000,-92304000000.000000,-51934000000.000000,11424000000.000000,-132814000000.000000,61863000000.000000,-10444000000.000000,1314000000.000000,-11758000000.000000,-10444000000.000000,51419000000.000000,-11725000000.000000,39694000000.000000,205000000.000000,39899000000.000000,39694000000.000000,39694000000.000000,,39694000000.000000,39899000000.000000,39899000000.000000,,39899000000.000000
12M 2022,2326621000000.0,-2078646000000.0,247975000000.0,-104491000000.0,-105945000000.0,-53186000000.0,54640000000.0,-104491000000.0,143484000000.0,-26159000000.0,1333000000.0,-27492000000.0,-26159000000.0,117325000000.0,-26941000000.0,90384000000.0,-115000000.0,90269000000.0,90384000000.0,79312000000.0,11072000000.0,90384000000.0,90269000000.0,79197000000.0,11072000000.0,90269000000.0
12M 2023,2061598000000.0,-1785809000000.0,275789000000.0,-144833000000.0,-120744000000.0,-58876000000.0,34787000000.0,-144833000000.0,130956000000.0,-28798000000.0,1080000000.0,-29878000000.0,-28798000000.0,102158000000.0,-23822000000.0,78336000000.0,2000000.0,78338000000.0,78336000000.0,73141000000.0,5195000000.0,78336000000.0,78338000000.0,73143000000.0,5195000000.0,78338000000.0
12M 2024,2307262000000.0,-2013784000000.0,293478000000.0,-154962000000.0,-127420000000.0,-74321000000.0,46779000000.0,-154962000000.0,138516000000.0,-25708000000.0,1387000000.0,-27095000000.0,-25708000000.0,112808000000.0,-24606000000.0,88202000000.0,-851000000.0,87351000000.0,88202000000.0,76209000000.0,11993000000.0,88202000000.0,87351000000.0,75358000000.0,11993000000.0,87351000000.0
