Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Tetap,Tanah Untuk Dikembangkan,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Pihak Ketiga,Pihak Berelasi,Total Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Utang Cukai,Beban Akrual,Liabilitas Keuangan Lainnya,Utang Sewa Pembiayaan,Utang Obligasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Sewa Pembiayaan,Utang Obligasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,499362000000.000000,132938000000.000000,116591000000.000000,16347000000.000000,132938000000.000000,572424000000.000000,405328000000.000000,167096000000.000000,572424000000.000000,7657848000000.000000,2174715000000.000000,11037287000000.000000,,,,,,,4329506000000.000000,175689000000.000000,74435000000.000000,313014000000.000000,203888000000.000000,5096532000000.000000,16133819000000.000000,,,7642207000000.000000,,986773000000.000000,,986773000000.000000,,149366000000.000000,325294000000.000000,474660000000.000000,,171045000000.000000,99316000000.000000,270361000000.000000,954540000000.000000,,954540000000.000000,2501174000000.000000,906111000000.000000,,66833000000.000000,999625000000.000000,482130000000.000000,7642207000000.000000,441377000000.000000,27506000000.000000,112699000000.000000,,301172000000.000000,441377000000.000000,8083584000000.000000,,438300000000.000000,42077000000.000000,6939146000000.000000,90000000000.000000,6849146000000.000000,6939146000000.000000,2339000000.000000,628373000000.000000,8050235000000.000000,16133819000000.000000,4383000000.000000
12M 2009,,,527681000000.000000,496019000000.000000,447361000000.000000,48658000000.000000,496019000000.000000,224083000000.000000,25325000000.000000,198758000000.000000,224083000000.000000,9539067000000.000000,1901793000000.000000,12688643000000.000000,,,,,,,4310194000000.000000,175772000000.000000,63226000000.000000,275167000000.000000,203445000000.000000,5027804000000.000000,17716447000000.000000,,,6747030000000.000000,,653164000000.000000,94002000000.000000,747166000000.000000,,220388000000.000000,267752000000.000000,488140000000.000000,,76890000000.000000,187755000000.000000,264645000000.000000,864402000000.000000,,864402000000.000000,2827137000000.000000,839252000000.000000,,58838000000.000000,,657450000000.000000,6747030000000.000000,503492000000.000000,19161000000.000000,76340000000.000000,,407991000000.000000,503492000000.000000,7250522000000.000000,,438300000000.000000,42077000000.000000,9396685000000.000000,90000000000.000000,9306685000000.000000,9396685000000.000000,4309000000.000000,584554000000.000000,10465925000000.000000,17716447000000.000000,4383000000.000000
12M 2010,,,3209559000000.000000,856450000000.000000,821727000000.000000,34723000000.000000,856450000000.000000,143832000000.000000,29243000000.000000,114589000000.000000,143832000000.000000,9802455000000.000000,1756262000000.000000,15768558000000.000000,,,,,12161000000.000000,,4087338000000.000000,175265000000.000000,42537000000.000000,237320000000.000000,201944000000.000000,4756565000000.000000,20525123000000.000000,,,9778942000000.000000,,,,,,583686000000.000000,490831000000.000000,1074517000000.000000,,,,,1073346000000.000000,,1073346000000.000000,3126171000000.000000,474144000000.000000,,42234000000.000000,,3988530000000.000000,9778942000000.000000,530729000000.000000,11352000000.000000,44928000000.000000,,474449000000.000000,530729000000.000000,10309671000000.000000,,438300000000.000000,42077000000.000000,9134039000000.000000,90000000000.000000,9044039000000.000000,9134039000000.000000,988000000.000000,600048000000.000000,10215452000000.000000,20525123000000.000000,4383000000.000000
12M 2011,,,2070123000000.000000,891413000000.000000,823248000000.000000,68165000000.000000,891413000000.000000,201493000000.000000,50158000000.000000,151335000000.000000,201493000000.000000,8913348000000.000000,2775083000000.000000,14851460000000.000000,,,,,22177000000.000000,,3850665000000.000000,173519000000.000000,94237000000.000000,60423000000.000000,323862000000.000000,4524883000000.000000,19376343000000.000000,,,8489897000000.000000,,,,,,1273856000000.000000,664249000000.000000,1938105000000.000000,,,,,1471749000000.000000,,1471749000000.000000,4464140000000.000000,585742000000.000000,,30161000000.000000,,,8489897000000.000000,684657000000.000000,5549000000.000000,50043000000.000000,,629065000000.000000,684657000000.000000,9174554000000.000000,,438300000000.000000,42077000000.000000,9134733000000.000000,90000000000.000000,9044733000000.000000,9134733000000.000000,,586679000000.000000,10201789000000.000000,19376343000000.000000,4383000000.000000
12M 2012,,,783505000000.000000,1076545000000.000000,983865000000.000000,92680000000.000000,1076545000000.000000,296209000000.000000,26262000000.000000,269947000000.000000,296209000000.000000,15669906000000.000000,3302148000000.000000,21128313000000.000000,,,,,24783000000.000000,141005000000.000000,4115078000000.000000,144139000000.000000,164862000000.000000,60423000000.000000,468924000000.000000,5119214000000.000000,26247527000000.000000,,,11897977000000.000000,,493319000000.000000,1812884000000.000000,2306203000000.000000,,1374131000000.000000,1053980000000.000000,2428111000000.000000,,,,,,1368296000000.000000,1368296000000.000000,5295906000000.000000,443485000000.000000,,25588000000.000000,,30388000000.000000,11897977000000.000000,1041130000000.000000,5091000000.000000,56037000000.000000,,980002000000.000000,1041130000000.000000,12939107000000.000000,,438300000000.000000,136937000000.000000,12115587000000.000000,90000000000.000000,12025587000000.000000,12115587000000.000000,,617596000000.000000,13308420000000.000000,26247527000000.000000,4383000000.000000
12M 2013,,,657276000000.000000,1393160000000.000000,1179411000000.000000,213749000000.000000,1393160000000.000000,56267000000.000000,42192000000.000000,14075000000.000000,56267000000.000000,17332558000000.000000,1808569000000.000000,21247830000000.000000,,150000000000.000000,150000000000.000000,150000000000.000000,34232000000.000000,363614000000.000000,4708669000000.000000,115831000000.000000,149792000000.000000,60423000000.000000,574203000000.000000,6156764000000.000000,27404594000000.000000,,,12123790000000.000000,,,2442000000000.000000,2442000000000.000000,,1420955000000.000000,772748000000.000000,2193703000000.000000,,,,,,1409876000000.000000,1409876000000.000000,5474067000000.000000,77249000000.000000,43681000000.000000,19862000000.000000,,463352000000.000000,12123790000000.000000,1125769000000.000000,636000000.000000,34213000000.000000,,1090920000000.000000,1125769000000.000000,13249559000000.000000,,438300000000.000000,120622000000.000000,12979625000000.000000,90000000000.000000,12889625000000.000000,12979625000000.000000,,616488000000.000000,14155035000000.000000,27404594000000.000000,4383000000.000000
12M 2014,,,65086000000.000000,1009645000000.000000,855768000000.000000,153877000000.000000,1009645000000.000000,88292000000.000000,80286000000.000000,8006000000.000000,88292000000.000000,17431586000000.000000,2182905000000.000000,20777514000000.000000,,,,,48347000000.000000,435991000000.000000,5919600000000.000000,114900000000.000000,219407000000.000000,60423000000.000000,804448000000.000000,7603116000000.000000,28380630000000.000000,,,13600230000000.000000,,90658000000.000000,2744820000000.000000,2835478000000.000000,,1819182000000.000000,942290000000.000000,2761472000000.000000,,,,,,1106481000000.000000,1106481000000.000000,6164841000000.000000,120209000000.000000,5329000000.000000,19630000000.000000,,586790000000.000000,13600230000000.000000,1282286000000.000000,730000000.000000,33455000000.000000,,1248101000000.000000,1282286000000.000000,14882516000000.000000,,438300000000.000000,99396000000.000000,12343869000000.000000,90000000000.000000,12253869000000.000000,12343869000000.000000,,616549000000.000000,13498114000000.000000,28380630000000.000000,4383000000.000000
12M 2015,,,1718738000000.000000,2458742000000.000000,2288676000000.000000,170066000000.000000,2458742000000.000000,2268085000000.000000,124063000000.000000,2144022000000.000000,2268085000000.000000,19071523000000.000000,4290242000000.000000,29807330000000.000000,,,,,61789000000.000000,605616000000.000000,6281176000000.000000,113729000000.000000,235765000000.000000,60423000000.000000,844896000000.000000,8203394000000.000000,38010724000000.000000,,,4538674000000.000000,,,,,,2313370000000.000000,877743000000.000000,3191113000000.000000,,,,,,413723000000.000000,413723000000.000000,,238337000000.000000,,20248000000.000000,,675253000000.000000,4538674000000.000000,1455990000000.000000,,40878000000.000000,,1415112000000.000000,1455990000000.000000,5994664000000.000000,,465272000000.000000,20485848000000.000000,10448143000000.000000,90000000000.000000,10358143000000.000000,10448143000000.000000,,616797000000.000000,32016060000000.000000,38010724000000.000000,4652723076.000000
12M 2016,,,5056183000000.000000,3322526000000.000000,3124358000000.000000,198168000000.000000,3322526000000.000000,1673894000000.000000,190079000000.000000,1483815000000.000000,1673894000000.000000,19442023000000.000000,4152870000000.000000,33647496000000.000000,,,,,62174000000.000000,585098000000.000000,6895483000000.000000,114888000000.000000,272268000000.000000,60423000000.000000,870447000000.000000,8860781000000.000000,42508277000000.000000,,,6428478000000.000000,,,,,,2567887000000.000000,1302730000000.000000,3870617000000.000000,,,,,,1633782000000.000000,1633782000000.000000,,176838000000.000000,,20768000000.000000,,726473000000.000000,6428478000000.000000,1904785000000.000000,,65744000000.000000,,1839041000000.000000,1904785000000.000000,8333263000000.000000,,465272000000.000000,20466910000000.000000,12625625000000.000000,95000000000.000000,12530625000000.000000,12625625000000.000000,,617207000000.000000,34175014000000.000000,42508277000000.000000,116318076900.000000
12M 2017,,,7501737000000.000000,3597922000000.000000,3375798000000.000000,222124000000.000000,3597922000000.000000,183068000000.000000,180752000000.000000,2316000000.000000,183068000000.000000,18023238000000.000000,4874388000000.000000,34180353000000.000000,,,,,63382000000.000000,481322000000.000000,6890750000000.000000,113954000000.000000,333346000000.000000,60423000000.000000,1017533000000.000000,8960710000000.000000,43141063000000.000000,,,6482969000000.000000,,,,,,2599318000000.000000,1067123000000.000000,3666441000000.000000,,,,,,1867949000000.000000,1867949000000.000000,,226449000000.000000,,28937000000.000000,,693193000000.000000,6482969000000.000000,2545109000000.000000,,80530000000.000000,,2464579000000.000000,2545109000000.000000,9028078000000.000000,,465272000000.000000,20449204000000.000000,12581976000000.000000,95000000000.000000,12486976000000.000000,12581976000000.000000,,616533000000.000000,34112985000000.000000,43141063000000.000000,116318076900.000000
