Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,34680445000000.000000,-24695196000000.000000,9985249000000.000000,-3760016000000.000000,-2955457000000.000000,-804559000000.000000,-3760016000000.000000,6225233000000.000000,-427944000000.000000,37423000000.000000,-166846000000.000000,18844000000.000000,-191000000.000000,-317174000000.000000,-427944000000.000000,5797289000000.000000,-1900169000000.000000,-1925005000000.000000,24836000000.000000,-1900169000000.000000,3897120000000.000000,-1840000000.000000,3895280000000.000000,,,,,3895280000000.000000,3897120000000.000000,-1840000000.000000,3895280000000.000000,,,,
12M 2009,38972186000000.000000,-27737465000000.000000,11234721000000.000000,-3936954000000.000000,-3148441000000.000000,-788513000000.000000,-3936954000000.000000,7297767000000.000000,-84301000000.000000,50327000000.000000,-166606000000.000000,54731000000.000000,246000000.000000,-22999000000.000000,-84301000000.000000,7213466000000.000000,-2124156000000.000000,-2121292000000.000000,-2864000000.000000,-2124156000000.000000,5089310000000.000000,-1971000000.000000,5087339000000.000000,,,,,5087339000000.000000,5089310000000.000000,-1971000000.000000,5087339000000.000000,,,,
12M 2010,43381658000000.000000,-30725665000000.000000,12655993000000.000000,-3944859000000.000000,-3145057000000.000000,-799802000000.000000,-3944859000000.000000,8711134000000.000000,37095000000.000000,79368000000.000000,-36762000000.000000,17419000000.000000,1921000000.000000,-24851000000.000000,37095000000.000000,8748229000000.000000,-2325481000000.000000,-2312601000000.000000,-12880000000.000000,-2325481000000.000000,6422748000000.000000,-1319000000.000000,6421429000000.000000,,,,,6421429000000.000000,6422748000000.000000,-1319000000.000000,6421429000000.000000,,,,
12M 2011,52856708000000.000000,-37661205000000.000000,15195503000000.000000,-4578116000000.000000,-3562619000000.000000,-1015497000000.000000,-4578116000000.000000,10617387000000.000000,293695000000.000000,123794000000.000000,-21673000000.000000,,10017000000.000000,181557000000.000000,293695000000.000000,10911082000000.000000,-2846656000000.000000,-2904159000000.000000,57503000000.000000,-2846656000000.000000,8064426000000.000000,,8064426000000.000000,-13369000000.000000,-13369000000.000000,-13369000000.000000,8051057000000.000000,8064426000000.000000,8065414000000.000000,-988000000.000000,8064426000000.000000,8051057000000.000000,8052045000000.000000,-988000000.000000,8051057000000.000000
12M 2012,66626123000000.000000,-48118835000000.000000,18507288000000.000000,-5156838000000.000000,-4183635000000.000000,-973203000000.000000,-5156838000000.000000,13350450000000.000000,32807000000.000000,120025000000.000000,-34684000000.000000,,2606000000.000000,-55140000000.000000,32807000000.000000,13383257000000.000000,-3437961000000.000000,,,-3437961000000.000000,9945296000000.000000,,9945296000000.000000,-196796000000.000000,-196796000000.000000,-196796000000.000000,9805421000000.000000,9945296000000.000000,9945296000000.000000,,9945296000000.000000,9805421000000.000000,9805421000000.000000,,9805421000000.000000
12M 2013,75025207000000.000000,-54953870000000.000000,20071337000000.000000,-5471081000000.000000,-4431470000000.000000,-1039611000000.000000,-5471081000000.000000,14600256000000.000000,-90546000000.000000,48866000000.000000,-69075000000.000000,,9449000000.000000,-79786000000.000000,-90546000000.000000,14509710000000.000000,-3691224000000.000000,,,-3691224000000.000000,10818486000000.000000,,10818486000000.000000,-13598000000.000000,-13598000000.000000,-13598000000.000000,10807957000000.000000,10818486000000.000000,10818486000000.000000,,10818486000000.000000,10807957000000.000000,10807957000000.000000,,10807957000000.000000
12M 2014,80690139000000.000000,-60190077000000.000000,20500062000000.000000,-6694643000000.000000,-5295372000000.000000,-1399271000000.000000,-6694643000000.000000,13805419000000.000000,-87120000000.000000,57465000000.000000,-47416000000.000000,,14115000000.000000,-111284000000.000000,-87120000000.000000,13718299000000.000000,-3537216000000.000000,,,-3537216000000.000000,10181083000000.000000,,10181083000000.000000,-221309000000.000000,-221309000000.000000,-221309000000.000000,10014995000000.000000,10181083000000.000000,10181083000000.000000,,10181083000000.000000,10014995000000.000000,10014995000000.000000,,10014995000000.000000
12M 2015,89069306000000.000000,-67304917000000.000000,21764389000000.000000,-7716318000000.000000,-5974163000000.000000,-1742155000000.000000,-7716318000000.000000,14048071000000.000000,-115427000000.000000,68963000000.000000,-138425000000.000000,,15844000000.000000,-61809000000.000000,-115427000000.000000,13932644000000.000000,-3569336000000.000000,,,-3569336000000.000000,10363308000000.000000,,10363308000000.000000,-11184000000.000000,-11184000000.000000,-11184000000.000000,10355007000000.000000,10363308000000.000000,10363308000000.000000,,10363308000000.000000,10355007000000.000000,10355007000000.000000,,10355007000000.000000
12M 2016,95466657000000.000000,-71611981000000.000000,23854676000000.000000,-7834324000000.000000,-6097049000000.000000,-1737275000000.000000,-7834324000000.000000,16020352000000.000000,991095000000.000000,854068000000.000000,-22324000000.000000,,385000000.000000,158966000000.000000,991095000000.000000,17011447000000.000000,-4249218000000.000000,,,-4249218000000.000000,12762229000000.000000,,12762229000000.000000,-309457000000.000000,-309457000000.000000,-309457000000.000000,12530201000000.000000,12762229000000.000000,12762229000000.000000,,12762229000000.000000,12530201000000.000000,12530201000000.000000,,12530201000000.000000
12M 2017,99091484000000.000000,-74875642000000.000000,24215842000000.000000,-8104497000000.000000,-6258145000000.000000,-1846352000000.000000,-8104497000000.000000,16111345000000.000000,783461000000.000000,816778000000.000000,-25533000000.000000,,6461000000.000000,-14245000000.000000,783461000000.000000,16894806000000.000000,-4224272000000.000000,,,-4224272000000.000000,12670534000000.000000,,12670534000000.000000,-249543000000.000000,-249543000000.000000,-249543000000.000000,12483134000000.000000,12670534000000.000000,12670534000000.000000,,12670534000000.000000,12483134000000.000000,12483134000000.000000,,12483134000000.000000
