Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,4.38,1836.16,4.56,1764.75,"2,053 B",113 B,"2,166 B","1,667 B","3,395 B"
12M 2009,4.33,2386.86,4.44,2324.08,806 B,76 B,882 B,355 B,"5,942 B"
12M 2010,11.99,2330.47,12.28,2276.33,42 B,45 B,87 B,"(3,122 B)","5,990 B"
12M 2011,16.64,2327.58,16.74,2313.80,30 B,50 B,80 B,"(1,990 B)","6,362 B"
12M 2012,19.59,3036.37,19.68,3022.59,"2,332 B",56 B,"2,388 B","1,604 B","9,230 B"
12M 2013,19.18,3229.53,19.26,3215.75,"2,506 B",34 B,"2,540 B","1,882 B","9,124 B"
12M 2014,22.13,3079.65,22.23,3065.87,"2,860 B",33 B,"2,894 B","2,829 B","7,177 B"
12M 2015,13.66,6881.14,13.69,6868.16,20 B,41 B,61 B,"(1,658 B)","25,269 B"
12M 2016,13.04,293.81,13.06,293.29,21 B,66 B,87 B,"(4,970 B)","27,219 B"
12M 2017,16.13,293.27,16.16,292.75,29 B,81 B,109 B,"(7,392 B)","27,697 B"
12M 2018,12.20,303.98,12.23,303.46,34 B,81 B,115 B,"(15,401 B)","29,037 B"
12M 2019,6.85,306.74,6.86,306.22,168 B,257 B,424 B,"(18,396 B)","28,969 B"
12M 2020,5.79,259.99,5.80,259.47,117 B,194 B,311 B,"(15,493 B)","24,348 B"
12M 2021,3.85,250.96,3.85,250.44,238 B,188 B,426 B,"(17,418 B)","19,359 B"
12M 2022,3.47,242.18,3.48,241.66,194 B,337 B,531 B,"(2,752 B)","16,817 B"
12M 2023,3.49,256.79,3.49,256.28,233 B,290 B,522 B,"(2,173 B)","16,763 B"
12M 2024,2.60,243.78,2.61,243.26,242 B,232 B,473 B,"(1,896 B)","14,848 B"
