Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada :,Pemasok,Karyawan,Total Pembayaran Kas Kepada :,Pembayaran Pajak Penghasilan Badan,Penerimaan Dari Tagihan Pajak Penghasilan,Pembayaran Cukai,Biaya Keuangan,Beban Pembiayaan,Penghasilan Keuangan / Bunga,Kegiatan Usaha Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Piutang Dari Pihak Berelasi - Bersih,Pemberian Piutang Lainnya Kepada Pihak Berelasi,(Penambahan)/Penurunan Aset Keuangan Jangka Pendek Lainnya,Penerimaan Dividen Dari Entitas Asosiasi,Penerimaan Dari Pengalihan Pengalihan Bisnis,Penerimaan Dari Penjualan :,Merek Dagang,Penerimaan Penjualan Aset Tetap,Entitas Anak,Penyertaan Saham Pada Entitas Asosiasi,Penerimaan Dari Pelepasan Entitas Anak,Penerimaan Pinjaman Dari Pihak Berelasi,Total Penerimaan Dari Penjualan :,Perolehan Aset Tetap,Perolehan Aset Tetap.,Pembayaran Uang Muka Untuk Akuisisi Aset Tetap,Total Perolehan Aset Tetap,Penambahan Properti Investasi,Pemberian Pinjaman Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank Jangka Pendek,Pembayaran Pinjaman Kepada Pihak Berelasi,Penerimaan Dari Utang Bank Jangka Pendek,Penerimaan Dari Liabilitas Keuangan Jangka Pendek Lainnya,Penerimaan Pinjaman Dari Pihak Berelasi,Penambahan Aset Keuangan Jangka Pendek Lainnya,Pembayaran Liabilitas Keuangan Jangka Pendek Lainnya,Pembayaran Kembali Sewa Pembiayaan,Pembayaran Sewa,Dividen Yang Dibayarkan Kepada Pemegang Saham,Pemberian Pinjaman Kepada Pihak Berelasi,Pembayaran Untuk Penyertaan Saham Entitas Anak,Pembayaran Utang Obligasi,Penerimaan Dari Penawaran Umum Terbatas,Pembayaran Biaya Penerbitan Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,4745113000000.000000,38529830000000.000000,,-12648231000000.000000,-2008759000000.000000,-14656990000000.000000,-18940392000000.000000,,,,-211670000000.000000,37422000000.000000,-13087000000.000000,,4745113000000.000000,-991683000000.000000,,,,,,,,47934000000.000000,,155337000000.000000,,,203271000000.000000,,-1194954000000.000000,,-1194954000000.000000,,,-991683000000.000000,-4642101000000.000000,-8521274000000.000000,,,7557385000000.000000,,,,-60711000000.000000,,-3462570000000.000000,-154931000000.000000,,,,,-4642101000000.000000,-888671000000.000000,401260000000.000000,-487411000000.000000
12M 2009,4305596000000.000000,42175778000000.000000,,-15441090000000.000000,-2093805000000.000000,-17534895000000.000000,-20245308000000.000000,,,,-166926000000.000000,50327000000.000000,26620000000.000000,,4305596000000.000000,-493671000000.000000,,,,,,,,81512000000.000000,,,,,81512000000.000000,,-575183000000.000000,,-575183000000.000000,,,-493671000000.000000,-3449997000000.000000,-9668593000000.000000,,,9762595000000.000000,281699000000.000000,,,-69282000000.000000,,-2454480000000.000000,-301936000000.000000,,-1000000000000.000000,,,-3449997000000.000000,361928000000.000000,-487411000000.000000,-125483000000.000000
12M 2010,7059975000000.000000,46634594000000.000000,-17683260000000.000000,,,-17683260000000.000000,-21939325000000.000000,,,,-32587000000.000000,79368000000.000000,1185000000.000000,,7059975000000.000000,-291072000000.000000,,,,,,,,30642000000.000000,58228000000.000000,17344000000.000000,,,106214000000.000000,,-397286000000.000000,,-397286000000.000000,,,-291072000000.000000,-3433861000000.000000,-3507134000000.000000,,,3413132000000.000000,104690000000.000000,,,-61614000000.000000,,-3352995000000.000000,-29940000000.000000,,,,,-3433861000000.000000,3335042000000.000000,-125483000000.000000,3209559000000.000000
12M 2011,11088270000000.000000,57367765000000.000000,-19123119000000.000000,,,-19123119000000.000000,-27262394000000.000000,,,-21247000000.000000,,123794000000.000000,3471000000.000000,,11088270000000.000000,-96576000000.000000,,,,,,,297234000000.000000,50136000000.000000,,,,,347370000000.000000,,-443946000000.000000,,-443946000000.000000,,,-96576000000.000000,-12131130000000.000000,,,,,23363000000.000000,,,-38734000000.000000,,-12053250000000.000000,-60109000000.000000,-2400000000.000000,,,,-12131130000000.000000,-1139436000000.000000,3209559000000.000000,2070123000000.000000
12M 2012,4087495000000.000000,72057034000000.000000,-31126541000000.000000,,,-31126541000000.000000,-3473951000000.000000,,-33421551000000.000000,-34684000000.000000,,120025000000.000000,-32837000000.000000,,4087495000000.000000,-860144000000.000000,,,,,,,,59204000000.000000,,,,32078000000.000000,91282000000.000000,,-687128000000.000000,,-687128000000.000000,-113609000000.000000,-150689000000.000000,-860144000000.000000,-4892288000000.000000,,,,115000000000.000000,1812884000000.000000,,,-26522000000.000000,,-6793650000000.000000,,,,,,-4892288000000.000000,-1664937000000.000000,2070123000000.000000,405186000000.000000
12M 2013,10802179000000.000000,80737051000000.000000,-29406818000000.000000,,,-29406818000000.000000,-3652947000000.000000,,-36737663000000.000000,-69075000000.000000,,48866000000.000000,-117235000000.000000,,10802179000000.000000,-1143284000000.000000,,,,,,,,234457000000.000000,,,,255872000000.000000,490329000000.000000,,-1268930000000.000000,,-1268930000000.000000,-214683000000.000000,-150000000000.000000,-1143284000000.000000,-9406805000000.000000,-115000000000.000000,,,43681000000.000000,634206000000.000000,,,-24665000000.000000,,-9945027000000.000000,,,,,,-9406805000000.000000,252090000000.000000,405186000000.000000,657276000000.000000
12M 2014,11103195000000.000000,87346242000000.000000,-32063951000000.000000,,,-32063951000000.000000,-4002835000000.000000,,-40172789000000.000000,-47416000000.000000,,57465000000.000000,-13521000000.000000,,11103195000000.000000,-1385548000000.000000,156069000000.000000,,,,,,,35325000000.000000,,,,,35325000000.000000,,-1493001000000.000000,,-1493001000000.000000,-83941000000.000000,,-1385548000000.000000,-10400495000000.000000,,,,-38352000000.000000,308913000000.000000,,,-20366000000.000000,,-10650690000000.000000,,,,,,-10400495000000.000000,-682848000000.000000,657276000000.000000,-25572000000.000000
12M 2015,811163000000.000000,94652091000000.000000,,-31740825000000.000000,-4018073000000.000000,-35758898000000.000000,-3824285000000.000000,,-54237237000000.000000,-138425000000.000000,,68963000000.000000,48954000000.000000,,811163000000.000000,-4534423000000.000000,,,-1349701000000.000000,2402000000.000000,,,,108096000000.000000,,,,,108096000000.000000,,-832984000000.000000,,-832984000000.000000,-190484000000.000000,-2271752000000.000000,-4534423000000.000000,5467570000000.000000,,,,-5329000000.000000,-2699995000000.000000,,,-20546000000.000000,,-12250485000000.000000,,,,20768676000000.000000,-324751000000.000000,5467570000000.000000,1744310000000.000000,-25572000000.000000,1718738000000.000000
12M 2016,14076579000000.000000,102589715000000.000000,,-31009499000000.000000,-4243269000000.000000,-35252768000000.000000,-3826053000000.000000,,-50028125000000.000000,-22324000000.000000,,775881000000.000000,-159747000000.000000,,14076579000000.000000,-362419000000.000000,693106000000.000000,,-284631000000.000000,,,,,90806000000.000000,,,188779000000.000000,,279585000000.000000,,-1050240000000.000000,,-1050240000000.000000,-239000000.000000,,-362419000000.000000,-10376715000000.000000,,,,,,,,-24406000000.000000,,-10352309000000.000000,,,,,,-10376715000000.000000,3337445000000.000000,1718738000000.000000,5056183000000.000000
12M 2017,15376315000000.000000,108033945000000.000000,,-27049879000000.000000,-4690431000000.000000,-31740310000000.000000,-4337944000000.000000,,-57699942000000.000000,-25533000000.000000,,864745000000.000000,281354000000.000000,,15376315000000.000000,-381049000000.000000,1481410000000.000000,,-739914000000.000000,5253000000.000000,,,,23915000000.000000,,,,,23915000000.000000,,-1141933000000.000000,,-1141933000000.000000,-9780000000.000000,,-381049000000.000000,-12549712000000.000000,,,,,,,,-22255000000.000000,,-12527457000000.000000,,,,,,-12549712000000.000000,2445554000000.000000,5056183000000.000000,7501737000000.000000
12M 2018,20193483000000.000000,116739187000000.000000,,-29605986000000.000000,-4814044000000.000000,-34420030000000.000000,-4412498000000.000000,376689000000.000000,-59128307000000.000000,-30495000000.000000,,1001440000000.000000,67497000000.000000,,20193483000000.000000,333591000000.000000,,-5443000000.000000,1100408000000.000000,,89939000000.000000,,,137904000000.000000,,,,,137904000000.000000,,-984541000000.000000,,-984541000000.000000,-4676000000.000000,,333591000000.000000,-12512372000000.000000,,,,,,,,-31442000000.000000,,-12480930000000.000000,,,,,,-12512372000000.000000,8014702000000.000000,7501737000000.000000,15516439000000.000000
12M 2019,17145967000000.000000,116293601000000.000000,,-29410669000000.000000,-4609160000000.000000,-34019829000000.000000,-4630741000000.000000,,-61538037000000.000000,-53454000000.000000,,1112910000000.000000,-18483000000.000000,,17145967000000.000000,-56710000000.000000,,,872683000000.000000,420000000.000000,,,,29724000000.000000,,,,,29724000000.000000,,-959537000000.000000,,-959537000000.000000,,,-56710000000.000000,-13785001000000.000000,,,,7265000000.000000,,,,,-159788000000.000000,-13632478000000.000000,,,,,,-13785001000000.000000,3304256000000.000000,15516439000000.000000,18820695000000.000000
12M 2020,11953039000000.000000,102261954000000.000000,,-25176350000000.000000,-4652805000000.000000,-29829155000000.000000,-2948120000000.000000,70268000000.000000,-58236919000000.000000,-49983000000.000000,,812774000000.000000,-127780000000.000000,,11953039000000.000000,-863728000000.000000,1391000000.000000,,-308380000000.000000,4834000000.000000,,,,5255000000.000000,,,,,5255000000.000000,,-566828000000.000000,,-566828000000.000000,,,-863728000000.000000,-14105697000000.000000,,,,-7265000000.000000,,,,,-163526000000.000000,-13934906000000.000000,,,,,,-14105697000000.000000,-3016386000000.000000,18820695000000.000000,15804309000000.000000
