Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,168151174183.000000,-86802635134.000000,81348539049.000000,-10757700012.000000,-10757700012.000000,-10757700012.000000,70590839037.000000,-30677630703.000000,-31825616067.000000,1147985364.000000,-30677630703.000000,39913208334.000000,-12995022255.000000,-12995022255.000000,-12995022255.000000,26918186079.000000,57040741095.000000,83958927174.000000,26918186079.000000,26918186079.000000,,26918186079.000000,83958927174.000000,83958927174.000000,,83958927174.000000
12M 2019,176806012680.000000,-111806040004.000000,64999972676.000000,-11771616363.000000,-11771616363.000000,-11771616363.000000,53228356313.000000,-29287817487.000000,-23916989517.000000,-5370827970.000000,-29287817487.000000,23940538826.000000,-6883673633.000000,-6883673633.000000,-6883673633.000000,17056865193.000000,-148170794.000000,16908694399.000000,17056865193.000000,17056865193.000000,,17056865193.000000,16908694399.000000,16908694399.000000,,16908694399.000000
12M 2020,112449256639.000000,-86895312850.000000,25553943789.000000,-11971065553.000000,-11971065553.000000,-11971065553.000000,13582878236.000000,-11128225872.000000,-15536534078.000000,4408308206.000000,-11128225872.000000,2454652364.000000,-1021836258.000000,-1021836258.000000,-1021836258.000000,1432816106.000000,-155518645.000000,1277297461.000000,1432816106.000000,1432816106.000000,,1432816106.000000,1277297461.000000,1277297461.000000,,1277297461.000000
12M 2021,95542840629.000000,-95098101698.000000,444738931.000000,-19348350693.000000,-19348350693.000000,-19348350693.000000,-18903611762.000000,-15086077291.000000,-10104725179.000000,-4981352112.000000,-15086077291.000000,-33989689053.000000,134109768.000000,134109768.000000,134109768.000000,-33855579285.000000,279408606.000000,-33576170679.000000,-33855579285.000000,-33855579285.000000,,-33855579285.000000,-33576170679.000000,-33576170679.000000,,-33576170679.000000
12M 2022,98694773171.000000,-97005272500.000000,1689500671.000000,-16608701824.000000,-16608701824.000000,-16608701824.000000,-14919201153.000000,-13007883151.000000,-10138906463.000000,-2868976688.000000,-13007883151.000000,-27927084304.000000,265293553.000000,265293553.000000,265293553.000000,-27661790751.000000,106557393.000000,-27555233358.000000,-27661790751.000000,-27661790751.000000,,-27661790751.000000,-27555233358.000000,-27555233358.000000,,-27555233358.000000
12M 2023,122458371892.000000,-105718414757.000000,16739957135.000000,-20336934868.000000,-20336934868.000000,-20336934868.000000,-3596977733.000000,-6724807874.000000,-9848874900.000000,3124067026.000000,-6724807874.000000,-10321785607.000000,362399354.000000,362399354.000000,362399354.000000,-9959386253.000000,85019527.000000,-9874366726.000000,-9959386253.000000,-9959386253.000000,,-9959386253.000000,-9874366726.000000,-9874366726.000000,,-9874366726.000000
12M 2024,181662079147.000000,-137916317900.000000,43745761247.000000,-32056187198.000000,-32056187198.000000,-32056187198.000000,11689574049.000000,-11459447614.000000,-8669761043.000000,-2789686571.000000,-11459447614.000000,230126435.000000,260117708.000000,260117708.000000,260117708.000000,490244143.000000,-107516482.000000,382727661.000000,490244143.000000,490244143.000000,,490244143.000000,382727662.000000,382727662.000000,,382727662.000000
