Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Utang Pihak Berelasi,Utang Obligasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Surat Berharga Jangka Menengah,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Surat Berharga Jangka Menengah,Utang Sewa Pembiayaan,Utang Obligasi,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,3528067.000000,,3714251.000000,3714251.000000,,3714251.000000,31893.000000,31893.000000,,31893.000000,929168.000000,2528515.000000,10731894.000000,,220512860.000000,,496045.000000,,3585395.000000,224594300.000000,235326194.000000,,,75706374.000000,,2866642.000000,367589.000000,3234231.000000,1912363.000000,,,1912363.000000,2167714.000000,3338706.000000,5251360.000000,35701950.000000,,,23873598.000000,,154014.000000,72438.000000,,24100050.000000,,75706374.000000,93638279.000000,,93014860.000000,,255607.000000,,67566.000000,,93338033.000000,,300246.000000,93638279.000000,169344653.000000,,5567297.000000,,3450487.000000,,3450487.000000,3450487.000000,12251120.000000,44712637.000000,65981541.000000,235326194.000000,50050.000000
12M 2012,,,3957591.000000,,4499307.000000,4305707.000000,193600.000000,4499307.000000,1195623.000000,970964.000000,224659.000000,1195623.000000,1835656.000000,6967301.000000,18455478.000000,,268599501.000000,39963.000000,552797.000000,,7384166.000000,276576427.000000,295031905.000000,,,89865776.000000,,5191307.000000,390849.000000,5582156.000000,3896532.000000,,,3896532.000000,326410.000000,3470317.000000,14037368.000000,34701884.000000,,,27421524.000000,,278017.000000,151568.000000,,27851109.000000,,89865776.000000,122240432.000000,,121200034.000000,,306084.000000,,167601.000000,,121673719.000000,,566713.000000,122240432.000000,212106208.000000,,11494716.000000,,6202071.000000,,6202071.000000,6202071.000000,118700.000000,65110210.000000,82925697.000000,295031905.000000,1072081001.000000
12M 2013,,,2972951.000000,,17340055.000000,17001764.000000,338291.000000,17340055.000000,537590.000000,,,537590.000000,3985503.000000,14753692.000000,39589791.000000,,326860272.000000,159237.000000,1528136.000000,,6509680.000000,335057325.000000,374647116.000000,,,98673146.000000,,8312673.000000,769745.000000,9082418.000000,2995088.000000,,,2995088.000000,235653.000000,4469704.000000,12633950.000000,35528480.000000,,,31912329.000000,,204425.000000,132597.000000,,32249351.000000,1478502.000000,98673146.000000,137456632.000000,,136697661.000000,,80624.000000,,100730.000000,,136879015.000000,,577617.000000,137456632.000000,236129778.000000,,36831698.000000,65112248.000000,36421401.000000,,36421401.000000,36421401.000000,151991.000000,,138517338.000000,374647116.000000,3572081001.000000
12M 2014,,,20351494.000000,,6324121.000000,6324121.000000,,6324121.000000,745127.000000,,,745127.000000,4643327.000000,16991480.000000,49055549.000000,,383221829.000000,111929.000000,776951.000000,,6509309.000000,390620018.000000,439675567.000000,,,80227155.000000,,11474648.000000,594510.000000,12069158.000000,1416898.000000,,,1416898.000000,479795.000000,5621040.000000,11985016.000000,3925903.000000,,,38197498.000000,,96888.000000,182455.000000,,38476841.000000,6252504.000000,80227155.000000,121654968.000000,,120795866.000000,,54812.000000,,148847.000000,,120999525.000000,,655443.000000,121654968.000000,201882123.000000,,65774670.000000,102232676.000000,69624576.000000,7284280.000000,62340296.000000,69624576.000000,161522.000000,,237793444.000000,439675567.000000,7059000000.000000
12M 2015,,,10894492.000000,,12999393.000000,6489393.000000,6510000.000000,12999393.000000,414832.000000,,,414832.000000,2934415.000000,26031352.000000,53274484.000000,,444615704.000000,61119.000000,686543.000000,286921.000000,13972870.000000,459623157.000000,512897641.000000,,,113290507.000000,,12152722.000000,546432.000000,12699154.000000,1793947.000000,,,1793947.000000,484218.000000,9743997.000000,18745909.000000,10253743.000000,,,50562103.000000,,28050.000000,162995.000000,,50753148.000000,8816391.000000,113290507.000000,120932993.000000,,119977665.000000,,12668.000000,,138524.000000,,120128857.000000,,804136.000000,120932993.000000,234223500.000000,,,65774670.000000,110390109.000000,7500000.000000,102890109.000000,110390109.000000,276686.000000,102232676.000000,278674141.000000,512897641.000000,7059000000.000000
12M 2016,,,3708581.000000,,25361077.000000,12851077.000000,12510000.000000,25361077.000000,332899.000000,,,332899.000000,2547031.000000,26952171.000000,58901759.000000,,484096887.000000,10310.000000,137709.000000,286921.000000,12918844.000000,497450671.000000,556352430.000000,,,92016819.000000,,5805097.000000,235680.000000,6040777.000000,2136028.000000,,,2136028.000000,808568.000000,5366657.000000,36369149.000000,1022853.000000,,,18708132.000000,13700000.000000,13007.000000,142358.000000,,32563497.000000,7709290.000000,92016819.000000,168967104.000000,,167071004.000000,,,,81034.000000,,167152038.000000,229816.000000,1585250.000000,168967104.000000,260983923.000000,,,65774670.000000,127051352.000000,8000000.000000,119051352.000000,127051352.000000,308536.000000,102233949.000000,295368507.000000,556352430.000000,7059000000.000000
12M 2017,,,3184645.000000,,11033867.000000,7523867.000000,3510000.000000,11033867.000000,933688.000000,,,933688.000000,3114932.000000,42331222.000000,60598354.000000,,507819179.000000,988.000000,157405.000000,286921.000000,17780265.000000,526044758.000000,586643112.000000,,,75639439.000000,,9478678.000000,1304422.000000,10783100.000000,2135208.000000,,,2135208.000000,263217.000000,5282195.000000,9683496.000000,298730.000000,,,35056078.000000,8300000.000000,,124899.000000,,43480977.000000,3712516.000000,75639439.000000,196412520.000000,,191063107.000000,3000000.000000,,,85973.000000,,194149080.000000,338016.000000,1925424.000000,196412520.000000,272051959.000000,,,65774670.000000,146312226.000000,8000000.000000,138312226.000000,146312226.000000,270308.000000,102233949.000000,314591153.000000,586643112.000000,7059000000.000000
12M 2018,,,6570425.000000,,21099821.000000,15693022.000000,5406799.000000,21099821.000000,886232.000000,,,886232.000000,8379319.000000,56380226.000000,93316023.000000,,561453984.000000,,197743.000000,286921.000000,14622746.000000,576561394.000000,669877417.000000,,,36719559.000000,,8425693.000000,711567.000000,9137260.000000,1762456.000000,,,1762456.000000,306456.000000,11915300.000000,,5116.000000,,,13461677.000000,,,131294.000000,,13592971.000000,,36719559.000000,305944319.000000,,104220508.000000,5000000.000000,,194823047.000000,158828.000000,,304202383.000000,,1741936.000000,305944319.000000,342663878.000000,,,65774670.000000,158903268.000000,8200000.000000,150703268.000000,158903268.000000,301652.000000,102233949.000000,327213539.000000,669877417.000000,7059000000.000000
12M 2019,,,32093084.000000,,20078599.000000,15282764.000000,4795835.000000,20078599.000000,413446.000000,,,413446.000000,10886931.000000,47738487.000000,111210547.000000,,563331601.000000,,231460.000000,286921.000000,13155261.000000,577005243.000000,688215790.000000,,,38652304.000000,,3277995.000000,457050.000000,3735045.000000,2265756.000000,,,2265756.000000,94227.000000,9943895.000000,,34027.000000,,,22416065.000000,,,163289.000000,,22579354.000000,,38652304.000000,314057880.000000,,114914296.000000,,,196736889.000000,318623.000000,,311969808.000000,,2088072.000000,314057880.000000,352710184.000000,,,65774670.000000,167230655.000000,8400000.000000,158830655.000000,167230655.000000,266332.000000,102233949.000000,335505606.000000,688215790.000000,7059000000.000000
12M 2020,,,43899884.000000,,13278408.000000,7279300.000000,5999108.000000,13278408.000000,2609221.000000,1930738.000000,678483.000000,2609221.000000,8198915.000000,39845249.000000,107831677.000000,,538328611.000000,,188021.000000,,13208977.000000,551725609.000000,659557286.000000,,,42008607.000000,,4627200.000000,756513.000000,5383713.000000,1705411.000000,,,1705411.000000,510172.000000,6994437.000000,,,,,27227373.000000,,,187501.000000,,27414874.000000,,42008607.000000,256625790.000000,,177500950.000000,,,76592390.000000,146637.000000,,254239977.000000,,2385813.000000,256625790.000000,298634397.000000,,,65774670.000000,192631321.000000,8600000.000000,184031321.000000,192631321.000000,282949.000000,102233949.000000,360922889.000000,659557286.000000,7059000000.000000
