Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Proforma Laba Bersih Dari Transaksi Restrukturisasi Entitas Sepengendali,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,106404574.000000,-70533203.000000,35871371.000000,-6692605.000000,29178766.000000,1078005.000000,11101.000000,-9606422.000000,14585266.000000,-4161654.000000,249714.000000,1078005.000000,30256771.000000,-2561.000000,30254210.000000,,30254210.000000,,30254210.000000,30254210.000000,30219330.000000,34880.000000,30254210.000000,30254210.000000,30219330.000000,34880.000000,30254210.000000
12M 2014,127477386.000000,-76166041.000000,51311345.000000,-6693440.000000,44617905.000000,-9409395.000000,32751.000000,-9638409.000000,1392537.000000,-1246035.000000,49761.000000,-9409395.000000,35208510.000000,-1966860.000000,33241650.000000,,33241650.000000,,33241650.000000,33241650.000000,33203175.000000,38475.000000,33241650.000000,33241650.000000,33203175.000000,38475.000000,33241650.000000
12M 2015,141833461.000000,-90122533.000000,51710928.000000,-8130558.000000,43580370.000000,-1178019.000000,16905.000000,-6784815.000000,6607275.000000,-1247430.000000,230046.000000,-1178019.000000,42402351.000000,-1455228.000000,40947123.000000,,40947123.000000,-156554.000000,40790569.000000,40947123.000000,40921879.000000,25244.000000,40947123.000000,40790569.000000,40765533.000000,25036.000000,40790569.000000
12M 2016,130288044.000000,-82213285.000000,48074759.000000,-10256395.000000,37818364.000000,-14050703.000000,12017.000000,-8917616.000000,-2066654.000000,-10127297.000000,7048847.000000,-14050703.000000,23767661.000000,-2546120.000000,21221541.000000,,21221541.000000,-496952.000000,20724589.000000,21221541.000000,21201231.000000,20310.000000,21221541.000000,20724589.000000,20701718.000000,22871.000000,20724589.000000
12M 2017,138832152.000000,-91521267.000000,47310885.000000,-11892880.000000,35418005.000000,-12151529.000000,22646.000000,-11798806.000000,-456220.000000,,80851.000000,-12151529.000000,23266476.000000,-1731583.000000,21534893.000000,,21534893.000000,-186871.000000,21348022.000000,21534893.000000,21572875.000000,-37982.000000,21534893.000000,21348022.000000,21382789.000000,-34767.000000,21348022.000000
12M 2018,132401822.000000,-83901849.000000,48499973.000000,-11917270.000000,36582703.000000,-21272911.000000,45459.000000,-20076322.000000,-1549437.000000,-601730.000000,909119.000000,-21272911.000000,15309792.000000,-1901313.000000,13408479.000000,,13408479.000000,194456.000000,13602935.000000,13408479.000000,13375119.000000,33360.000000,13408479.000000,13602935.000000,13570029.000000,32906.000000,13602935.000000
12M 2019,157273513.000000,-105967695.000000,51305818.000000,-13204911.000000,38100907.000000,-25063685.000000,130202.000000,-22159226.000000,195486.000000,-3182868.000000,-47279.000000,-25063685.000000,13037222.000000,-3688588.000000,9348634.000000,,9348634.000000,-77690.000000,9270944.000000,9348634.000000,9383809.000000,-35175.000000,9348634.000000,9270944.000000,9304709.000000,-33765.000000,9270944.000000
12M 2020,129966580.000000,-93842181.000000,36124399.000000,-10146393.000000,25978006.000000,5214867.000000,506243.000000,-26406850.000000,-1537423.000000,-1816419.000000,34469316.000000,5214867.000000,31192873.000000,-3914111.000000,27278762.000000,,27278762.000000,-104126.000000,27174636.000000,27278762.000000,27260760.000000,18002.000000,27278762.000000,27174636.000000,27156477.000000,18159.000000,27174636.000000
12M 2021,128761127.000000,-92962624.000000,35798503.000000,-9938963.000000,25859540.000000,-18132247.000000,458891.000000,-16678652.000000,-368357.000000,-5041449.000000,3497320.000000,-18132247.000000,7727293.000000,-2294916.000000,5432377.000000,,5432377.000000,1092297.000000,6524674.000000,5432377.000000,5419028.000000,13349.000000,5432377.000000,6524674.000000,6510499.000000,14175.000000,6524674.000000
12M 2022,144081317.000000,-103277394.000000,40803923.000000,-10824945.000000,29978978.000000,-21196343.000000,232840.000000,-16830252.000000,-3536232.000000,28813.000000,-1091512.000000,-21196343.000000,8782635.000000,-2303190.000000,6479445.000000,,6479445.000000,146032.000000,6625477.000000,6479445.000000,6470660.000000,8785.000000,6479445.000000,6625477.000000,6616466.000000,9011.000000,6625477.000000
12M 2023,169963708.000000,-131352512.000000,38611196.000000,-11371020.000000,27240176.000000,-16339072.000000,325467.000000,-15410967.000000,-910307.000000,-475604.000000,132339.000000,-16339072.000000,10901104.000000,-1969914.000000,8931190.000000,,8931190.000000,-422927.000000,8508263.000000,8931190.000000,8923474.000000,7716.000000,8931190.000000,8508263.000000,8500672.000000,7591.000000,8508263.000000
12M 2024,165638994.000000,-123757186.000000,41881808.000000,-11256025.000000,30625783.000000,-11488909.000000,171306.000000,-12766369.000000,-435546.000000,1453897.000000,87803.000000,-11488909.000000,19136874.000000,-1994473.000000,17142401.000000,,17142401.000000,416390.000000,17558791.000000,17142401.000000,17130116.000000,12285.000000,17142401.000000,17558791.000000,17546234.000000,12557.000000,17558791.000000
