Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Karyawan,Pembayaran Kepada Pemasok Dan Lainnya,Penerimaan Dari Pendapatan Keuangan,Penerimaan Klaim Asuransi,Pembayaran Untuk Beban Keuangan,Pembayaran Untuk Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Klaim Asuransi,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Investasi Saham,Hasil Pelepasan Aset Tetap,Penerimaan Dari Pelepasan Aset Tidak Lancar,Perolehan Aset Lainnya,Perolehan Aset Tak Berwujud,Pencairan Investasi Jangka Pendek,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Pembayaran Biaya Transaksi Pinjaman Bank,Kepentingan Non Pengendali,Penebusan Utang Obligasi,Penerimaan (Pembayaran) Pinjaman Pihak-Pihak Berelasi,Pembayaran Utang Sewa Pembiayaan Dan Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Penerimaan Liabilitas Atas Transaksi Penjualan,Pembayaran Liabilitas Atas Transaksi Penjualan Dan Sewa Balik,Peningkatan Modal Saham,Akuisisi Entitas Anak,Pembayaran Dividen Kas,Pembayaran Dividen Kas Kepada Kepentingan Nonpengendali,Penerimaan Penawaran Umum Saham Perdana,Penerimaan Dari Surat Utang Berjangka Menengah,Pembayaran Surat Utang Berjangka Menengah,Penerimaan Dari Surat Utang Obligasi,Biaya Penerbitan Obligasi,Penerimaan Wesel Bayar,Setoran Modal Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2013,20224533.000000,95498527.000000,-10471227.000000,-50773399.000000,11101.000000,,-14028864.000000,-11605.000000,20224533.000000,-76048257.000000,-75908951.000000,,,,21456.000000,,,-160762.000000,,,-76048257.000000,54902947.000000,58047700.000000,-28691863.000000,,,,828702.000000,-569864.000000,,,,25336982.000000,-48710.000000,,,,,,,,,,54902947.000000,-920777.000000,1857319.000000,936542.000000
12M 2014,45353490.000000,130306642.000000,-10397173.000000,-59677669.000000,32751.000000,,-14899394.000000,-11667.000000,45353490.000000,-52608479.000000,-63800977.000000,,,,11195598.000000,,,-3100.000000,,,-52608479.000000,25483411.000000,52273853.000000,-60814656.000000,,,,-11369837.000000,-407663.000000,,,,,,,,45801714.000000,,,,,,,25483411.000000,18228422.000000,936542.000000,19164964.000000
12M 2015,28807430.000000,133757742.000000,-12013145.000000,-79882749.000000,16905.000000,,-13044772.000000,-26551.000000,28807430.000000,-68821454.000000,-70157021.000000,,,,1335567.000000,,,,,,-68821454.000000,30264837.000000,62878020.000000,-38603101.000000,,,,6327840.000000,-337922.000000,,,,,,,,,,,,,,,30264837.000000,-9749187.000000,19164964.000000,9415777.000000
12M 2016,19346556.000000,120664441.000000,-14488340.000000,-66977458.000000,12017.000000,,-19850914.000000,-13190.000000,19346556.000000,-54489923.000000,-62077910.000000,6129052.000000,-6051819.000000,,7510754.000000,,,,,,-54489923.000000,38445297.000000,166720000.000000,-128492464.000000,,,,-9230890.000000,-204516.000000,,,,,,,-4046833.000000,,28700000.000000,-15000000.000000,,,,,38445297.000000,3301930.000000,9415777.000000,12717707.000000
12M 2017,26940240.000000,138988566.000000,-13597966.000000,-85781052.000000,22646.000000,,-12672856.000000,-19098.000000,26940240.000000,-31038237.000000,-31332394.000000,363795.000000,-69638.000000,,,,,,,,-31038237.000000,6442130.000000,37203772.000000,-25311257.000000,,,,-724123.000000,-204347.000000,,,,,,,-2121915.000000,,11300000.000000,-13700000.000000,,,,,6442130.000000,2344133.000000,12717707.000000,15061840.000000
12M 2018,9024016.000000,122010138.000000,-11722111.000000,-85226939.000000,45459.000000,,-16057508.000000,-25023.000000,9024016.000000,-66991650.000000,-76753652.000000,328122.000000,,,9433880.000000,,,,,,-66991650.000000,65294677.000000,89500000.000000,-211062267.000000,,,,-293614.000000,-160857.000000,,,,,,,-978987.000000,,5000000.000000,-11300000.000000,194590402.000000,,,,65294677.000000,7327043.000000,15061840.000000,22388883.000000
12M 2019,37783856.000000,156247389.000000,-11971856.000000,-79420642.000000,130202.000000,,-25333285.000000,-1867952.000000,37783856.000000,-23543711.000000,-27392518.000000,,,,3848807.000000,,,,,,-23543711.000000,12977449.000000,39000000.000000,-19881600.000000,,,,,-162074.000000,,,,,,-977322.000000,-1555.000000,,,-5000000.000000,,,,,12977449.000000,27217594.000000,22388883.000000,49606477.000000
12M 2020,28019960.000000,135571084.000000,-10941516.000000,-66956652.000000,506243.000000,102824.000000,-28001522.000000,-2260501.000000,28019960.000000,-1507871.000000,-2345854.000000,,,,837983.000000,,,,,,-1507871.000000,-19470590.000000,164312900.000000,-97820450.000000,,,-85761900.000000,-34027.000000,-167113.000000,,,,,,,,,,,,,,,-19470590.000000,7041499.000000,49606477.000000,56647976.000000
12M 2021,25703139.000000,128100323.000000,-7904608.000000,-77885047.000000,458891.000000,,-16329006.000000,-737414.000000,25703139.000000,6852375.000000,-1747956.000000,,,,7981123.000000,619208.000000,,,,,6852375.000000,-28988550.000000,16936635.000000,-29446153.000000,,,-16269600.000000,,-209432.000000,,,,,,,,,,,,,,,-28988550.000000,3566964.000000,56647976.000000,60214940.000000
12M 2022,37530246.000000,143057215.000000,-8456723.000000,-79269645.000000,232840.000000,,-17565726.000000,-467715.000000,37530246.000000,-44555906.000000,-45579486.000000,,,,1023580.000000,,,,,,-44555906.000000,-9788277.000000,85063000.000000,-44838487.000000,-916500.000000,,-58342494.000000,,-193115.000000,,9887497.000000,-444711.000000,,-3467.000000,,,,,,,,,,-9788277.000000,-16813937.000000,60214940.000000,43401003.000000
