Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Lembaga Keuangan Lain,Utang Pajak,Others,Total Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,790140947798.000000,3038690719.000000,922183950647.000000,38116169812.000000,884067780835.000000,922183950647.000000,9451629295.000000,,9451629295.000000,9451629295.000000,,1515360346381.000000,231100436493.000000,3471276001333.000000,,30923868382.000000,17306954836.000000,57951169972.000000,7597621854686.000000,,,,111627014570.000000,7815430862446.000000,11286706863779.000000,,,1943884694003.000000,273750000000.000000,,,289426207631.000000,289426207631.000000,,,134280347594.000000,134280347594.000000,192297406562.000000,547500000000.000000,426147521611.000000,,426147521611.000000,,80483210605.000000,80483210605.000000,,1943884694003.000000,821091680610.000000,,99513063143.000000,99513063143.000000,12904694046.000000,569061887334.000000,,139612036087.000000,821091680610.000000,2764976374613.000000,,1840615849500.000000,,3951301067740.000000,200000000000.000000,3751301067740.000000,3951301067740.000000,21536928781.000000,2708276643145.000000,8521730489166.000000,11286706863779.000000,3681231699.000000
12M 2009,,,2623472828832.000000,,1345329245955.000000,84620816864.000000,1260708429091.000000,1345329245955.000000,15834858892.000000,,15834858892.000000,15834858892.000000,,1269425028230.000000,68854329534.000000,5322916291443.000000,,22196030767.000000,21742137413.000000,32433373436.000000,7773278914092.000000,,,,103703485397.000000,7953353941105.000000,13276270232548.000000,,,1771030703811.000000,235000000000.000000,,,488943801503.000000,488943801503.000000,,,172688357332.000000,172688357332.000000,368980311694.000000,,436542293957.000000,,436542293957.000000,,68875939325.000000,68875939325.000000,,1771030703811.000000,801045349399.000000,,38059502899.000000,38059502899.000000,7955289063.000000,594238371634.000000,,160792185803.000000,801045349399.000000,2572076053210.000000,,1840615849500.000000,,6145770383972.000000,225000000000.000000,5920770383972.000000,6145770383972.000000,23468775337.000000,2694339170529.000000,10704194179338.000000,13276270232548.000000,3681231699.000000
12M 2010,,,4684869689764.000000,,1355227711528.000000,64328783423.000000,1290898928105.000000,1355227711528.000000,47461937504.000000,20027457725.000000,27434479779.000000,47461937504.000000,,1299548786024.000000,97698939038.000000,7484807063858.000000,,2342015892.000000,24501387800.000000,31406833246.000000,7702769475625.000000,,,,100318901316.000000,7861338613879.000000,15346145677737.000000,,,1347705747072.000000,224775000000.000000,,3028168800.000000,396396979581.000000,399425148381.000000,,11981241605.000000,161148915596.000000,173130157201.000000,281901378873.000000,,197089318253.000000,,197089318253.000000,,32393664970.000000,32393664970.000000,38991079394.000000,1347705747072.000000,897841880232.000000,,112518081493.000000,112518081493.000000,,590878390132.000000,,194445408607.000000,897841880232.000000,2245547627304.000000,,1840615849500.000000,,8542435136490.000000,250000000000.000000,8292435136490.000000,8542435136490.000000,23207893914.000000,2694339170529.000000,13100598050433.000000,15346145677737.000000,3681231699.000000
12M 2011,,,6864567000000.000000,,1936416000000.000000,27891000000.000000,1908525000000.000000,1936416000000.000000,40353000000.000000,6619000000.000000,33734000000.000000,40353000000.000000,,1327720000000.000000,145517000000.000000,10314573000000.000000,,,32442000000.000000,37706000000.000000,7638064000000.000000,,,,128546000000.000000,7836758000000.000000,18151331000000.000000,,,1476597000000.000000,,,19496000000.000000,576933000000.000000,596429000000.000000,,21081000000.000000,218758000000.000000,239839000000.000000,293320000000.000000,,247006000000.000000,,247006000000.000000,,44980000000.000000,44980000000.000000,55023000000.000000,1476597000000.000000,940783000000.000000,,131365000000.000000,131365000000.000000,,575787000000.000000,,233631000000.000000,940783000000.000000,2417380000000.000000,,1840616000000.000000,,11166666000000.000000,275000000000.000000,10891666000000.000000,11166666000000.000000,27806000000.000000,2698863000000.000000,15733951000000.000000,18151331000000.000000,3681231699.000000
12M 2012,,,10474126000000.000000,,2454818000000.000000,2812000000.000000,2452006000000.000000,2454818000000.000000,,,,,,1470305000000.000000,180151000000.000000,14579400000000.000000,,1295000000.000000,20796000000.000000,46564000000.000000,7935224000000.000000,3700000000.000000,10822000000.000000,,157359000000.000000,8175760000000.000000,22755160000000.000000,,,2418762000000.000000,,,,974996000000.000000,974996000000.000000,,33185000000.000000,324139000000.000000,357324000000.000000,421245000000.000000,,470058000000.000000,,470058000000.000000,,52106000000.000000,52106000000.000000,143033000000.000000,2418762000000.000000,917660000000.000000,,108388000000.000000,108388000000.000000,,514671000000.000000,,294601000000.000000,917660000000.000000,3336422000000.000000,,1840616000000.000000,2698863000000.000000,14848447000000.000000,300000000000.000000,14548447000000.000000,14848447000000.000000,30812000000.000000,,19418738000000.000000,22755160000000.000000,3681231699.000000
12M 2013,,,12595187000000.000000,,2518588000000.000000,14675000000.000000,2503913000000.000000,2518588000000.000000,,,,,,1473645000000.000000,258828000000.000000,16846248000000.000000,,529000000.000000,40552000000.000000,57252000000.000000,9304992000000.000000,3700000000.000000,12929000000.000000,,341039000000.000000,9760993000000.000000,26607241000000.000000,,,2740089000000.000000,,,,1007808000000.000000,1007808000000.000000,,19722000000.000000,347158000000.000000,366880000000.000000,642428000000.000000,,436850000000.000000,,436850000000.000000,,67273000000.000000,67273000000.000000,218850000000.000000,2740089000000.000000,889465000000.000000,,92797000000.000000,92797000000.000000,,462163000000.000000,,334505000000.000000,889465000000.000000,3629554000000.000000,,1840616000000.000000,2698863000000.000000,18202133000000.000000,325000000000.000000,17877133000000.000000,18202133000000.000000,30416000000.000000,205659000000.000000,22977687000000.000000,26607241000000.000000,3681231699.000000
12M 2014,,,11256129000000.000000,,2670993000000.000000,31441000000.000000,2639552000000.000000,2670993000000.000000,,,,,,1665546000000.000000,494105000000.000000,16086773000000.000000,,597000000.000000,29919000000.000000,108639000000.000000,12143632000000.000000,3700000000.000000,15037000000.000000,,496676000000.000000,12798200000000.000000,28884973000000.000000,,,3260559000000.000000,,,,1174919000000.000000,1174919000000.000000,,44115000000.000000,476153000000.000000,520268000000.000000,1055928000000.000000,,270602000000.000000,,270602000000.000000,,49126000000.000000,49126000000.000000,189716000000.000000,3260559000000.000000,839613000000.000000,,76053000000.000000,76053000000.000000,,386772000000.000000,,376788000000.000000,839613000000.000000,4100172000000.000000,,1840616000000.000000,2698863000000.000000,20159896000000.000000,350000000000.000000,19809896000000.000000,20159896000000.000000,,85426000000.000000,24784801000000.000000,28884973000000.000000,3681231699.000000
12M 2015,,,8655562000000.000000,,2534690000000.000000,26531000000.000000,2508159000000.000000,2534690000000.000000,,,,,9570000000.000000,1521197000000.000000,412835000000.000000,13133854000000.000000,,,39042000000.000000,102650000000.000000,13813892000000.000000,3700000000.000000,71073000000.000000,,474149000000.000000,14504506000000.000000,27638360000000.000000,,,2687743000000.000000,,,,1103303000000.000000,1103303000000.000000,,40474000000.000000,478152000000.000000,518626000000.000000,677522000000.000000,,194925000000.000000,,194925000000.000000,,60122000000.000000,60122000000.000000,133245000000.000000,2687743000000.000000,1084667000000.000000,,61113000000.000000,61113000000.000000,,323471000000.000000,,700083000000.000000,1084667000000.000000,3772410000000.000000,,1840616000000.000000,2698863000000.000000,19540851000000.000000,375000000000.000000,19165851000000.000000,19540851000000.000000,,-214380000000.000000,23865950000000.000000,27638360000000.000000,3681231699.000000
12M 2016,,,9674030000000.000000,,2605323000000.000000,69081000000.000000,2536242000000.000000,2605323000000.000000,,,,,11656000000.000000,1780410000000.000000,353203000000.000000,14424622000000.000000,,,322237000000.000000,95292000000.000000,14643695000000.000000,16981000000.000000,111953000000.000000,,535800000000.000000,15725958000000.000000,30150580000000.000000,,,3187742000000.000000,,,,1518841000000.000000,1518841000000.000000,,59393000000.000000,510478000000.000000,569871000000.000000,773419000000.000000,,112348000000.000000,,112348000000.000000,,70038000000.000000,70038000000.000000,143225000000.000000,3187742000000.000000,824135000000.000000,,37146000000.000000,37146000000.000000,,,,786989000000.000000,824135000000.000000,4011877000000.000000,,1840616000000.000000,2698863000000.000000,21883459000000.000000,400000000000.000000,21483459000000.000000,21883459000000.000000,,-284235000000.000000,26138703000000.000000,30150580000000.000000,3681231699.000000
12M 2017,,,8294891000000.000000,,2484800000000.000000,17719000000.000000,2467081000000.000000,2484800000000.000000,,,,,18980000000.000000,1768603000000.000000,315800000000.000000,12883074000000.000000,,,239201000000.000000,93700000000.000000,14979453000000.000000,16404000000.000000,107357000000.000000,,544487000000.000000,15980602000000.000000,28863676000000.000000,,,3479024000000.000000,,,,1548844000000.000000,1548844000000.000000,,77418000000.000000,580524000000.000000,657942000000.000000,869653000000.000000,,103668000000.000000,,103668000000.000000,,87953000000.000000,87953000000.000000,210964000000.000000,3479024000000.000000,828145000000.000000,,20036000000.000000,20036000000.000000,,,,808109000000.000000,828145000000.000000,4307169000000.000000,,1840616000000.000000,2698863000000.000000,20323413000000.000000,400000000000.000000,19923413000000.000000,20323413000000.000000,,-306385000000.000000,24556507000000.000000,28863676000000.000000,3681231699.000000
