Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Final,Laba (Rugi) Selisih Kurs,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,9780498326080.000000,-5755934618064.000000,4024563708016.000000,-1564695118690.000000,-1304766671155.000000,-259928447535.000000,,-1564695118690.000000,2459868589326.000000,-127081670439.000000,32961436331.000000,,-73303325290.000000,-123633778495.000000,7977088058.000000,28916908957.000000,-127081670439.000000,2332786918887.000000,-587204749158.000000,1745582169729.000000,-81233514.000000,1745500936215.000000,,,1745500936215.000000,1745582169729.000000,-81233514.000000,1745500936215.000000,,,,
12M 2009,10576456344583.000000,-5468017733384.000000,5108438611199.000000,-1415133152217.000000,-1163868375210.000000,-251264777007.000000,,-1415133152217.000000,3693305458982.000000,103021413440.000000,78350504163.000000,,-7785089482.000000,-39783519966.000000,10655889404.000000,61583629321.000000,103021413440.000000,3796326872422.000000,-1047740954784.000000,2748585917638.000000,-1931846556.000000,2746654071082.000000,,,2746654071082.000000,2748585917638.000000,-1931846556.000000,2746654071082.000000,,,,
12M 2010,11137805265505.000000,-5597042805995.000000,5540762459510.000000,-1520732084653.000000,-1222401565026.000000,-298330519627.000000,,-1520732084653.000000,4020030374857.000000,228445451933.000000,183008412265.000000,,20771334496.000000,-16083815374.000000,6633014691.000000,34116505855.000000,228445451933.000000,4248475826790.000000,-1023794823420.000000,3224681003370.000000,260881423.000000,3224941884793.000000,,,3224941884793.000000,3224681003370.000000,260881423.000000,3224941884793.000000,,,,
12M 2011,13887892000000.000000,-7473669000000.000000,6414223000000.000000,-1996200000000.000000,-1649258000000.000000,-337972000000.000000,-8970000000.000000,-1996200000000.000000,4418023000000.000000,290133000000.000000,305727000000.000000,,,-23848000000.000000,8254000000.000000,,290133000000.000000,4708156000000.000000,-1106640000000.000000,3601516000000.000000,,3601516000000.000000,,3601516000000.000000,3601516000000.000000,3596918000000.000000,4598000000.000000,3601516000000.000000,3601516000000.000000,3596918000000.000000,4598000000.000000,3601516000000.000000
12M 2012,17290337000000.000000,-9020338000000.000000,8269999000000.000000,-2393257000000.000000,-2424777000000.000000,,31520000000.000000,-2393257000000.000000,5876742000000.000000,362808000000.000000,386361000000.000000,,,-32424000000.000000,8871000000.000000,,362808000000.000000,6239550000000.000000,-1476162000000.000000,4763388000000.000000,,4763388000000.000000,,4763388000000.000000,4763388000000.000000,4760382000000.000000,3006000000.000000,4763388000000.000000,4763388000000.000000,4760382000000.000000,3006000000.000000,4763388000000.000000
12M 2013,18691286000000.000000,-10036632000000.000000,8654654000000.000000,-2590554000000.000000,-2679697000000.000000,,89143000000.000000,-2590554000000.000000,6064100000000.000000,531054000000.000000,564294000000.000000,,,-50971000000.000000,17731000000.000000,,531054000000.000000,6595154000000.000000,-1582860000000.000000,5012294000000.000000,,5012294000000.000000,205659000000.000000,5217953000000.000000,5012294000000.000000,5010240000000.000000,2054000000.000000,5012294000000.000000,5217953000000.000000,5215899000000.000000,2054000000.000000,5217953000000.000000
12M 2014,19996264000000.000000,-10909595000000.000000,9086669000000.000000,-3111676000000.000000,-3232770000000.000000,,121094000000.000000,-3111676000000.000000,5974993000000.000000,814609000000.000000,811649000000.000000,,,-21527000000.000000,24487000000.000000,,814609000000.000000,6789602000000.000000,-1515593000000.000000,5274009000000.000000,,5274009000000.000000,-120233000000.000000,5153776000000.000000,5274009000000.000000,5270872000000.000000,3137000000.000000,5274009000000.000000,5153776000000.000000,5150639000000.000000,3137000000.000000,5153776000000.000000
12M 2015,17798055000000.000000,-9888919000000.000000,7909136000000.000000,-2852206000000.000000,-2879720000000.000000,,27514000000.000000,-2852206000000.000000,5056930000000.000000,588181000000.000000,736705000000.000000,,,-26543000000.000000,25325000000.000000,-147306000000.000000,588181000000.000000,5645111000000.000000,-1288450000000.000000,4356661000000.000000,,4356661000000.000000,-98061000000.000000,4258600000000.000000,4356661000000.000000,4356661000000.000000,,4356661000000.000000,4258600000000.000000,4258600000000.000000,,4258600000000.000000
12M 2016,15361894000000.000000,-9030433000000.000000,6331461000000.000000,-2686866000000.000000,-2713870000000.000000,,27004000000.000000,-2686866000000.000000,3644595000000.000000,501784000000.000000,619671000000.000000,,,-11823000000.000000,17226000000.000000,-123290000000.000000,501784000000.000000,4146379000000.000000,-276060000000.000000,3870319000000.000000,,3870319000000.000000,-69855000000.000000,3800464000000.000000,3870319000000.000000,3870319000000.000000,,3870319000000.000000,3800464000000.000000,3800464000000.000000,,3800464000000.000000
12M 2017,14431211000000.000000,-9423490000000.000000,5007721000000.000000,-3132876000000.000000,-3080203000000.000000,,-52673000000.000000,-3132876000000.000000,1874845000000.000000,412429000000.000000,519535000000.000000,-715000000.000000,,-14093000000.000000,11540000000.000000,-103838000000.000000,412429000000.000000,2287274000000.000000,-427456000000.000000,1859818000000.000000,,1859818000000.000000,-22150000000.000000,1837668000000.000000,1859818000000.000000,1859818000000.000000,,1859818000000.000000,1837668000000.000000,1837668000000.000000,,1837668000000.000000
