Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,"Pembayaran Untuk Pemasok Dan Kontraktor, Serta Gaji Dan Kesejahteraan Karyawan",Penerimaan Dari Penghasilan Bunga,Pembayaran Pajak Penghasilan Badan,Pembayaran Pajak Lainnya,Penerimaan Dari Restitusi Pajak,Pembayaran Beban Bunga Dan Beban Keuangan Lainnya,Penerimaan Neto Dari Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Penjualan Aset Tetap,Perolehan Aset Tetap,Pencairan Bersih Deposito Berjangka,Penerimaan Dari Penjualan Anak Perusahaan,Penerimaan Uang Muka Dari Penjualan Investasi,Penerimaan Dividen Kas,Uang Muka Pembangunan Pabrik Baru,Kas Entitas Anak Yang Didekonsolidasi,Penyertaan Saham,Pengembalian Penyertaan Di Entitas Asosiasi,Akuisisi Entitas Anak,Penambahan Aset Tidak Berwujud,Kas Entitas Anak Yang Baru Diakuisisi,Penerimaan Dari Penjualan Saham Entitas Anak,Pembayaran Untuk Investasi Investasi Entitas Asosiasi,Penambahan Investasi Pada Entitas Asosiasi,Kas Bersih Entitas Anak Yang Di Lepas,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Sewa Pembiayaan,Pembayaran Beban Bunga Dan Beban Keuangan Lainnya,Penerimaan Dari Pinjaman Jangka Pendek,Penerimaan Dari Transaksi Penjualan Dan Penyewaan Kembali,Pengembalian Penyertaan Di Entitas Asosiasi,Penerimaan Bersih Untuk Transaksi Derivatif,Pembayaran Utang Bank Jangka Pendek,Pembayaran Untuk Akuisisi Saham Tresuri,Pembayaran Dividen Kas Entitas Anak Kepada Kepentingan Non Pengendali,Pembayaran Dividen Kas,Pembayaran Pinjaman Jangka Pendek Dan Jangka Panjang,Pembayaran Pinjaman Pihak Ketiga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Anak Perusahaan Yang Baru Diakuisisi,Kas Dan Setara Kas Akhir Periode
12M 2008,1619202132220.000000,10593771412769.000000,-7635201219980.000000,29912396937.000000,2998251227.000000,-1242167737228.000000,-157090758104.000000,,26979786599.000000,1619202132220.000000,-232837442184.000000,979771350.000000,-233285568095.000000,2873804561.000000,,,,-9378000000.000000,,-27450000.000000,6000000000.000000,,,,,,,,-232837442184.000000,-893021913491.000000,-84187025983.000000,,228825000000.000000,46835105572.000000,,292000000.000000,,,,-147211993080.000000,-937575000000.000000,,-893021913491.000000,493342776545.000000,-10960584449.000000,307758755702.000000,,790140947798.000000
12M 2009,3184421623015.000000,11108615024303.000000,-6055715577773.000000,88432196428.000000,10928671080.000000,-1919842528029.000000,-83613619937.000000,,35617456943.000000,3184421623015.000000,-274369437444.000000,1885549106.000000,-218764959075.000000,3038690719.000000,,,26544596226.000000,-55838021540.000000,,-31235292880.000000,,,,,,,,,-274369437444.000000,-1079450550717.000000,-59585926502.000000,,,,,,,,,-551964624215.000000,-467900000000.000000,,-1079450550717.000000,1830601634854.000000,298166856.000000,790140947798.000000,2432079324.000000,2623472828832.000000
12M 2010,3376092402560.000000,12216236493713.000000,-6804128609014.000000,163520609208.000000,,-2222270752583.000000,1020234532.000000,-13955623005.000000,35670049709.000000,3376092402560.000000,-435832645144.000000,133596993.000000,-435966242137.000000,,,,,,,,,,,,,,,,-435832645144.000000,-883854421928.000000,-55907935006.000000,,,,,,,,,-827946486922.000000,,,-883854421928.000000,2056405335488.000000,4991525444.000000,2623472828832.000000,,4684869689764.000000
12M 2011,3883711000000.000000,14711818000000.000000,-8807106000000.000000,301108000000.000000,-1043954000000.000000,-1332007000000.000000,204000000.000000,,53648000000.000000,3883711000000.000000,-504789000000.000000,707000000.000000,-513161000000.000000,,,,1660000000.000000,,,,6000000000.000000,,,5000000.000000,,,,,-504789000000.000000,-1190000000000.000000,-70650000000.000000,-19864000000.000000,,88875000000.000000,,,,,,-967786000000.000000,-220575000000.000000,,-1190000000000.000000,2188922000000.000000,-9225000000.000000,4684870000000.000000,,6864567000000.000000
12M 2012,5674822000000.000000,18536542000000.000000,-10241427000000.000000,385475000000.000000,-1270288000000.000000,-1829910000000.000000,,,94430000000.000000,5674822000000.000000,-959008000000.000000,878000000.000000,-961841000000.000000,,,,1955000000.000000,,,,,,,,,,,,-959008000000.000000,-1126361000000.000000,-29965000000.000000,-18042000000.000000,,,,,,,,-1078354000000.000000,,,-1126361000000.000000,3589453000000.000000,20106000000.000000,6864567000000.000000,,10474126000000.000000
12M 2013,5419268000000.000000,20661644000000.000000,-12178501000000.000000,562711000000.000000,-1654688000000.000000,-2069215000000.000000,,,97317000000.000000,5419268000000.000000,-2005318000000.000000,13680000000.000000,-2018998000000.000000,,,,,,,,,,,,,,,,-2005318000000.000000,-1707042000000.000000,-31811000000.000000,-16789000000.000000,,,,,,,,-1658442000000.000000,,,-1707042000000.000000,1706908000000.000000,414153000000.000000,10474126000000.000000,,12595187000000.000000
12M 2014,5344607000000.000000,21834789000000.000000,-13717264000000.000000,811709000000.000000,-1493614000000.000000,-2214909000000.000000,,,123896000000.000000,5344607000000.000000,-3395834000000.000000,54239000000.000000,-3459061000000.000000,,51000000000.000000,,7068000000.000000,,-22131000000.000000,-27150000000.000000,,,,201000000.000000,,,,,-3395834000000.000000,-3365099000000.000000,-38850000000.000000,-14240000000.000000,,,,,,,,-3312009000000.000000,,,-3365099000000.000000,-1416326000000.000000,77268000000.000000,12595187000000.000000,,11256129000000.000000
12M 2015,5049117000000.000000,19689328000000.000000,-12228843000000.000000,597767000000.000000,-1219943000000.000000,-1903661000000.000000,,,114469000000.000000,5049117000000.000000,-2696658000000.000000,5688000000.000000,-2670307000000.000000,,,,31734000000.000000,,,,,,-63773000000.000000,,,,,,-2696658000000.000000,-4993314000000.000000,-16279000000.000000,-9007000000.000000,,,,,,,,-4968028000000.000000,,,-4993314000000.000000,-2640855000000.000000,40288000000.000000,11256129000000.000000,,8655562000000.000000
12M 2016,3546113000000.000000,16942375000000.000000,-11493687000000.000000,490943000000.000000,-754245000000.000000,-1788519000000.000000,38393000000.000000,,110853000000.000000,3546113000000.000000,-973959000000.000000,10211000000.000000,-910334000000.000000,,,,22412000000.000000,,8970000000.000000,-53193000000.000000,,,,-52025000000.000000,,,,,-973959000000.000000,-1547212000000.000000,-11042000000.000000,-8923000000.000000,,,,,,,,-1527247000000.000000,,,-1547212000000.000000,1024942000000.000000,-6474000000.000000,8655562000000.000000,,9674030000000.000000
12M 2017,2781805000000.000000,15897438000000.000000,-11696850000000.000000,417221000000.000000,-274627000000.000000,-1622952000000.000000,121000000.000000,,61454000000.000000,2781805000000.000000,-760688000000.000000,1989000000.000000,-769019000000.000000,,,,13632000000.000000,,,-500000000.000000,,,,-6790000000.000000,,,,,-760688000000.000000,-3424549000000.000000,-3822000000.000000,-1968000000.000000,,,,,,,,-3418759000000.000000,,,-3424549000000.000000,-1403432000000.000000,24293000000.000000,9674030000000.000000,,8294891000000.000000
