Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Final,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,35242968000.000000,-26502453000.000000,8740515000.000000,7415278000.000000,-7264596000.000000,-2940479000.000000,-1628760000.000000,19249113000.000000,7415278000.000000,16155793000.000000,-18987961000.000000,3522944000.000000,-22510905000.000000,-18987961000.000000,-2832168000.000000,,,,,-2832168000.000000,,-2832168000.000000,-3627000.000000,-2835795000.000000,-2832168000.000000,-2710166000.000000,-122002000.000000,-2832168000.000000,-2835795000.000000,-2713793000.000000,-122002000.000000,-2835795000.000000
12M 2018,42419068000.000000,-28164665000.000000,14254403000.000000,-41832221000.000000,-24308115000.000000,-2575484000.000000,-1063448000.000000,-13885174000.000000,-41832221000.000000,-27577818000.000000,-14921990000.000000,12592785000.000000,-27514775000.000000,-14921990000.000000,-42499808000.000000,,,,,-42499808000.000000,,-42499808000.000000,266210000.000000,-42233598000.000000,-42499808000.000000,-42206194000.000000,-293614000.000000,-42499808000.000000,-42233598000.000000,-41939984000.000000,-293614000.000000,-42233598000.000000
12M 2019,172845413000.000000,-50337102000.000000,122508311000.000000,-77080672000.000000,-35992707000.000000,-1533984000.000000,-4336334000.000000,-35217647000.000000,-77080672000.000000,45427639000.000000,-13700310000.000000,11910055000.000000,-25610365000.000000,-13700310000.000000,31727329000.000000,,,,,31727329000.000000,,31727329000.000000,-261569000.000000,31465760000.000000,31727329000.000000,34241669000.000000,-2514340000.000000,31727329000.000000,31465760000.000000,33980100000.000000,-2514340000.000000,31465760000.000000
12M 2020,127195488000.000000,-58370340000.000000,68825148000.000000,-35969927000.000000,-32176094000.000000,-770503000.000000,-3258884000.000000,235554000.000000,-35969927000.000000,32855221000.000000,-20081718000.000000,1017216000.000000,-21098934000.000000,-20081718000.000000,12773503000.000000,,,,,12773503000.000000,,12773503000.000000,-73520000.000000,12699983000.000000,12773503000.000000,12800231000.000000,-26728000.000000,12773503000.000000,12699983000.000000,12726711000.000000,-26728000.000000,12699983000.000000
12M 2021,66958886000.000000,-39724439000.000000,27234447000.000000,-25532341000.000000,-23913511000.000000,-485055000.000000,-1655133000.000000,521358000.000000,-25532341000.000000,1702106000.000000,-15671466000.000000,3241622000.000000,-18913088000.000000,-15671466000.000000,-13969360000.000000,,,,,-13969360000.000000,,-13969360000.000000,144389000.000000,-13824971000.000000,-13969360000.000000,-13851774000.000000,-117586000.000000,-13969360000.000000,-13824971000.000000,-13707385000.000000,-117586000.000000,-13824971000.000000
12M 2022,14462704000.000000,-7649206000.000000,6813498000.000000,-18412667000.000000,-17490947000.000000,-571652000.000000,-338985000.000000,-11083000.000000,-18412667000.000000,-11599169000.000000,-17609714000.000000,2141177000.000000,-19750891000.000000,-17609714000.000000,-29208883000.000000,,,,,-29208883000.000000,,-29208883000.000000,135557000.000000,-29073326000.000000,-29208883000.000000,-29185377000.000000,-23506000.000000,-29208883000.000000,-29073326000.000000,-29049820000.000000,-23506000.000000,-29073326000.000000
12M 2023,5458044000.000000,-4292050000.000000,1165994000.000000,-17924844000.000000,-17172627000.000000,-468009000.000000,-35350000.000000,-248858000.000000,-17924844000.000000,-16758850000.000000,-22197378000.000000,304037000.000000,-22501415000.000000,-22197378000.000000,-38956228000.000000,,,,,-38956228000.000000,,-38956228000.000000,-33517000.000000,-38989745000.000000,-38956228000.000000,-38955268000.000000,-960000.000000,-38956228000.000000,-38989745000.000000,-38988785000.000000,-960000.000000,-38989745000.000000
12M 2024,7574406000.000000,-5519128000.000000,2055278000.000000,-24187587000.000000,-22647542000.000000,-445098000.000000,-293900000.000000,-801047000.000000,-24187587000.000000,-22132309000.000000,-16829403000.000000,302457000.000000,-17131860000.000000,-16829403000.000000,-38961712000.000000,,,,,-38961712000.000000,,-38961712000.000000,15642000.000000,-38946070000.000000,-38961712000.000000,-38915036000.000000,-46676000.000000,-38961712000.000000,-38946070000.000000,-38899394000.000000,-46676000.000000,-38946070000.000000
