Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Operasi Lain,Pembayaran Kas Untuk Karyawan,Penerimaan Bunga,Penerimaan Dari (Pembayaran Ke) Utang Pihak Ketiga,Pembayaran Bunga,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penerimaan Pinjaman Dari Pihak Ketiga,Pembayaran Pinjaman Pihak Ketiga,Uang Muka Pembelian Tanah Yang Belum Dikembangkan,Pengembelian Uang Muka Tanah,Uang Muka Investasi,Investasi Pada Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Setoran Modal,Pembayaran Utang Pihak Berelasi,Penerimaan Pinjaman Dari Pihak Berelasi,Penerimaan Utang Bank Dan Pembiayaan,Pembayaran Utang Bank Dan Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,224394697000.000000,203578612000.000000,-63457068000.000000,-3049231000.000000,3522944000.000000,107734355000.000000,-22492483000.000000,-1442432000.000000,224394697000.000000,-493804001000.000000,-1274487000.000000,,,,-92529514000.000000,,-400000000000.000000,,-493804001000.000000,435398089000.000000,,-172849781000.000000,108048038000.000000,500548200000.000000,-348368000.000000,435398089000.000000,165988785000.000000,4793379000.000000,170782164000.000000
12M 2018,-70400724000.000000,122913143000.000000,-104511780000.000000,-18987700000.000000,12592785000.000000,-52499194000.000000,-27489203000.000000,-2418775000.000000,-70400724000.000000,-256278829000.000000,-2479908000.000000,,,,-22799321000.000000,,,-230999600000.000000,-256278829000.000000,500987434000.000000,926346410000.000000,-337366360000.000000,212256216000.000000,,-300248832000.000000,500987434000.000000,174307881000.000000,170782164000.000000,345090045000.000000
12M 2019,-243205535000.000000,84008462000.000000,-130837853000.000000,-30802440000.000000,11910055000.000000,-150725148000.000000,-25582743000.000000,-1175868000.000000,-243205535000.000000,79088599000.000000,-60433000.000000,,,,-4792465000.000000,83941497000.000000,,,79088599000.000000,-126370990000.000000,,-132470990000.000000,,6100000000.000000,,-126370990000.000000,-290487926000.000000,345090045000.000000,54602119000.000000
12M 2020,-8368267000.000000,117483590000.000000,-77300998000.000000,-24977194000.000000,1017216000.000000,-986327000.000000,-21072589000.000000,-2531965000.000000,-8368267000.000000,154942000.000000,-22734000.000000,177676000.000000,,,,,,,154942000.000000,21100000000.000000,,,,21100000000.000000,,21100000000.000000,12886675000.000000,54602119000.000000,67488794000.000000
12M 2021,-10918343000.000000,63641096000.000000,-35871807000.000000,-20986255000.000000,3241623000.000000,1085250000.000000,-18886387000.000000,-3141863000.000000,-10918343000.000000,-1627277000.000000,-1796077000.000000,168800000.000000,,,,,,,-1627277000.000000,18700000000.000000,,,,18700000000.000000,,18700000000.000000,6154380000.000000,67488794000.000000,73643174000.000000
12M 2022,-37717016000.000000,6538536000.000000,-7477714000.000000,-14585827000.000000,2141178000.000000,-1321242000.000000,-19727777000.000000,-3284170000.000000,-37717016000.000000,-3071296000.000000,-147242000.000000,,,,-2924054000.000000,,,,-3071296000.000000,3950000000.000000,,,,3950000000.000000,,3950000000.000000,-36838312000.000000,73643174000.000000,36804862000.000000
12M 2023,-56773932000.000000,2173511000.000000,-16912672000.000000,-14150577000.000000,304037000.000000,-5917781000.000000,-22477181000.000000,206731000.000000,-56773932000.000000,-301860000.000000,-119516000.000000,,108326000.000000,,-290670000.000000,,,,-301860000.000000,26572500000.000000,,,26572500000.000000,,,26572500000.000000,-30503292000.000000,36804862000.000000,6301570000.000000
12M 2024,-26681824000.000000,10468301000.000000,-1923171000.000000,-17274073000.000000,302457000.000000,,-17102901000.000000,-1152437000.000000,-26681824000.000000,41605481000.000000,-180740000.000000,,18489645000.000000,,23296576000.000000,,,,41605481000.000000,-4980252000.000000,,,-4980252000.000000,,,-4980252000.000000,9943405000.000000,6301570000.000000,16244975000.000000
